name,cmc,release_year,price,color,image,type_line,artist
Baron Helmut Zemo,3,2026,28.99,#000000,https://cards.scryfall.io/normal/front/c/2/c2aadc25-7755-4bc8-a8af-b01d27eec364.jpg?1778243806,Legendary Creature — Human Noble Villain,Wero Gallo
Bruce Banner // The Incredible Hulk,1,2026,60.42,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Scientist Hero // Legendary Creature — Gamma Berserker Hero,Tommy Arnold
Captain America- Super-Soldier,3,2026,52.33,#ffffff,https://cards.scryfall.io/normal/front/3/3/33631d6c-c584-42ff-afe5-2647b5fb321f.jpg?1778243648,Legendary Creature — Human Soldier Hero,Anna Podedworna
Doctor Doom,6,2026,36.99,#000000,https://cards.scryfall.io/normal/front/9/b/9b1f213a-e1d4-4a0f-954b-c83915698d98.jpg?1778243813,Legendary Creature — Human Scientist Villain,David Palumbo
Doom Reigns Supreme,2,2026,25.98,#000000,https://cards.scryfall.io/normal/front/9/b/9b99894b-c774-45c2-9ee9-4d6a8e7522f5.jpg?1778243888,Enchantment — Plan,Alexander Gering
Moon Girl and Devil Dinosaur,3,2026,25.98,#d78f42,https://cards.scryfall.io/normal/front/8/c/8c6a6d11-45cb-4def-a04b-51b91e1747db.jpg?1778243969,Legendary Creature — Human Dinosaur Hero,Zezhou Chen
Namor the Sub-Mariner,3,2026,57.99,#341aff,https://cards.scryfall.io/normal/front/7/a/7aaefcf9-fbe1-4767-92a5-09825761d116.jpg?1778243782,Legendary Creature — Mutant Merfolk Villain,Chris Rallis
Quicksilver- Brash Blur,1,2026,29.99,#ff1a1a,https://cards.scryfall.io/normal/front/2/d/2d5819ca-165d-4f4c-9500-3ac206994880.jpg?1778243916,Legendary Creature — Mutant Hero,Michael MacRae
Super-Skrull,4,2026,21.43,#d78f42,https://cards.scryfall.io/normal/front/1/1/11fc8221-756a-4919-9272-38793e9c1ad9.jpg?1778243894,Legendary Creature — Skrull Shapeshifter Villain,Zoltan Boros
The Coming of Galactus,5,2026,58.99,#d78f42,https://cards.scryfall.io/normal/front/0/4/04a38b92-619e-4fe8-b0cb-6fa31f0824ff.jpg?1778243954,Enchantment — Saga,Serena Malyon
The Mind Stone,2,2026,96.85,#ffffff,https://cards.scryfall.io/normal/front/8/7/87f1e69a-6d74-4982-afda-82613637799a.jpg?1778243714,Legendary Artifact — Infinity Stone,Volkan Baǵa
The Sentry- Golden Guardian,4,2026,29.99,#ffffff,https://cards.scryfall.io/normal/front/3/f/3f56c0e7-5b07-48e3-b0ca-5d09ddc8de9a.jpg?1778243735,Legendary Creature — Human Hero,Alexander Skripnikov
Thunderbolts Conspiracy,4,2026,25.98,#000000,https://cards.scryfall.io/normal/front/f/4/f498c1a4-54d2-4e87-952f-8cf7e408930c.jpg?1778243910,Enchantment,Lucio Parrillo
World War Hulk,5,2026,38.77,#087500,https://cards.scryfall.io/normal/front/9/0/9032f05b-5c21-4996-90c1-268dc6dffbaa.jpg?1778243944,Enchantment — Saga,Serena Malyon
