name,cmc,release_year,price,color,image,type_line,artist
Aerial Extortionist,5,2022,0.32,#ffffff,https://cards.scryfall.io/normal/front/2/1/219a1d6c-e886-4d5a-a501-d5149fcd1871.jpg?1650405946,Creature — Bird Soldier,Deruchenko Alexander
Aether Snap,5,2022,0.15,#000000,https://cards.scryfall.io/normal/front/d/d/dd9cade1-b077-4fb0-b55a-01b9916647e7.jpg?1650412164,Sorcery,Kev Walker
Agent's Toolkit,3,2022,0.15,#d78f42,https://cards.scryfall.io/normal/front/6/4/64cbb81d-3444-4491-963f-8ce9a9430788.jpg?1651017948,Artifact — Clue,Olena Richards
Agitator Ant,3,2022,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/c/5/c58f8394-db7d-496b-a6bf-481b3cc55fc8.jpg?1650417384,Creature — Insect,Igor Kieryluk
Ajani Unyielding,6,2022,0.35,#d78f42,https://cards.scryfall.io/normal/front/4/1/41000308-144d-4d3b-afec-e3928d20edfc.jpg?1650422609,Legendary Planeswalker — Ajani,Kieran Yanner
Alela- Artful Provocateur,4,2022,0.42,#d78f42,https://cards.scryfall.io/normal/front/a/b/abc9e41e-fd03-4b6f-8f44-17ba94fa44f5.jpg?1650422625,Legendary Creature — Faerie Warlock,Grzegorz Rutkowski
Angelic Sleuth,3,2022,0.18,#ffffff,https://cards.scryfall.io/normal/front/b/0/b0d044fe-9a6b-4994-9fad-2cc52696f90d.jpg?1650505837,Creature — Angel Advisor,Marc Simonetti
Anhelo- the Painter,3,2022,0.28,#d78f42,https://cards.scryfall.io/normal/front/4/6/462e887d-6b91-4b31-9487-2780ffe8943f.jpg?1650273222,Legendary Creature — Vampire Assassin,Aurore Folny
Arasta of the Endless Web,4,2022,0.18,#087500,https://cards.scryfall.io/normal/front/e/9/e905a310-02d5-4a86-bb58-2bb3502edba2.jpg?1650418703,Legendary Enchantment Creature — Spider,Sam Rowan
Archon of Coronation,6,2022,0.22,#ffffff,https://cards.scryfall.io/normal/front/2/c/2c306cf7-da52-4cc4-9272-bd7d78f1175d.jpg?1650407588,Creature — Archon,Antonio José Manzanedo
Army of the Damned,8,2022,0.36,#000000,https://cards.scryfall.io/normal/front/b/f/bf818314-1eb4-48da-8e6f-ff7b89873b63.jpg?1650412221,Sorcery,Ryan Pancoast
Artifact Mutation,2,2022,0.17,#d78f42,https://cards.scryfall.io/normal/front/f/e/fed09083-a259-4ab5-bb85-aeab9d0b1f7c.jpg?1650447595,Instant,José Parodi
Assemble the Legion,5,2022,0.19,#d78f42,https://cards.scryfall.io/normal/front/c/7/c7a760c9-eeb5-4b83-b68b-f6738915f534.jpg?1650422658,Enchantment,Eric Deschamps
Audacious Swap,4,2022,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/8/1/816cb69f-8c9f-4a1e-90d4-8c304501876c.jpg?1650416053,Instant,Igor Grechanyi
