name,cmc,release_year,price,color,image,type_line,artist
Aether Barrier,3,2000,1.78,#341aff,https://cards.scryfall.io/normal/front/3/6/36298f9f-12cc-43bd-adda-ccabd67a9568.jpg?1562629370,Enchantment,David Martin
Ascendant Evincar,6,2000,1.15,#000000,https://cards.scryfall.io/normal/front/e/5/e5c87c93-8cf4-4d1a-9bb8-349600da55bc.jpg?1562632574,Legendary Creature — Phyrexian Vampire Noble,Mark Zug
Avenger en-Dal,2,2000,0.19,#ffffff,https://cards.scryfall.io/normal/front/f/c/fcf6f711-c0bc-4e12-b9d0-41581924e13c.jpg?1562632893,Creature — Human Spellshaper,Ron Spencer
Belbe's Portal,5,2000,2.87,#8c8d8b,https://cards.scryfall.io/normal/front/f/b/fb4eeea1-693e-475c-a209-8a0464df8081.jpg?1562632886,Artifact,Mark Tedin
Blinding Angel,5,2000,6.75,#ffffff,https://cards.scryfall.io/normal/front/4/8/48c25553-6554-4e31-9012-c50da1f0a171.jpg?1562629720,Creature — Angel,Todd Lockwood
Complex Automaton,4,2000,0.27,#8c8d8b,https://cards.scryfall.io/normal/front/5/f/5fb3c7af-74e1-4072-953b-b3e9ccd8aa03.jpg?1562630191,Artifact Creature — Golem,Dana Knutson
Death Pit Offering,4,2000,0.33,#000000,https://cards.scryfall.io/normal/front/6/2/6223e583-8ef6-4d93-8ed0-3ccf4488f166.jpg?1562630236,Enchantment,Pete Venters
Divining Witch,2,2000,0.96,#000000,https://cards.scryfall.io/normal/front/b/e/be981eef-9dd2-4233-82c9-03f9f2e82c59.jpg?1562631792,Creature — Human Spellshaper,Donato Giancola
Eye of Yawgmoth,3,2000,0.25,#8c8d8b,https://cards.scryfall.io/normal/front/9/c/9c258aa1-cd9f-45e9-b478-d689b78850cd.jpg?1562631234,Artifact,DiTerlizzi
Flowstone Overseer,5,2000,0.28,#ff1a1a,https://cards.scryfall.io/normal/front/3/e/3e644ab8-3cc3-413d-a918-44fc636087ae.jpg?1562629522,Creature — Beast,Andrew Goldhawk
Flowstone Slide,4,2000,0.2,#ff1a1a,https://cards.scryfall.io/normal/front/e/c/ec7b02e1-0a20-4247-ae2a-056c5356f168.jpg?1562632691,Sorcery,Chippy
Kill Switch,3,2000,0.74,#8c8d8b,https://cards.scryfall.io/normal/front/a/9/a94cfd63-7f2b-4c0a-8dcb-f22cf83e1e27.jpg?1562631436,Artifact,Brian Snõddy
Kor Haven,0,2000,11.06,#ffffff,https://cards.scryfall.io/normal/front/3/d/3d5529ca-5c20-4dfd-8595-96d6dfa6debe.jpg?1562629492,Legendary Land,Darrell Riche
Laccolith Titan,7,2000,0.24,#ff1a1a,https://cards.scryfall.io/normal/front/e/3/e36bc466-0f74-46fd-add2-c1cf3b3fe46b.jpg?1562632509,Creature — Beast,Tony Szczudlo
Lin Sivvi- Defiant Hero,3,2000,2.35,#ffffff,https://cards.scryfall.io/normal/front/e/5/e574e522-2632-4cd4-8545-c582ac3b641f.jpg?1562632572,Legendary Creature — Human Rebel,rk post
Mana Cache,3,2000,0.64,#ff1a1a,https://cards.scryfall.io/normal/front/5/8/583a33b3-7833-48e5-88c3-849a5771ef6e.jpg?1562630035,Enchantment,rk post
Moggcatcher,4,2000,11.24,#ff1a1a,https://cards.scryfall.io/normal/front/9/b/9ba582d7-1dce-4664-8bd9-6b419596788c.jpg?1562631228,Creature — Human Mercenary,Pete Venters
Murderous Betrayal,3,2000,0.26,#000000,https://cards.scryfall.io/normal/front/f/1/f13a3ed0-aa57-4082-b6b0-b1078c93c0b2.jpg?1562632768,Enchantment,Randy Gallegos
Oracle's Attendants,4,2000,0.17,#ffffff,https://cards.scryfall.io/normal/front/e/2/e2e0ea3e-9826-408d-835b-18dfecaac8af.jpg?1562632497,Creature — Human Soldier,Dany Orizio
Overlaid Terrain,4,2000,0.53,#087500,https://cards.scryfall.io/normal/front/2/3/230c7926-9a4b-4ead-b4c8-889f84210545.jpg?1562629009,Enchantment,DiTerlizzi
Pack Hunt,4,2000,0.31,#087500,https://cards.scryfall.io/normal/front/1/c/1c46caa8-efc0-4b72-b122-61e5d86a5b86.jpg?1562628868,Sorcery,Sam Wood
Pale Moon,2,2000,0.12,#341aff,https://cards.scryfall.io/normal/front/a/e/aeb282bb-d0b8-4822-8197-ff0523549309.jpg?1562631482,Instant,Pete Venters
Parallax Inhibitor,2,2000,0.38,#8c8d8b,https://cards.scryfall.io/normal/front/f/7/f758617c-f0e4-43d5-8fb4-e33eb2c5b99f.jpg?1562632833,Artifact,Greg Staples
Parallax Nexus,3,2000,0.33,#000000,https://cards.scryfall.io/normal/front/8/6/862c50c7-0840-46e0-a653-5b660fdfd4bd.jpg?1562630856,Enchantment,Greg Staples
Parallax Tide,4,2000,4.41,#341aff,https://cards.scryfall.io/normal/front/7/f/7fe593eb-df3c-43e5-97a6-418f91e87cb3.jpg?1562630755,Enchantment,Carl Critchlow
Parallax Wave,4,2000,7.46,#ffffff,https://cards.scryfall.io/normal/front/c/e/cef789e8-e4cc-4f61-bc15-debc2487777f.jpg?1562632102,Enchantment,Greg Staples
Predator- Flagship,5,2000,0.48,#8c8d8b,https://cards.scryfall.io/normal/front/2/8/28927927-3974-48c3-81c2-518089a10003.jpg?1562629126,Legendary Artifact,Mark Tedin
Rathi Assassin,4,2000,0.25,#000000,https://cards.scryfall.io/normal/front/3/e/3e3597c3-3053-49f8-ab7e-a774e2fb082f.jpg?1562629520,Creature — Phyrexian Zombie Mercenary Assassin,Dana Knutson
Rath's Edge,0,2000,0.42,#8c8d8b,https://cards.scryfall.io/normal/front/4/2/42681dce-5c63-4e56-955e-39f085ea6ae9.jpg?1562629557,Legendary Land,Ron Spencer
Rhox,6,2000,0.35,#087500,https://cards.scryfall.io/normal/front/5/8/58388a29-b2a6-4d16-b872-f198563721d9.jpg?1562630034,Creature — Rhino Beast,Carl Critchlow
Rising Waters,4,2000,2.13,#341aff,https://cards.scryfall.io/normal/front/e/c/ec9c84db-cf45-43e1-b38f-8bbf53cf088b.jpg?1562632693,Enchantment,Scott M. Fischer
Rootwater Thief,2,2000,3.11,#341aff,https://cards.scryfall.io/normal/front/3/8/38addef3-1dd7-41a1-9706-3be5c86a58c9.jpg?1562629419,Creature — Merfolk Rogue,Ron Spears
Saproling Burst,5,2000,1.65,#087500,https://cards.scryfall.io/normal/front/d/e/de3a293d-08d8-49e4-b0fa-91afa0a5591d.jpg?1562632413,Enchantment,Carl Critchlow
Saproling Cluster,2,2000,0.46,#087500,https://cards.scryfall.io/normal/front/5/f/5f50072b-aedd-4074-b1f7-f9ce477c26c2.jpg?1562630183,Enchantment,Matt Cavotta
Seahunter,4,2000,5.29,#341aff,https://cards.scryfall.io/normal/front/c/3/c375f65a-6d88-4d3c-a7a7-8c7a5cc5807f.jpg?1562631875,Creature — Human Mercenary,Heather Hudson
Shrieking Mogg,2,2000,0.37,#ff1a1a,https://cards.scryfall.io/normal/front/0/c/0ce46919-d312-490c-8942-39fbb2d375bf.jpg?1562628622,Creature — Goblin,Dan Frazier
Sivvi's Valor,3,2000,0.26,#ffffff,https://cards.scryfall.io/normal/front/9/d/9d15f7b5-5070-4742-a05c-623822d874fb.jpg?1562631250,Instant,Jeff Miracola
Skyshroud Behemoth,7,2000,0.26,#087500,https://cards.scryfall.io/normal/front/1/c/1c01d17e-45a2-4b6f-aaa5-2af9c8f26181.jpg?1562628866,Creature — Beast,Eric Peterson
Skyshroud Poacher,4,2000,4.49,#087500,https://cards.scryfall.io/normal/front/0/f/0fb4e44e-656e-4294-a53b-1f7aa96fab31.jpg?1562628663,Creature — Human Rebel,Ron Spencer
Sliptide Serpent,6,2000,0.26,#341aff,https://cards.scryfall.io/normal/front/f/8/f8647649-5669-46c4-8840-9ff967fabd99.jpg?1562632850,Creature — Serpent,Daren Bader
Spiritual Asylum,4,2000,0.45,#ffffff,https://cards.scryfall.io/normal/front/e/5/e5eea354-2d92-4b57-aec7-25260ab7a70f.jpg?1562632575,Enchantment,Matt Cavotta
Stronghold Gambit,2,2000,0.65,#ff1a1a,https://cards.scryfall.io/normal/front/0/d/0d18050e-9aad-471e-a6ae-66e5fa2bbb6f.jpg?1562628634,Sorcery,Greg Hildebrandt & Tim Hildebrandt
Tangle Wire,3,2000,12.82,#8c8d8b,https://cards.scryfall.io/normal/front/a/d/ad62f313-8a8a-4ffa-ada2-b12b76288729.jpg?1562631474,Artifact,Glen Angus
Volrath the Fallen,6,2000,0.9,#000000,https://cards.scryfall.io/normal/front/0/8/08bdd66e-9ca1-456e-a61c-7c96cf6f7c56.jpg?1562628549,Legendary Creature — Phyrexian Shapeshifter,Kev Walker
