name,cmc,release_year,price,color,image,type_line,artist
Ao- the Dawn Sky,5,2022,1.85,#ffffff,https://cards.scryfall.io/normal/front/8/d/8d2c4063-7322-4041-a870-b95598a03e29.jpg?1654566143,Legendary Creature — Dragon Spirit,Chris Rahn
Atsushi- the Blazing Sky,4,2022,4.31,#ff1a1a,https://cards.scryfall.io/normal/front/7/3/73b64c17-8a52-4d9d-a28b-7e0e945be059.jpg?1654567533,Legendary Creature — Dragon Spirit,Victor Adame Minguez
Biting-Palm Ninja,3,2022,0.15,#000000,https://cards.scryfall.io/normal/front/3/0/3017df51-67ae-4c3d-8210-086f83bc2040.jpg?1654567052,Creature — Human Ninja,Andreas Zafiratos
Blade of the Oni,2,2022,0.48,#000000,https://cards.scryfall.io/normal/front/b/6/b6bc3f71-b4ce-4c05-be3c-7a0faad476c3.jpg?1654567069,Artifact Creature — Equipment Demon,Jason A. Engle
Boseiju- Who Endures,0,2022,31.13,#087500,https://cards.scryfall.io/normal/front/2/1/2135ac5a-187b-4dc9-8f82-34e8d1603416.jpg?1654568912,Legendary Land,Chris Ostrowski
Brilliant Restoration,7,2022,0.44,#ffffff,https://cards.scryfall.io/normal/front/6/4/64f7a506-0aa1-4c2d-b322-e0e9179d05fb.jpg?1654566199,Sorcery,Wylie Beckert
Cloudsteel Kirin,3,2022,0.22,#ffffff,https://cards.scryfall.io/normal/front/a/1/a13ddda7-da6e-415e-8886-295514f862d4.jpg?1654566199,Artifact Creature — Equipment Kirin,Jonathan Kuo
Eater of Virtue,1,2022,0.2,#8c8d8b,https://cards.scryfall.io/normal/front/3/4/34d92077-d7b2-4996-848f-fd4917e2fb42.jpg?1655144364,Legendary Artifact — Equipment,Tuan Duong Chu
Eiganjo- Seat of the Empire,0,2022,5.32,#ffffff,https://cards.scryfall.io/normal/front/c/3/c375a022-5b57-496d-a802-e4ea8376e9e4.jpg?1654568932,Legendary Land,Julian Kok Joon Wen
Eiganjo Uprising,2,2022,0.08,#d78f42,https://cards.scryfall.io/normal/front/3/5/35203138-5237-49aa-a335-7a32829548a1.jpg?1654568415,Sorcery,Johan Grenier
Explosive Singularity,10,2022,0.33,#ff1a1a,https://cards.scryfall.io/normal/front/e/6/e6cdd822-44a1-4d58-9de4-69fc56eae255.jpg?1654567601,Sorcery,Liiga Smilshkalne
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,3,2022,19.29,#ff1a1a,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Saga // Enchantment Creature — Goblin Shaman,Joseph Meehan
Farewell,6,2022,9.68,#ffffff,https://cards.scryfall.io/normal/front/e/1/e1068723-d1ef-4007-97d9-b10dccdbade4.jpg?1654566260,Sorcery,Seb McKinnon
Goro-Goro- Disciple of Ryusei,2,2022,0.46,#ff1a1a,https://cards.scryfall.io/normal/front/1/c/1ca736c7-35a9-48c7-b5a9-69b2a6e33ad0.jpg?1654567661,Legendary Creature — Goblin Samurai,Mike Jordana
Greasefang- Okiba Boss,3,2022,0.53,#d78f42,https://cards.scryfall.io/normal/front/5/6/56a0d43b-4d38-40a7-be6c-8324ab3bf773.jpg?1654568449,Legendary Creature — Rat Pilot,Victor Adame Minguez
Hidetsugu Consumes All // Vessel of the All-Consuming,3,2022,2.0,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Saga // Enchantment Creature — Ogre Shaman,Chris Cold
Hidetsugu- Devouring Chaos,4,2022,0.18,#d78f42,https://cards.scryfall.io/normal/front/6/f/6f4142d3-f7ca-4613-a6e5-528cf1f22383.jpg?1654567158,Legendary Creature — Ogre Demon,Isis
Hinata- Dawn-Crowned,4,2022,0.14,#d78f42,https://cards.scryfall.io/normal/front/f/2/f25aff90-56fd-4f70-bb3b-cabf2900c391.jpg?1654568472,Legendary Creature — Kirin Spirit,Alexander Mokhov
Inventive Iteration // Living Breakthrough,4,2022,0.13,#341aff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Saga // Enchantment Creature — Moonfolk,Nestor Ossandon Leal
Invoke Calamity,5,2022,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/f/e/fe666c86-6734-4c47-9244-bcd26b54068d.jpg?1654567682,Instant,Svetlin Velinov
Invoke Despair,5,2022,0.95,#000000,https://cards.scryfall.io/normal/front/3/5/35af9d5c-4449-4549-b549-c3ba4a67dee0.jpg?1685368727,Sorcery,Olivier Bernard
Invoke Justice,5,2022,0.19,#ffffff,https://cards.scryfall.io/normal/front/3/a/3a598ab6-3254-49fe-b69f-e7c759129599.jpg?1654566346,Sorcery,Kekai Kotaki
Invoke the Ancients,5,2022,0.08,#087500,https://cards.scryfall.io/normal/front/b/5/b5c02102-3be7-462f-ab9c-ff404255002d.jpg?1654568175,Sorcery,Filip Burburan
Invoke the Winds,5,2022,0.17,#341aff,https://cards.scryfall.io/normal/front/a/d/ad7b423a-bfd1-47aa-bd2c-64a169b96924.jpg?1654566747,Sorcery,Olivier Bernard
Isshin- Two Heavens as One,3,2022,0.21,#d78f42,https://cards.scryfall.io/normal/front/a/0/a062a004-984e-4b62-960c-af7288f7a3e9.jpg?1654568489,Legendary Creature — Human Samurai,Ryan Pancoast
Jin-Gitaxias- Progress Tyrant,7,2022,8.03,#341aff,https://cards.scryfall.io/normal/front/c/5/c57b4876-5387-4f73-b8e2-8e7bdca8b0bc.jpg?1654566749,Legendary Creature — Phyrexian Praetor,Chase Stone
Jugan Defends the Temple // Remnant of the Rising Star,3,2022,0.81,#087500,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Saga // Enchantment Creature — Dragon Spirit,Daniel Ljunggren
Junji- the Midnight Sky,5,2022,4.79,#000000,https://cards.scryfall.io/normal/front/9/0/9033cf27-d9e6-49b8-8ee1-c1f38c9680b9.jpg?1654567204,Legendary Creature — Dragon Spirit,Chase Stone
Kairi- the Swirling Sky,6,2022,0.44,#341aff,https://cards.scryfall.io/normal/front/a/f/af7979d8-21f3-40ba-8a2e-7ebad210e48b.jpg?1654566767,Legendary Creature — Dragon Spirit,Tyler Jacobson
Kaito Shizuki,3,2022,2.74,#d78f42,https://cards.scryfall.io/normal/front/2/d/2d35a710-3008-4e27-8afd-6e83329f9917.jpg?1654568510,Legendary Planeswalker — Kaito,Yongjae Choi
Kami of Transience,2,2022,0.19,#087500,https://cards.scryfall.io/normal/front/7/d/7d038a59-e589-45f4-b5ef-6d2f9875d560.jpg?1654568218,Creature — Spirit,Steve Prescott
Kodama of the West Tree,3,2022,8.48,#087500,https://cards.scryfall.io/normal/front/e/f/ef1e1dff-b559-441d-8df3-b6a418066aca.jpg?1654568238,Legendary Creature — Spirit,Daarken
Kotose- the Silent Spider,5,2022,0.07,#d78f42,https://cards.scryfall.io/normal/front/3/1/314e97b5-cd43-4f5e-acdd-a107208e061c.jpg?1654568534,Legendary Creature — Human Ninja,Marta Nael
Kura- the Boundless Sky,5,2022,1.75,#087500,https://cards.scryfall.io/normal/front/0/6/06b25752-26be-4189-bc8b-828db6f0e612.jpg?1654568249,Legendary Creature — Dragon Spirit,Donato Giancola
Kyodai- Soul of Kamigawa,4,2022,0.19,#d78f42,https://cards.scryfall.io/normal/front/c/b/cbbfd21e-96f1-4e5b-8546-73bb5a887b98.jpg?1654566369,Legendary Creature — Dragon Spirit,Daniel Zrom
Light-Paws- Emperor's Voice,2,2022,0.45,#ffffff,https://cards.scryfall.io/normal/front/3/9/39555a72-a57b-45ee-9222-ce3b9e8de126.jpg?1654566391,Legendary Creature — Fox Advisor,Randy Vargas
Lion Sash,2,2022,1.21,#ffffff,https://cards.scryfall.io/normal/front/3/e/3e1766e9-2fa7-4446-a255-7beea1467ece.jpg?1654566400,Artifact Creature — Equipment Cat,Yongjae Choi
Lizard Blades,2,2022,0.68,#ff1a1a,https://cards.scryfall.io/normal/front/a/7/a747e6cf-c687-4c4f-8e07-d51165d6cb62.jpg?1654567747,Artifact Creature — Equipment Lizard,Jason Kang
March of Burgeoning Life,1,2022,0.19,#087500,https://cards.scryfall.io/normal/front/0/e/0e223d99-408a-413d-abb1-cb2f11ae521d.jpg?1654568257,Instant,Wylie Beckert
March of Otherworldly Light,1,2022,1.59,#ffffff,https://cards.scryfall.io/normal/front/5/5/553fb946-2706-475b-89f9-e4355ec9ea2b.jpg?1654566420,Instant,Nils Hamm
March of Reckless Joy,1,2022,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/7/8/780e1bf1-e392-40f2-9e84-764dedc5fcd4.jpg?1654567748,Instant,Fiona Hsieh
