name,cmc,release_year,price,color,image,type_line,artist
Adriana- Captain of the Guard,5,2023,0.16,#d78f42,https://cards.scryfall.io/normal/front/1/a/1aa1e7ff-d0b9-441f-bcbb-4f0f89cab038.jpg?1675905751,Legendary Creature — Human Knight,Chris Rallis
Assemble the Legion,5,2023,0.18,#d78f42,https://cards.scryfall.io/normal/front/6/1/61eb1823-429d-4219-9fc3-62a35f58ae31.jpg?1675905752,Enchantment,Eric Deschamps
Call the Coppercoats,3,2023,0.47,#ffffff,https://cards.scryfall.io/normal/front/1/7/17844223-f9fb-4cd8-ba8e-d1db07e5ba55.jpg?1675905662,Instant,Cristi Balanescu
Canopy Vista,0,2023,0.47,#d78f42,https://cards.scryfall.io/normal/front/c/a/ca0a8be8-5d1b-43f6-aeb8-4c7715fa0ad3.jpg?1675905808,Land — Forest Plains,Adam Paquette
Castle Ardenvale,0,2023,0.88,#ffffff,https://cards.scryfall.io/normal/front/c/b/cbfea260-697d-46e7-800d-12b26558eb13.jpg?1675905809,Land,Volkan Baǵa
Castle Embereth,0,2023,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/b/a/ba88da8e-6405-4c02-9c98-a4db6e6194f5.jpg?1675905810,Land,Jaime Jones
Chain Reaction,4,2023,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/8/6/86ac292c-070e-439f-9c25-f4037cf1edd5.jpg?1675905727,Sorcery,Trevor Claxton
Chiss-Goria- Forge Tyrant,9,2023,3.05,#ff1a1a,https://cards.scryfall.io/normal/front/9/2/923eb713-c955-4e12-8a8f-df3b4b361487.jpg?1675905606,Legendary Creature — Dragon,Svetlin Velinov
Chromatic Lantern,3,2023,3.23,#8c8d8b,https://cards.scryfall.io/normal/front/5/d/5df8ba21-7522-4163-a801-0e967c0ccf99.jpg?1675905774,Artifact,Jung Park
Clever Concealment,4,2023,7.23,#ffffff,https://cards.scryfall.io/normal/front/5/d/5d84cc58-0965-4c7f-a408-7630f23fb8f3.jpg?1675905567,Instant,Alexey Kruglov
Collective Effort,3,2023,0.18,#ffffff,https://cards.scryfall.io/normal/front/3/6/368eb49a-24b6-4608-9016-f17127827b60.jpg?1675905665,Sorcery,Eric Deschamps
Contaminant Grafter,5,2023,1.51,#087500,https://cards.scryfall.io/normal/front/0/e/0ef2f776-ff35-464b-bfcf-075c9ae4baa7.jpg?1675905591,Creature — Phyrexian Druid,Lars Grant-West
Court of Grace,4,2023,0.58,#ffffff,https://cards.scryfall.io/normal/front/e/4/e4e3e867-95e7-47bc-95c4-77c686ddf82a.jpg?1675905668,Enchantment,Denman Rooke
Culling Ritual,4,2023,1.18,#d78f42,https://cards.scryfall.io/normal/front/1/7/171424dc-1aad-4bab-9507-f7dd19cb80ae.jpg?1675905756,Sorcery,Lorenzo Mastroianni
Dragonmaster Outcast,1,2023,0.51,#ff1a1a,https://cards.scryfall.io/normal/front/5/8/58027a26-5beb-4fc1-8866-61dfa1093cc1.jpg?1675905729,Creature — Human Shaman,Raymond Swanland
Elspeth Tirel,5,2023,0.93,#ffffff,https://cards.scryfall.io/normal/front/5/9/59dedcb3-6c03-4484-a493-e6f808a33ead.jpg?1675905669,Legendary Planeswalker — Elspeth,Michael Komarck
Emeria Angel,4,2023,0.19,#ffffff,https://cards.scryfall.io/normal/front/b/2/b2c4b875-b4fd-4a5d-bdcc-3e02ffcc46de.jpg?1675905670,Creature — Angel,Jim Murray
Exotic Orchard,0,2023,0.17,#8c8d8b,https://cards.scryfall.io/normal/front/5/a/5ac74c39-c623-4801-b552-e5f6a64dbf2f.jpg?1675905816,Land,Steven Belledin
Felidar Retreat,4,2023,0.65,#ffffff,https://cards.scryfall.io/normal/front/9/5/95acdbfc-ec40-4ecd-bd0b-0908ed5d31bc.jpg?1675905674,Enchantment,Ralph Horsley
Finale of Glory,2,2023,0.47,#ffffff,https://cards.scryfall.io/normal/front/9/b/9b6b5cb7-26aa-43d6-ae97-24e5efd3c636.jpg?1675905675,Sorcery,Stanton Feng
Flawless Maneuver,3,2023,7.41,#ffffff,https://cards.scryfall.io/normal/front/3/d/3d572269-3984-48d2-9705-8fe8afb4a2f6.jpg?1675905678,Instant,Zoltan Boros
Fortified Village,0,2023,0.15,#d78f42,https://cards.scryfall.io/normal/front/a/c/ac54bda0-0ad4-4e21-b766-45c1a70bbe52.jpg?1675905817,Land,Cliff Childs
Fumigate,5,2023,0.39,#ffffff,https://cards.scryfall.io/normal/front/4/6/46356861-5519-4970-87bf-006100ab9a7f.jpg?1675905678,Sorcery,Svetlin Velinov
Furycalm Snarl,0,2023,0.21,#d78f42,https://cards.scryfall.io/normal/front/6/3/6371dec1-5c44-4ba7-a29e-222b758d4709.jpg?1675905818,Land,Sam Burley
Geth's Summons,4,2023,0.15,#000000,https://cards.scryfall.io/normal/front/9/c/9cdab166-c0d2-45c4-8326-f4670cd7efd4.jpg?1675905580,Sorcery,Johann Bodin
