name,cmc,release_year,price,color,image,type_line,artist
Academy Manufactor,3,2024,3.07,#8c8d8b,https://cards.scryfall.io/normal/front/7/6/76480f4d-ad6d-4ed6-82c6-fa12abc22557.jpg?1712354835,Artifact Creature — Assembly-Worker,Campbell White
Ancient Greenwarden,6,2024,8.79,#087500,https://cards.scryfall.io/normal/front/1/2/12a0bf5c-a165-48f1-9a57-3a7cc9f3b0f9.jpg?1712354536,Creature — Elemental,Grzegorz Rutkowski
Angelic Sell-Sword,5,2024,0.2,#ffffff,https://cards.scryfall.io/normal/front/7/5/7581a319-8d15-4b67-a3d5-b90f1e99079b.jpg?1712353766,Creature — Angel Mercenary,Ekaterina Burmak
Angel of Indemnity,6,2024,4.65,#ffffff,https://cards.scryfall.io/normal/front/8/d/8d8b415e-d077-4548-9738-15d8828e49e3.jpg?1712353765,Creature — Angel Warrior,Denman Rooke
Angrath's Marauders,7,2024,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/c/f/cf0a0bef-ed72-4fdf-9799-6f6430c8a8a7.jpg?1712354371,Creature — Human Pirate,Victor Adame Minguez
Arcane Bombardment,6,2024,0.7,#ff1a1a,https://cards.scryfall.io/normal/front/e/f/ef7e6e2d-d984-483e-b117-b1c5d640dc23.jpg?1712354373,Enchantment,Marta Nael
Arcane Heist,4,2024,0.28,#341aff,https://cards.scryfall.io/normal/front/3/c/3ceb13f4-ac9e-4ddd-9170-545f8d37b87a.jpg?1712353781,Sorcery,Anna Pavleeva
Archmage Emeritus,4,2024,2.04,#341aff,https://cards.scryfall.io/normal/front/c/3/c3dbdc3b-4855-48aa-b06d-a31166161eab.jpg?1712354117,Creature — Human Wizard,Caio Monteiro
Avenger of Zendikar,7,2024,2.26,#087500,https://cards.scryfall.io/normal/front/c/d/cdddf3ca-e378-44cc-83b7-d7917d9cba53.jpg?1712354538,Creature — Elemental,Zoltan Boros & Gabor Szikszai
Back in Town,3,2024,0.82,#000000,https://cards.scryfall.io/normal/front/3/9/393a864c-caa0-4030-b8bd-be0bb967eb72.jpg?1712353800,Sorcery,Greg Staples
Baleful Mastery,4,2024,0.43,#000000,https://cards.scryfall.io/normal/front/5/7/579e20e7-1395-4a6c-a836-ae3419fc8808.jpg?1712354258,Instant,Chris Cold
Baleful Strix,2,2024,0.61,#d78f42,https://cards.scryfall.io/normal/front/b/e/be8439e6-f779-49f0-806a-b04995697a6a.jpg?1712354664,Artifact Creature — Bird,Nils Hamm
Baral's Expertise,5,2024,0.11,#341aff,https://cards.scryfall.io/normal/front/0/f/0f3bb535-dd33-430d-aace-7cf73d437890.jpg?1712354117,Sorcery,Todd Lockwood
Battlefield Forge,0,2024,0.85,#d78f42,https://cards.scryfall.io/normal/front/b/c/bc6c3170-9e84-46ea-8311-911145f9c48a.jpg?1712354920,Land,Thomas Stoop
Blackcleave Cliffs,0,2024,1.33,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0396bf2-09a2-433e-bc0e-e2149a831f37.jpg?1712354920,Land,Yeong-Hao Han
Bladegriff Prototype,5,2024,0.09,#8c8d8b,https://cards.scryfall.io/normal/front/0/0/0093bdcf-6626-40ab-9b87-8ab9e4a306a4.jpg?1712354843,Artifact Creature — Griffin,Johann Bodin
Bloodthirsty Adversary,2,2024,0.51,#ff1a1a,https://cards.scryfall.io/normal/front/1/d/1d6d5c4b-01ec-407f-b3b6-854ab5127bdc.jpg?1712354388,Creature — Vampire,Heonhwa Choe
Bonders' Enclave,0,2024,0.25,#8c8d8b,https://cards.scryfall.io/normal/front/d/1/d174f42c-dcf2-4da9-812b-7e1d0991d466.jpg?1712354928,Land,Cliff Childs
Bounty Board,3,2024,0.27,#8c8d8b,https://cards.scryfall.io/normal/front/2/5/2570aa04-27ac-406c-b1c8-5d84f7daf693.jpg?1712353887,Artifact,Matt Stewart
Brainstealer Dragon,7,2024,1.4,#000000,https://cards.scryfall.io/normal/front/8/8/884d4eea-77c0-4b78-bb83-3f855cc77298.jpg?1712354262,Creature — Dragon Horror,Joshua Raphael
Breena- the Demagogue,3,2024,0.98,#d78f42,https://cards.scryfall.io/normal/front/d/0/d0adb0c2-d45f-4c51-a4df-05f75c83e46a.jpg?1712354672,Legendary Creature — Bird Warlock,Simon Dominic
Cactus Preserve,0,2024,1.13,#8c8d8b,https://cards.scryfall.io/normal/front/a/d/ad9d426f-5870-42bb-a589-9218f7e35d62.jpg?1712353904,Land — Desert,Jonas De Ro
Canyon Slough,0,2024,0.17,#d78f42,https://cards.scryfall.io/normal/front/7/b/7bcb3b2c-087a-473c-890c-6db48498b728.jpg?1712354936,Land — Swamp Mountain,Titus Lunter
Captain Lannery Storm,3,2024,0.11,#ff1a1a,https://cards.scryfall.io/normal/front/6/0/60a457e2-6cc7-47f0-9a24-df5459395358.jpg?1712354390,Legendary Creature — Human Pirate,Chris Rallis
Captivating Crew,4,2024,0.17,#ff1a1a,https://cards.scryfall.io/normal/front/1/3/13710c49-496d-41f9-87a4-5794dea9145d.jpg?1712354398,Creature — Human Pirate,Winona Nelson
Cascade Bluffs,0,2024,2.27,#d78f42,https://cards.scryfall.io/normal/front/6/b/6bdfb921-db15-49fd-90c2-5d725a28f675.jpg?1712354936,Land,Brandon Kitkouski
Cataclysmic Prospecting,2,2024,0.11,#ff1a1a,https://cards.scryfall.io/normal/front/1/4/149829e6-94bd-49a0-be35-51f37bea7ffb.jpg?1712357957,Sorcery,PINDURSKI
Caves of Koilos,0,2024,0.59,#d78f42,https://cards.scryfall.io/normal/front/e/8/e8d95d7c-743e-4031-9431-da0e60969ec3.jpg?1712354944,Land,Julian Kok Joon Wen
Cazur- Ruthless Stalker,4,2024,0.19,#087500,https://cards.scryfall.io/normal/front/6/e/6ee4fda8-07cd-4091-8850-a6925080b464.jpg?1713732725,Legendary Creature — Human Warrior,Daarken
Chaos Wand,3,2024,0.11,#8c8d8b,https://cards.scryfall.io/normal/front/6/7/67eb6ab9-d264-4ec6-9dac-3b16ee8c9ec0.jpg?1712354844,Artifact,Kari Christensen
Chaos Warp,3,2024,0.47,#ff1a1a,https://cards.scryfall.io/normal/front/c/e/ce9df20b-c58b-4147-9ff8-902ce2944f50.jpg?1712354399,Instant,Trevor Claxton
Charred Graverobber,3,2024,0.08,#000000,https://cards.scryfall.io/normal/front/7/b/7bbebce1-88d1-4002-8c28-746b0976d662.jpg?1712357953,Creature — Skeleton Mercenary,Matt Stewart
Chromatic Lantern,3,2024,2.28,#8c8d8b,https://cards.scryfall.io/normal/front/8/f/8f6448b1-ffc7-43f0-b713-881016ce9485.jpg?1712354852,Artifact,Jung Park
Clifftop Retreat,0,2024,0.51,#d78f42,https://cards.scryfall.io/normal/front/5/f/5f6b7995-faf8-4fba-8be8-12ee71bd53bf.jpg?1712354945,Land,Christine Choi
Cold-Eyed Selkie,3,2024,0.12,#d78f42,https://cards.scryfall.io/normal/front/8/c/8c39dc54-611e-48a8-adba-9cc31afa87d0.jpg?1712354680,Creature — Merfolk Rogue,Jaime Jones
Command Beacon,0,2024,6.15,#8c8d8b,https://cards.scryfall.io/normal/front/4/f/4ff61202-fb5e-4cea-a5ea-168505ac31e1.jpg?1712354952,Land,Jonas De Ro
