name,cmc,release_year,price,color,image,type_line,artist
Akul the Unrepentant,4,2024,0.17,#d78f42,https://cards.scryfall.io/normal/front/6/8/68fd8548-50db-4243-9154-377f32408d58.jpg?1712356029,Legendary Creature — Scorpion Dragon Rogue,Kekai Kotaki
Annie Flash- the Veteran,6,2024,0.19,#d78f42,https://cards.scryfall.io/normal/front/8/d/8d4af7c3-a70d-4f71-b27d-b268c4a0f81e.jpg?1712356036,Legendary Creature — Human Rogue,Kieran Yanner
Annie Joins Up,4,2024,3.14,#d78f42,https://cards.scryfall.io/normal/front/1/6/1624a5f4-f5bc-47c9-85de-c5520ee234ce.jpg?1712356038,Legendary Enchantment,Wylie Beckert
Another Round,3,2024,0.32,#ffffff,https://cards.scryfall.io/normal/front/4/f/4f8dc511-e307-4412-bb79-375a6077312d.jpg?1712355226,Sorcery,Darrell Riche
Archangel of Tithes,4,2024,2.48,#ffffff,https://cards.scryfall.io/normal/front/c/8/c853d04c-864b-491c-8c6f-72d2d4874d2f.jpg?1712355228,Creature — Angel,Denys Tsiperko
Archmage's Newt,2,2024,0.12,#341aff,https://cards.scryfall.io/normal/front/a/4/a440bbd6-8e51-4db1-90d9-7fa9fc327ad5.jpg?1712355386,Creature — Salamander Mount,Edgar Sánchez Hidalgo
Assimilation Aegis,3,2024,0.52,#d78f42,https://cards.scryfall.io/normal/front/0/1/014bf3c6-e46f-48f8-902f-82deeba260b2.jpg?1712356044,Artifact — Equipment,Matt Stewart
Aven Interrupter,3,2024,2.59,#ffffff,https://cards.scryfall.io/normal/front/d/3/d3ca43a4-d194-440f-8099-f1fa103a108d.jpg?1712355236,Creature — Bird Rogue,Daniel Romanovsky
Blooming Marsh,0,2024,1.62,#d78f42,https://cards.scryfall.io/normal/front/8/6/861caabb-0573-4e94-8b03-342f90465064.jpg?1723149884,Land,Yeong-Hao Han
Bonny Pall- Clearcutter,6,2024,0.48,#d78f42,https://cards.scryfall.io/normal/front/4/3/4383ae7c-58ea-4354-93e4-677ad185c3bb.jpg?1712356061,Legendary Creature — Giant Scout,Bryan Sola
Botanical Sanctum,0,2024,0.92,#d78f42,https://cards.scryfall.io/normal/front/c/c/cc18d5f4-a56a-4f7d-9f56-ccc92cbfb7f7.jpg?1712356371,Land,Jorge Jacinto
Breeches- the Blastmaker,3,2024,0.15,#d78f42,https://cards.scryfall.io/normal/front/c/f/cf3bda9e-42af-4f99-a504-c96c25c2794b.jpg?1712356062,Legendary Creature — Goblin Pirate,Dmitry Burmak
Bristly Bill- Spine Sower,2,2024,41.61,#087500,https://cards.scryfall.io/normal/front/5/2/52eef0d6-24b7-40b7-8403-e8e863d0cd55.jpg?1712355894,Legendary Creature — Plant Druid,Daniel Zrom
Bruse Tarl- Roving Rancher,4,2024,0.11,#d78f42,https://cards.scryfall.io/normal/front/2/8/286c55c2-dcc1-4e87-a83f-9981d28ab62d.jpg?1712356070,Legendary Creature — Human Warrior,Forrest Imel
Calamity- Galloping Inferno,6,2024,0.24,#ff1a1a,https://cards.scryfall.io/normal/front/e/7/e7a70f5a-2056-4c26-b6ea-9f751b5d0d8c.jpg?1712355721,Legendary Creature — Horse Mount,Artur Nakhodkin
Caustic Bronco,2,2024,0.44,#000000,https://cards.scryfall.io/normal/front/e/9/e9a268ba-c442-4fe4-90b4-2810c8474f4e.jpg?1712355566,Creature — Snake Horse Mount,Brent Hollowell
Claim Jumper,3,2024,0.86,#ffffff,https://cards.scryfall.io/normal/front/6/5/654ade6b-0369-4b90-a744-2f57a45b04f4.jpg?1712355252,Creature — Rabbit Mercenary,Gaboleps
Colossal Rattlewurm,4,2024,0.12,#087500,https://cards.scryfall.io/normal/front/1/7/17a104d3-e4ac-44a0-9c6a-39965b1b9751.jpg?1712355903,Creature — Wurm,Filip Burburan
Concealed Courtyard,0,2024,1.08,#d78f42,https://cards.scryfall.io/normal/front/b/7/b75df1f0-0513-40e4-a449-454f75de6434.jpg?1712356373,Land,Rockey Chen
Double Down,4,2024,0.86,#341aff,https://cards.scryfall.io/normal/front/8/e/8ecccdf3-98c6-4aed-8757-913623efb677.jpg?1712355404,Enchantment,Javier Charro
Duelist of the Mind,2,2024,0.18,#341aff,https://cards.scryfall.io/normal/front/2/b/2b58e47b-c165-4a58-aa2a-033a35645adc.jpg?1716283553,Creature — Human Advisor,Darren Tan
Dust Animus,2,2024,0.13,#ffffff,https://cards.scryfall.io/normal/front/7/0/70719e7b-6f02-4c1a-9f11-79b2b0d9846a.jpg?1712355260,Creature — Spirit,Uriah Voth
Eriette- the Beguiler,4,2024,0.14,#d78f42,https://cards.scryfall.io/normal/front/f/4/f46c133a-7ae4-431b-88f2-ec606a7baf69.jpg?1712356086,Legendary Creature — Human Warlock,Chris Rallis
Fblthp- Lost on the Range,3,2024,0.18,#341aff,https://cards.scryfall.io/normal/front/0/1/01d3e6ea-4791-4948-af22-c1bd04c34c1e.jpg?1712355420,Legendary Creature — Homunculus,Brian Valeza
Final Showdown,1,2024,4.57,#ffffff,https://cards.scryfall.io/normal/front/3/5/358968f9-45bd-4022-b6bc-f1f7e0adf0e7.jpg?1712860587,Instant,Izzy
Fortune- Loyal Steed,3,2024,0.18,#ffffff,https://cards.scryfall.io/normal/front/0/6/069294a8-e65a-47af-942f-7e99d18658f2.jpg?1712355270,Legendary Creature — Beast Mount,Artur Nakhodkin
Freestrider Lookout,3,2024,0.3,#087500,https://cards.scryfall.io/normal/front/3/2/32370f05-52a2-405f-b2bb-1b8a9b0b69f8.jpg?1712355921,Creature — Human Rogue,Matt Zeilinger
Geralf- the Fleshwright,3,2024,1.74,#341aff,https://cards.scryfall.io/normal/front/a/f/afe3b678-b340-4c53-bbf6-19252a809d73.jpg?1712355427,Legendary Creature — Human Warlock,Chris Rahn
Ghired- Mirror of the Wilds,3,2024,0.4,#d78f42,https://cards.scryfall.io/normal/front/e/4/e43e3d71-4fb8-4ab1-8c8f-b65ae3ad4cc4.jpg?1712356098,Legendary Creature — Human Shaman,Diego Gisbert
Gisa- the Hellraiser,5,2024,3.5,#000000,https://cards.scryfall.io/normal/front/d/b/db7c07b2-02b2-4e62-bf1b-4848e06eec28.jpg?1712355592,Legendary Creature — Human Warlock,Chris Rahn
Goldvein Hydra,1,2024,7.79,#087500,https://cards.scryfall.io/normal/front/d/e/de0e01e4-e143-47fd-8565-7b48219bb546.jpg?1712355937,Creature — Hydra,David Auden Nash
Great Train Heist,1,2024,1.44,#ff1a1a,https://cards.scryfall.io/normal/front/3/5/357dd9b2-5d2d-49f6-86f0-f5c4d63474dd.jpg?1712860638,Instant,Campbell White
Hellspur Posse Boss,4,2024,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/5/f/5f348c7e-7d72-40f1-a65f-ee7ff4b09412.jpg?1712355772,Creature — Lizard Rogue,Artur Nakhodkin
Hell to Pay,1,2024,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/8/4/84ad8ed7-1429-432e-8217-a4db3b97675c.jpg?1712355764,Sorcery,Liiga Smilshkalne
High Noon,2,2024,3.89,#d78f42,https://cards.scryfall.io/normal/front/9/9/9995e0e6-7c9c-4fef-8fd2-8fb1622e6ec8.jpg?1712355285,Enchantment,Eduardo Francisco
Insatiable Avarice,1,2024,2.28,#000000,https://cards.scryfall.io/normal/front/a/1/a108b0e4-1b43-4659-9e91-facb0bd57ebb.jpg?1712860590,Sorcery,Scott Murphy
