name,cmc,release_year,price,color,image,type_line,artist
Alaborn Veteran,3,1998,1.65,#ffffff,https://cards.scryfall.io/normal/front/7/9/79d7992d-9acd-4eaa-b6e0-a47acb880548.jpg?1562923725,Creature — Human Knight,Henry Van Der Linde
Alluring Scent,3,1998,3.32,#087500,https://cards.scryfall.io/normal/front/6/5/65d66645-a5e5-4d29-9dc0-a058f7a3f24b.jpg?1562919017,Sorcery,Melissa A. Benson
Ancient Craving,4,1998,3.19,#000000,https://cards.scryfall.io/normal/front/3/7/37ee59a7-0f41-4d5d-b049-71ca1ba335b1.jpg?1562908126,Sorcery,Rob Alexander
Angel of Fury,6,1998,2.64,#ffffff,https://cards.scryfall.io/normal/front/2/4/2461bf0b-53e4-4103-8485-88a940ad66fd.jpg?1562903606,Creature — Angel,Keith Parkinson
Archangel,7,1998,6.63,#ffffff,https://cards.scryfall.io/normal/front/b/e/be73364e-d833-410f-b460-c36fe14c52ca.jpg?1562939944,Creature — Angel,rk post
Armageddon,4,1998,14.98,#ffffff,https://cards.scryfall.io/normal/front/9/5/9591f2ab-e09c-48d5-9c87-d27368e60750.jpg?1562930243,Sorcery,Rob Alexander
Brimstone Dragon,8,1998,4.31,#ff1a1a,https://cards.scryfall.io/normal/front/5/4/54c72f51-2e8c-4a2f-9b61-80f36f8af521.jpg?1562914847,Creature — Dragon,David A. Cherry
Coastal Wizard,4,1998,3.27,#341aff,https://cards.scryfall.io/normal/front/0/b/0b8c7377-1404-44a4-9689-1fc6cdc286c8.jpg?1562897614,Creature — Human Wizard,Edward P. Beard, Jr.
Cunning Giant,6,1998,1.78,#ff1a1a,https://cards.scryfall.io/normal/front/0/a/0aa284a7-3aac-4e88-becb-548a28c77401.jpg?1562897416,Creature — Giant,Jeffrey R. Busch
Dakmor Sorceress,6,1998,9.3,#000000,https://cards.scryfall.io/normal/front/9/8/985ef9ad-b842-40b7-8d56-98143ecef0dc.jpg?1562930871,Creature — Human Wizard,Matthew D. Wilson
Deathcoil Wurm,8,1998,5.55,#087500,https://cards.scryfall.io/normal/front/7/c/7c17e3b5-d609-4289-9b74-5ac96ab4ccfa.jpg?1562924236,Creature — Wurm,Rebecca Guay
Denizen of the Deep,8,1998,3.6,#341aff,https://cards.scryfall.io/normal/front/6/2/620478b8-47b7-48c5-ac22-1ba4d234c794.jpg?1562918083,Creature — Serpent,Anson Maddocks
Earthquake,1,1998,15.83,#ff1a1a,https://cards.scryfall.io/normal/front/0/5/05126438-e806-43e6-bd81-233b629b4a1b.jpg?1562896224,Sorcery,Jeffrey R. Busch
Exhaustion,3,1998,0.5,#341aff,https://cards.scryfall.io/normal/front/f/c/fcc103a6-7888-4e35-b35b-a796a48caf70.jpg?1562954882,Sorcery,Kaja Foglio
Goblin General,3,1998,7.57,#ff1a1a,https://cards.scryfall.io/normal/front/7/f/7fdce2e5-60dd-4993-b74c-f49f013b28f0.jpg?1562925155,Creature — Goblin Warrior,Keith Parkinson
Hidden Horror,3,1998,0.96,#000000,https://cards.scryfall.io/normal/front/6/4/64243f71-0941-47d5-816b-4548986726b4.jpg?1562918575,Creature — Horror,Brom
Hurricane,1,1998,0.76,#087500,https://cards.scryfall.io/normal/front/6/b/6b4dd722-4729-444a-9d81-e2e93317fbd5.jpg?1562920277,Sorcery,Rob Alexander
Just Fate,3,1998,0.96,#ffffff,https://cards.scryfall.io/normal/front/a/6/a6e5e572-030d-4a41-89e6-e720b49bc131.jpg?1562934537,Instant,Bradley Williams
Magma Giant,7,1998,1.87,#ff1a1a,https://cards.scryfall.io/normal/front/9/2/92bec2e0-a016-42bd-85d9-fbb262998110.jpg?1562929549,Creature — Giant,Michael Weaver
Nightstalker Engine,5,1998,0.61,#000000,https://cards.scryfall.io/normal/front/6/1/61e440ad-462f-4c7e-a646-8c5123a9f6b2.jpg?1562918068,Creature — Nightstalker,Mark Tedin
Norwood Priestess,4,1998,73.47,#087500,https://cards.scryfall.io/normal/front/7/a/7afd472f-1ede-4e78-b44c-3298ee4c8694.jpg?1562923996,Creature — Elf Druid,Melissa A. Benson
Piracy,2,1998,25.66,#341aff,https://cards.scryfall.io/normal/front/d/a/daeab88f-2bfc-4f40-8eed-ee44a9e90bd7.jpg?1562947127,Sorcery,Bradley Williams
Rain of Daggers,6,1998,8.32,#000000,https://cards.scryfall.io/normal/front/b/b/bb09a5bb-9730-43cd-8dea-3842634c9983.jpg?1562939110,Sorcery,Melissa A. Benson
Razorclaw Bear,4,1998,50.02,#087500,https://cards.scryfall.io/normal/front/0/8/08c0cdbe-ca74-4edc-96ea-6db8eefe99d8.jpg?1562897011,Creature — Bear,Heather Hudson
Relentless Assault,4,1998,7.86,#ff1a1a,https://cards.scryfall.io/normal/front/c/6/c641c3d6-0364-4209-b908-1717e5e612ad.jpg?1562941813,Sorcery,Tom Wänerstrand
Return of the Nightstalkers,7,1998,0.52,#000000,https://cards.scryfall.io/normal/front/e/8/e85d85c2-9f34-4375-adcd-a1c5b487cacc.jpg?1562950322,Sorcery,Randy Gallegos
Righteous Fury,6,1998,44.03,#ffffff,https://cards.scryfall.io/normal/front/c/4/c408f43e-9092-440d-a15f-bef4ad58bcc6.jpg?1562941331,Sorcery,Edward P. Beard, Jr.
Steam Catapult,5,1998,3.2,#ffffff,https://cards.scryfall.io/normal/front/c/d/cdbf23ff-e095-4c5c-afe6-76badfc422c5.jpg?1562943575,Creature — Human Soldier,Mark Tedin
Sylvan Basilisk,5,1998,1.11,#087500,https://cards.scryfall.io/normal/front/b/9/b9c09886-a733-4797-a489-46150cecfc13.jpg?1562938751,Creature — Basilisk,Ron Spencer
Sylvan Yeti,4,1998,2.61,#087500,https://cards.scryfall.io/normal/front/0/a/0a8686e2-1e14-4b4a-b45b-cab4d5c57fce.jpg?1562897397,Creature — Yeti,Brom
Talas Researcher,5,1998,1.04,#341aff,https://cards.scryfall.io/normal/front/1/c/1c51008b-7031-4dbc-b4d6-7433c05bf6dc.jpg?1723218607,Creature — Human Pirate Wizard,Kaja Foglio
Talas Warrior,3,1998,6.39,#341aff,https://cards.scryfall.io/normal/front/d/e/de3d8cc5-5889-4e52-a32c-d15556fd2166.jpg?1562947867,Creature — Human Pirate Warrior,Douglas Shuler
Temporal Manipulation,5,1998,34.47,#341aff,https://cards.scryfall.io/normal/front/b/3/b3964160-79d6-4cdd-8b43-7a8f5dde9da7.jpg?1562937385,Sorcery,Anson Maddocks
Vampiric Spirit,4,1998,1.6,#000000,https://cards.scryfall.io/normal/front/f/6/f636e46a-9d35-47b8-8df0-6dcb18105d30.jpg?1562953357,Creature — Spirit,Anson Maddocks
Wildfire,6,1998,2.31,#ff1a1a,https://cards.scryfall.io/normal/front/b/6/b69cfcb0-db68-4494-a3e1-7c2ca279fcf5.jpg?1562938018,Sorcery,Rob Alexander
