name,cmc,release_year,price,color,image,type_line,artist
Booster Tutor,1,2004,6.47,#000000,https://cards.scryfall.io/normal/front/c/a/cae082e5-f757-4e7e-9d8c-7d916adf3308.jpg?1595011005,Instant,Heather Hudson
Circle of Protection: Art,2,2004,3.85,#ffffff,https://cards.scryfall.io/normal/front/b/a/ba69864e-aee2-4b9f-821c-8b4a1c05c2ac.jpg?1562271905,Enchantment,Mark “It’s teh-DEEN” Tedin
Forest,0,2004,1.88,#087500,https://cards.scryfall.io/normal/front/9/c/9c090dcd-0fa4-4f36-8494-98d52f70ffef.jpg?1562271901,Basic Land — Forest,John Avon
Goblin Mime,2,2004,1.99,#ff1a1a,https://cards.scryfall.io/normal/front/0/f/0fa0dd4a-40a2-4b15-b66a-42366c5f86a6.jpg?1562271539,Creature — Goblin Mime,Dan Frazier
Granny's Payback,8,2004,5.24,#087500,https://cards.scryfall.io/normal/front/5/a/5a196944-442c-4441-8209-2902010cf407.jpg?1562271540,Sorcery,Kaja Foglio
Island,0,2004,3.81,#341aff,https://cards.scryfall.io/normal/front/d/d/dd43b070-6a10-44b9-8501-0c2c8ef1f135.jpg?1562271910,Basic Land — Island,John Avon
Mise,1,2004,9.42,#341aff,https://cards.scryfall.io/normal/front/6/e/6ecbc4d8-cb45-4c3d-8e93-8b517ca7da7f.jpg?1562271895,Instant,Mark Zug
Mountain,0,2004,2.9,#ff1a1a,https://cards.scryfall.io/normal/front/a/f/af2901cb-7c2a-4471-a824-326e97196201.jpg?1562271903,Basic Land — Mountain,John Avon
Plains,0,2004,1.9,#ffffff,https://cards.scryfall.io/normal/front/b/d/bd0f1d3e-a659-4c07-9e5d-b18750dc00fc.jpg?1562271907,Basic Land — Plains,John Avon
Swamp,0,2004,5.11,#000000,https://cards.scryfall.io/normal/front/9/0/901c4c2e-0403-483c-9505-63ca51156a29.jpg?1562271899,Basic Land — Swamp,John Avon
