name,cmc,release_year,price,color,image,type_line,artist
Canopy Vista,0,2021,2.15,#d78f42,https://cards.scryfall.io/normal/front/c/d/cda2c210-8da3-4b50-b11d-d88459a22451.jpg?1612984953,Land — Forest Plains,Adam Paquette
Cinder Glade,0,2021,1.78,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0439e59-6dbb-4f51-81c0-b60af3f0df62.jpg?1616878567,Land — Mountain Forest,Adam Paquette
Dragonmaster Outcast,1,2020,1.4,#ff1a1a,https://cards.scryfall.io/normal/front/7/4/7417983e-3048-421d-b4cd-7bcc79b0f064.jpg?1593609531,Creature — Human Shaman,Raymond Swanland
Greenwarden of Murasa,6,2015,0.71,#087500,https://cards.scryfall.io/normal/front/e/4/e470e011-5f83-468a-a767-578dcdf54e24.jpg?1590112709,Creature — Elemental,Eric Deschamps
Ob Nixilis Reignited,5,2020,0.51,#000000,https://cards.scryfall.io/normal/front/5/8/58bfed5d-103b-438e-92c6-d9d03203ba27.jpg?1593609507,Legendary Planeswalker — Nixilis,Chris Rahn
Omnath- Locus of Rage,7,2021,2.26,#d78f42,https://cards.scryfall.io/normal/front/e/8/e8b1f17d-c806-4911-a1cf-78312b8b8592.jpg?1629560238,Legendary Creature — Elemental,Brad Rigney
Painful Truths,3,2020,0.63,#000000,https://cards.scryfall.io/normal/front/6/c/6cc6743a-ca91-48db-ba15-22bb3d3be194.jpg?1593609518,Sorcery,Winona Nelson
Prairie Stream,0,2021,1.42,#d78f42,https://cards.scryfall.io/normal/front/8/7/8701c6ea-b919-420b-8d34-92be330cdc38.jpg?1612984975,Land — Plains Island,Adam Paquette
Smoldering Marsh,0,2021,1.69,#d78f42,https://cards.scryfall.io/normal/front/2/3/23a48f4a-96eb-47bd-9384-3bcc959a7c4b.jpg?1612985000,Land — Swamp Mountain,Adam Paquette
Sunken Hollow,0,2021,3.18,#d78f42,https://cards.scryfall.io/normal/front/2/9/290a9dc5-1067-48c1-99e5-f3b7b5230b52.jpg?1612985019,Land — Island Swamp,Adam Paquette
Void Winnower,9,2021,34.64,#8c8d8b,https://cards.scryfall.io/normal/front/6/d/6d9dfacf-6cc1-455f-88ff-068e1c4d87d4.jpg?1612984927,Creature — Eldrazi,Chase Stone
