name,cmc,release_year,price,color,image,type_line,artist
Awakening Zone,3,2016,1.03,#087500,https://cards.scryfall.io/normal/front/b/a/bae2f694-a4e1-4cfd-a0bf-07aaf27886a6.jpg?1783936831,Enchantment,Johann Bodin
Celestial Ancient,5,2016,0.61,#ffffff,https://cards.scryfall.io/normal/front/b/9/b942e6ca-fd5a-4462-9413-c82483601b61.jpg?1783936845,Creature — Elemental,Mark Tedin
Dark Hatchling,6,2016,0.13,#000000,https://cards.scryfall.io/normal/front/e/b/ebaf6e95-e073-4386-8734-e12e7fff36bf.jpg?1783936836,Creature — Horror,Brad Rigney
Dragonlair Spider,6,2016,4.85,#d78f42,https://cards.scryfall.io/normal/front/a/9/a9e2bb08-9be0-4046-9c22-7b132ce5f506.jpg?1783936822,Creature — Spider,Carl Critchlow
Elderwood Scion,5,2016,0.24,#d78f42,https://cards.scryfall.io/normal/front/0/7/07f1fe2a-85e6-412a-9213-ac5360b86f96.jpg?1783936822,Creature — Elemental,Nils Hamm
Enigma Sphinx,7,2016,0.34,#d78f42,https://cards.scryfall.io/normal/front/a/e/ae197165-53ad-4e85-92e0-e3531c2db412.jpg?1783936822,Artifact Creature — Sphinx,Chris Rahn
Etherium-Horn Sorcerer,6,2016,0.29,#d78f42,https://cards.scryfall.io/normal/front/7/d/7d1b5240-3dae-4622-9eed-2d9ecdbde730.jpg?1783936820,Artifact Creature — Minotaur Wizard Sorcerer,Franz Vohwinkel
Exotic Orchard,0,2016,0.39,#8c8d8b,https://cards.scryfall.io/normal/front/4/9/49bd2caf-a2f6-4475-978a-e768fd1ebe8a.jpg?1783936814,Land,Steven Belledin
Glen Elendra Liege,4,2016,0.93,#d78f42,https://cards.scryfall.io/normal/front/6/1/61e06c6c-4811-47b7-93f6-f103da5d8570.jpg?1783936819,Creature — Faerie Knight,Kev Walker
Hellion Eruption,6,2016,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/8/e/8e1649a2-adc4-4703-a453-df3cfdb423a2.jpg?1783936834,Sorcery,Anthony Francisco
Higure- the Still Wind,5,2016,15.94,#341aff,https://cards.scryfall.io/normal/front/f/7/f7b96d12-6309-48d1-bbdc-7bc88f4e2518.jpg?1783936841,Legendary Creature — Human Ninja,Christopher Moeller
Indrik Umbra,6,2016,1.06,#d78f42,https://cards.scryfall.io/normal/front/3/f/3f1f1be3-8360-479b-ac87-7700275fbf0b.jpg?1783936819,Enchantment — Aura,Christopher Moeller
Ink-Eyes- Servant of Oni,6,2016,12.93,#000000,https://cards.scryfall.io/normal/front/5/5/55ed38fc-dc1f-4a03-8869-147f7eb8646b.jpg?1783936836,Legendary Creature — Rat Ninja,Wayne Reynolds
Kor Spiritdancer,2,2016,3.92,#ffffff,https://cards.scryfall.io/normal/front/f/d/fd104c78-401e-47dc-b0b3-a5ad63501b5b.jpg?1783936845,Creature — Kor Wizard,Scott Chou
Krond the Dawn-Clad,6,2016,0.8,#d78f42,https://cards.scryfall.io/normal/front/a/7/a73cf77b-3d11-47ea-9779-586ee00bf608.jpg?1783936818,Legendary Creature — Archon,Zoltan Boros
Last Stand,5,2016,0.51,#d78f42,https://cards.scryfall.io/normal/front/d/7/d7f3c92b-5a31-450e-8cff-9289d266050a.jpg?1783936818,Sorcery,Ron Spencer
Maelstrom Wanderer,8,2016,2.16,#d78f42,https://cards.scryfall.io/normal/front/9/8/98aeab2a-69b5-4b4f-9de4-5401d01c26e2.jpg?1783936818,Legendary Creature — Elemental,Thomas M. Baxa
Mass Mutiny,5,2016,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/5/5/556e20b1-573c-42eb-88ad-b17bf0f07980.jpg?1783936831,Sorcery,Carl Critchlow
Mitotic Slime,5,2016,0.39,#087500,https://cards.scryfall.io/normal/front/a/0/a0ff5e36-9e0b-4a34-9ae3-1fb520a58fac.jpg?1783936827,Creature — Ooze,Raymond Swanland
Mycoloth,5,2016,4.03,#087500,https://cards.scryfall.io/normal/front/2/8/28b878b9-d6d2-4316-866e-0d6573ee80e1.jpg?1783936827,Creature — Fungus,Raymond Swanland
Predatory Urge,4,2016,0.35,#087500,https://cards.scryfall.io/normal/front/1/8/18e3e459-992c-4990-8305-fa479c7870ac.jpg?1783936825,Enchantment — Aura,Scott Chou
Preyseizer Dragon,6,2016,0.3,#ff1a1a,https://cards.scryfall.io/normal/front/4/6/468534eb-b6fb-4141-9260-c0c7b43480b9.jpg?1783936832,Creature — Dragon,Daarken
Quietus Spike,3,2016,1.67,#8c8d8b,https://cards.scryfall.io/normal/front/7/a/7acf461c-5074-4b13-ba3a-d6b4e56078a8.jpg?1783936815,Artifact — Equipment,Mark Brill
Sakashima's Student,4,2016,24.37,#341aff,https://cards.scryfall.io/normal/front/9/1/91b0a6cb-1c2e-4122-8874-a48e69e1c464.jpg?1783936839,Creature — Human Ninja,Brian Snõddy
Sigil of the Empty Throne,5,2016,0.91,#ffffff,https://cards.scryfall.io/normal/front/0/3/038b1aa1-60de-4047-a927-1a7e62209041.jpg?1783936843,Enchantment,Cyril Van Der Haegen
