name,cmc,release_year,price,color,image,type_line,artist
Arlinn Kord // Arlinn- Embraced by the Moon,4,2023,1.07,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn,Winona Nelson
Arlinn- the Pack's Hope // Arlinn- the Moon's Fury,4,2023,2.02,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn,Anna Steinbauer
Azor's Gateway // Sanctum of the Sun,2,2023,0.79,#8c8d8b,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact // Legendary Land,Yeong-Hao Han
Barkchannel Pathway // Tidechannel Pathway,0,2023,3.21,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Daniel Ljunggren
Beast Whisperer,4,2023,3.25,#087500,https://cards.scryfall.io/normal/front/5/2/528ec918-f1e2-4b89-a6b5-4875d4466e43.jpg?1684197975,Creature — Elf Druid,Matt Stewart
Blightstep Pathway // Searstep Pathway,0,2023,3.67,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Ravenna Tran
Branchloft Pathway // Boulderloft Pathway,0,2023,2.67,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Titus Lunter
Brightclimb Pathway // Grimclimb Pathway,0,2023,2.5,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Johannes Voss
Butcher of Malakir,7,2023,0.28,#000000,https://cards.scryfall.io/normal/front/f/c/fc7fc455-90f5-4c22-aa61-5898ab0f65b9.jpg?1684197830,Creature — Vampire Warrior,Jason Chan
Chandra- Fire of Kaladesh // Chandra- Roaring Flame,3,2023,0.77,#ff1a1a,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Shaman // Legendary Planeswalker — Chandra,Eric Deschamps
Chromatic Lantern,3,2023,3.45,#8c8d8b,https://cards.scryfall.io/normal/front/e/6/e6ff2c0b-8b01-407f-8485-ac2118da92fb.jpg?1684198277,Artifact,Jung Park
Clearwater Pathway // Murkwater Pathway,0,2023,4.38,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Daarken
Cosima- God of the Voyage // The Omenkeel,3,2023,0.26,#341aff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — God // Legendary Artifact — Vehicle,Micah Epstein
Cragcrown Pathway // Timbercrown Pathway,0,2023,3.39,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Andreas Rocha
Darkbore Pathway // Slitherbore Pathway,0,2023,5.46,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Johannes Voss
Dennick- Pious Apprentice // Dennick- Pious Apparition,2,2023,0.31,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Soldier // Legendary Creature — Spirit Soldier,Chris Rallis
Diluvian Primordial,7,2023,0.29,#341aff,https://cards.scryfall.io/normal/front/a/e/ae32a1e5-d207-46a3-8290-850f7ab1e564.jpg?1684197781,Creature — Avatar,Stephan Martiniere
Dowsing Dagger // Lost Vale,2,2023,2.91,#8c8d8b,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Artifact — Equipment // Land,Florian de Gesincourt
Elbrus- the Binding Blade // Withengar Unbound,7,2023,2.1,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact — Equipment // Legendary Creature — Demon,Eric Deschamps
Emmara- Soul of the Accord,2,2023,0.19,#d78f42,https://cards.scryfall.io/normal/front/0/7/07c42262-6291-43df-ba34-83e462ab56b6.jpg?1684198134,Legendary Creature — Elf Cleric,Mark Winters
Exotic Orchard,0,2023,0.26,#8c8d8b,https://cards.scryfall.io/normal/front/a/7/a7b4b602-ea21-4798-af07-3a713aafee41.jpg?1684198503,Land,Steven Belledin
Garruk Relentless // Garruk- the Veil-Cursed,4,2023,0.71,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Planeswalker — Garruk // Legendary Planeswalker — Garruk,Eric Deschamps
Guardian Project,4,2023,10.06,#087500,https://cards.scryfall.io/normal/front/4/a/4ae13498-33c9-4013-a82a-98f1888033d3.jpg?1684198014,Enchantment,Chris Rallis
Hadana's Climb // Winged Temple of Orazca,3,2023,0.62,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Enchantment // Legendary Land,Titus Lunter
Hagra Mauling // Hagra Broodpit,4,2023,0.78,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Instant // Land,Victor Adame Minguez
Hengegate Pathway // Mistgate Pathway,0,2023,6.85,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Yeong-Hao Han
Jace- Vryn's Prodigy // Jace- Telepath Unbound,2,2023,6.89,#341aff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Wizard // Legendary Planeswalker — Jace,Jaime Jones
Jolrael- Mwonvuli Recluse,2,2023,0.14,#087500,https://cards.scryfall.io/normal/front/5/4/54c33010-9418-412e-88dd-e1f8f2f2796a.jpg?1684198044,Legendary Creature — Human Druid,Izzy
Journey to Eternity // Atzal- Cave of Eternity,3,2023,3.05,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Enchantment — Aura // Legendary Land,Deruchenko Alexander
Kinnan- Bonder Prodigy,2,2023,5.75,#d78f42,https://cards.scryfall.io/normal/front/e/7/e7001e09-1ea9-406a-978e-3ff922e264a2.jpg?1684198182,Legendary Creature — Human Druid,Jason Rainville
Kolvori- God of Kinship // The Ringhart Crest,4,2023,0.24,#087500,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — God // Legendary Artifact,Grzegorz Rutkowski
Kytheon- Hero of Akros // Gideon- Battle-Forged,1,2023,4.34,#ffffff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Soldier // Legendary Planeswalker — Gideon,Willian Murai
Legion's Landing // Adanto- the First Fort,1,2023,3.63,#ffffff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Enchantment // Legendary Land,Svetlin Velinov
Liliana- Heretical Healer // Liliana- Defiant Necromancer,3,2023,2.63,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Cleric // Legendary Planeswalker — Liliana,Karla Ortiz
Ludevic- Necrogenius // Olag- Ludevic's Hubris,2,2023,0.07,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Wizard // Legendary Creature — Zombie,Ryan Pancoast
Mila- Crafty Companion // Lukka- Wayward Bonder,3,2023,1.08,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Fox // Legendary Planeswalker — Lukka,Kieran Yanner
Needleverge Pathway // Pillarverge Pathway,0,2023,3.4,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Piotr Dura
Nissa- Vastwood Seer // Nissa- Sage Animist,3,2023,3.86,#087500,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Elf Scout // Legendary Planeswalker — Nissa,Wesley Burt
Ondu Inversion // Ondu Skyruins,8,2023,0.81,#ffffff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Sorcery // Land,James Paick
Plargg- Dean of Chaos // Augusta- Dean of Order,2,2023,0.14,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Orc Shaman // Legendary Creature — Human Cleric,Bryan Sola
