name,cmc,release_year,price,color,image,type_line,artist
Aatchik- Emerald Radian,6,2025,1.28,#d78f42,https://cards.scryfall.io/normal/front/4/4/44e75ef8-ccb5-46ef-b699-42216601b961.jpg?1739665057,Legendary Creature — Insect Druid,Loïc Canavaggia
Afterburner Expert,3,2025,1.81,#087500,https://cards.scryfall.io/normal/front/a/b/ab26ed6c-3793-426b-bbe9-fe3a05e24144.jpg?1739664667,Creature — Goblin Artificer,April Prime
Agonasaur Rex,5,2025,1.69,#087500,https://cards.scryfall.io/normal/front/6/3/63266a47-4c2e-4343-911a-fbd156485cf3.jpg?1739664678,Creature — Dinosaur,Lucas Graciano
Basri- Tomorrow's Champion,1,2025,1.4,#ffffff,https://cards.scryfall.io/normal/front/c/6/c646e923-46ac-459c-96a2-304150785efd.jpg?1739664811,Legendary Creature — Human Knight,Kai Carpenter
Bleachbone Verge,0,2025,7.75,#d78f42,https://cards.scryfall.io/normal/front/c/d/cd12fe2b-13c3-4b9c-82f6-e49f162fa399.jpg?1739573435,Land,Mark Tedin
Bloodghast,2,2025,1.03,#000000,https://cards.scryfall.io/normal/front/d/f/dfc068c5-b545-44b7-ac62-d7a3014c85e2.jpg?1739665069,Creature — Vampire Spirit,Francisco Badilla
Boommobile,4,2025,0.81,#ff1a1a,https://cards.scryfall.io/normal/front/9/c/9c4ff26e-d003-46a1-831a-ef10de891990.jpg?1739664777,Artifact — Vehicle,Alexandr Leskinen
Brightglass Gearhulk,4,2025,8.23,#d78f42,https://cards.scryfall.io/normal/front/8/1/816be95b-a3fb-44ae-9146-93670f7c64b8.jpg?1739664590,Artifact Creature — Construct,José Parodi
Bulwark Ox,2,2025,1.32,#ffffff,https://cards.scryfall.io/normal/front/7/9/79f7a8dc-ba78-4ce4-9f33-9f81b660081b.jpg?1739664509,Creature — Ox Mount,Brent Hollowell
Burnout Bashtronaut,1,2025,0.95,#ff1a1a,https://cards.scryfall.io/normal/front/6/c/6c724bd5-485d-48d8-bd0a-e00068aead86.jpg?1739664656,Creature — Goblin Warrior,Andrea Piparo
Captain Howler- Sea Scourge,4,2025,1.6,#d78f42,https://cards.scryfall.io/normal/front/3/7/3792e2b8-4c50-4194-88f9-a1aea270c411.jpg?1739664477,Legendary Creature — Shark Pirate,Mirko Failoni
Caradora- Heart of Alacria,4,2025,0.43,#d78f42,https://cards.scryfall.io/normal/front/0/3/03651159-cf2a-4bef-90eb-087df4178d9f.jpg?1739664534,Legendary Creature — Human Knight,Mirko Failoni
Chandra- Spark Hunter,4,2025,6.16,#ff1a1a,https://cards.scryfall.io/normal/front/8/6/864d116e-5be0-45af-a092-3979d14ec4fb.jpg?1739757023,Legendary Planeswalker — Chandra,Devin Elle Kurtz
Coalstoke Gearhulk,5,2025,2.3,#d78f42,https://cards.scryfall.io/normal/front/c/e/ce29aa39-3e08-4df9-b751-cd2759ea2e67.jpg?1739664699,Artifact Creature — Construct,Nino Vecia
Count on Luck,3,2025,0.98,#ff1a1a,https://cards.scryfall.io/normal/front/2/9/29bd066a-c533-40a6-ad62-9fc779d08ea9.jpg?1739664765,Enchantment,Michal Ivan
