name,cmc,release_year,price,color,image,type_line,artist
Academy Loremaster,2,2022,0.31,#341aff,https://cards.scryfall.io/normal/front/c/b/cb6bdd2f-feee-4e0a-8b9b-114680b6f8b7.jpg?1675620104,Creature — Human Wizard,Marcela Medeiros
Adarkar Wastes,0,2022,5.92,#d78f42,https://cards.scryfall.io/normal/front/4/d/4d80aa7a-6f6f-4aa6-b1ab-9ce9853c31eb.jpg?1675619406,Land,Piotr Dura
Aether Channeler,3,2022,1.45,#341aff,https://cards.scryfall.io/normal/front/d/7/d7e9024e-17a4-48ba-b775-1b828b90dfac.jpg?1675620094,Creature — Human Wizard,Caio Monteiro
Ajani- Sleeper Agent,4,2022,3.42,#d78f42,https://cards.scryfall.io/normal/front/8/8/8891277a-5f8a-4d8c-b0a3-88227a0a3732.jpg?1675619646,Legendary Planeswalker — Ajani,Matt Stewart
Anointed Peacekeeper,3,2022,0.54,#ffffff,https://cards.scryfall.io/normal/front/a/f/af0aa30a-17d6-48ba-b7f4-9572776b25f2.jpg?1675620240,Creature — Human Cleric,Tia Masic
Archangel of Wrath,4,2022,0.39,#d78f42,https://cards.scryfall.io/normal/front/a/4/a4112426-f6fb-40e8-aed9-8f9287d70c10.jpg?1675620223,Creature — Angel,Miguel Mercado
Astor- Bearer of Blades,4,2022,0.42,#d78f42,https://cards.scryfall.io/normal/front/8/9/890b2114-bb4a-4b67-bdc8-a5c452d7b2a1.jpg?1675619636,Legendary Creature — Human Warrior,Josh Hass
Braids- Arisen Nightmare,3,2022,4.37,#000000,https://cards.scryfall.io/normal/front/5/0/500b5357-c12b-4aa1-bf1d-226b76613dbc.jpg?1675619983,Legendary Creature — Nightmare,Heonhwa Choe
Caves of Koilos,0,2022,0.77,#d78f42,https://cards.scryfall.io/normal/front/b/1/b166544b-2f9c-41e5-b586-661aa55896eb.jpg?1675619395,Land,Julian Kok Joon Wen
Chaotic Transformation,6,2022,0.2,#ff1a1a,https://cards.scryfall.io/normal/front/f/b/fb73b6fc-206c-4b3f-b41a-4c8e0f8f7191.jpg?1675619872,Sorcery,Joseph Meehan
Danitha- Benalia's Hope,5,2022,0.97,#ffffff,https://cards.scryfall.io/normal/front/3/8/38aec729-8cfa-4aeb-87e6-a4bdd8061f6c.jpg?1675620208,Legendary Creature — Human Knight,Magali Villeneuve
Defiler of Dreams,5,2022,0.5,#341aff,https://cards.scryfall.io/normal/front/c/a/ca24619d-5a9a-493c-8f2e-780ac198f6d8.jpg?1675620082,Creature — Phyrexian Sphinx,Ryan Pancoast
Defiler of Faith,5,2022,1.08,#ffffff,https://cards.scryfall.io/normal/front/3/9/390d35fc-7fcd-4eee-837d-720ec4a41172.jpg?1675620192,Creature — Phyrexian Human,Magali Villeneuve
