name,cmc,release_year,price,color,image,type_line,artist
Benalish Marshal,3,2018,4.78,#ffffff,https://cards.scryfall.io/normal/front/8/f/8fca09e2-5744-4adc-82c8-72ba3ae48a8a.jpg?1566582640,Creature — Human Knight,Mark Zug
Blackblade Reforged,2,2018,2.79,#8c8d8b,https://cards.scryfall.io/normal/front/f/d/fd4fbb8a-0709-426b-8f9a-f2608494e5fb.jpg?1566582643,Legendary Artifact — Equipment,Chris Rahn
Cabal Stronghold,0,2018,14.68,#000000,https://cards.scryfall.io/normal/front/3/0/309119c4-acf7-4f95-abf9-707b4da02301.jpg?1566582618,Land,Dimitar Marinski
Clifftop Retreat,0,2018,4.34,#d78f42,https://cards.scryfall.io/normal/front/2/e/2ee1dd21-6126-4156-b1c1-c51e39d8d39b.jpg?1566582679,Land,Christine Choi
Forebear's Blade,3,2018,0.9,#8c8d8b,https://cards.scryfall.io/normal/front/6/2/628fe051-a7ec-444f-9741-ad0df7a89ebf.jpg?1566582633,Artifact — Equipment,Scott Murphy
Gilded Lotus,5,2018,1.6,#8c8d8b,https://cards.scryfall.io/normal/front/c/3/c3beaa74-3538-4ccf-9087-cbef37ce1cfc.jpg?1566582659,Artifact,Volkan Baǵa
Goblin Chainwhirler,3,2018,3.21,#ff1a1a,https://cards.scryfall.io/normal/front/6/f/6fdba005-b798-4ac3-a847-685393458c3b.jpg?1566582647,Creature — Goblin Warrior,Svetlin Velinov
Helm of the Host,4,2018,14.48,#8c8d8b,https://cards.scryfall.io/normal/front/1/a/1a0fd50b-ccde-4098-bd37-feb6038c53a7.jpg?1566582620,Legendary Artifact — Equipment,Igor Kieryluk
Hinterland Harbor,0,2018,2.94,#d78f42,https://cards.scryfall.io/normal/front/5/1/51f1c677-581e-469f-860f-a6079128049a.jpg?1566582674,Land,Daniel Ljunggren
History of Benalia,3,2018,3.48,#ffffff,https://cards.scryfall.io/normal/front/8/6/8614579a-0a82-4329-8066-2d9cdf87d691.jpg?1566582670,Enchantment — Saga,Noah Bradley
Isolated Chapel,0,2018,7.27,#d78f42,https://cards.scryfall.io/normal/front/0/8/087a3535-7897-4db9-a9b5-35447cde8d9a.jpg?1566582653,Land,Richard Wright
Karn- Scion of Urza,4,2018,4.94,#8c8d8b,https://cards.scryfall.io/normal/front/6/f/6f5ba46d-9178-41c8-b877-484c3d746109.jpg?1566582614,Legendary Planeswalker — Karn,Chase Stone
Lyra Dawnbringer,5,2018,8.63,#ffffff,https://cards.scryfall.io/normal/front/a/f/afd49f70-88f4-40eb-8d58-27ca92d7db2c.jpg?1566582650,Legendary Creature — Angel,Chris Rahn
Marwyn- the Nurturer,3,2018,5.3,#087500,https://cards.scryfall.io/normal/front/6/0/60a879e0-e2c7-46bd-8319-abbc5c44248a.jpg?1566582627,Legendary Creature — Elf Druid,Chris Rahn
Shalai- Voice of Plenty,4,2018,3.01,#d78f42,https://cards.scryfall.io/normal/front/d/4/d439c406-5822-47fe-96d2-6fb9ed828aea.jpg?1566582677,Legendary Creature — Angel,Victor Adame Minguez
Siege-Gang Commander,5,2018,0.56,#ff1a1a,https://cards.scryfall.io/normal/front/4/2/422eaf21-2d64-4957-b33d-9e4b99f568e8.jpg?1566582682,Creature — Goblin,Aaron Miller
Squee- the Immortal,3,2018,7.68,#ff1a1a,https://cards.scryfall.io/normal/front/f/6/f6061d61-c410-48db-a101-9882ae26c31f.jpg?1566582656,Legendary Creature — Goblin,Svetlin Velinov
Sulfur Falls,0,2018,3.07,#d78f42,https://cards.scryfall.io/normal/front/0/5/0575f714-8efa-430e-80ed-c5a23bc9665a.jpg?1566582636,Land,Cliff Childs
Tempest Djinn,3,2018,0.3,#341aff,https://cards.scryfall.io/normal/front/4/3/435e16cf-8a1d-434f-b0b2-24f50868b5f1.jpg?1566582630,Creature — Djinn,Zezhou Chen
The Antiquities War,4,2018,1.0,#341aff,https://cards.scryfall.io/normal/front/9/b/9b2e978f-56c6-4854-95e8-c23518cd4172.jpg?1677090902,Enchantment — Saga,Mark Tedin
Woodland Cemetery,0,2018,3.12,#d78f42,https://cards.scryfall.io/normal/front/a/c/ac7b9979-7bf6-4e06-8f50-2228b586690c.jpg?1566582662,Land,Christine Choi
