name,cmc,release_year,price,color,image
Academy Ruins,0,2022,5.0,#341aff,https://cards.scryfall.io/normal/front/5/7/579cce0c-5afe-4104-97e8-fd303e8fcc28.jpg?1661583493
Chance Encounter,4,2022,1.0,#ff1a1a,https://cards.scryfall.io/normal/front/f/5/f5763940-c987-4612-be87-8ec299be391a.jpg?1645328893
Chandra's Ignition,5,2022,7.5,#ff1a1a,https://cards.scryfall.io/normal/front/3/1/31d0275d-1a1a-421d-a2ae-9a61697a3a74.jpg?1661583552
Chaos Warp,3,2022,1.5,#ff1a1a,https://cards.scryfall.io/normal/front/b/c/bc1d3b9c-6376-48a6-b890-519e978379fe.jpg?1661583549
Commander's Plate,1,2022,14.99,#8c8d8b,https://cards.scryfall.io/normal/front/1/0/107ea1fe-167f-4a79-b0f1-f76dce2e6b0a.jpg?1661583497
Embercleave,6,2022,9.99,#ff1a1a,https://cards.scryfall.io/normal/front/1/9/192a4645-1462-4e43-ac39-bafabbb1250d.jpg?1661583547
Flamekin Village,0,2022,3.0,#ff1a1a,https://cards.scryfall.io/normal/front/9/3/930e6064-3d4b-40f1-850d-daa15cea756b.jpg?1661583454
Gamble,1,2022,17.0,#ff1a1a,https://cards.scryfall.io/normal/front/9/2/924db286-fb3e-40dd-b5e2-f8128701685d.jpg?1661583538
Goblin Engineer,2,2022,5.0,#ff1a1a,https://cards.scryfall.io/normal/front/9/4/944ca6e7-084b-424a-80c1-e88de192fd98.jpg?1661583510
Reshape,2,2022,2.0,#341aff,https://cards.scryfall.io/normal/front/9/5/9574f9a0-e062-47bf-b8ad-895d02852be8.jpg?1661583561
Seize the Day,4,2022,5.0,#ff1a1a,https://cards.scryfall.io/normal/front/6/1/610b3a04-76ba-4388-8808-53f7d91b1ac1.jpg?1661583505
Shadowspear,1,2022,18.99,#8c8d8b,https://cards.scryfall.io/normal/front/7/6/769326d4-60af-4b19-85d9-d96d3acdb56e.jpg?1661583495
Shivan Reef,0,2022,1.0,#d78f42,https://cards.scryfall.io/normal/front/0/7/070ed235-1452-4bdb-ba63-0743a59f4d8d.jpg?1661583447
Sulfur Falls,0,2022,4.0,#d78f42,https://cards.scryfall.io/normal/front/b/f/bf1b1e48-6315-476a-a27a-3f02dbf3ad9f.jpg?1661583443
The Locust God,6,2022,3.0,#d78f42,https://cards.scryfall.io/normal/front/3/0/30265355-d0cc-411a-a2da-8d38803d9021.jpg?1661583503
Tolaria West,0,2022,1.0,#341aff,https://cards.scryfall.io/normal/front/9/c/9cb7d00a-0b8d-4d0c-9592-058f1e0ce087.jpg?1661583440
Training Center,0,2022,8.0,#d78f42,https://cards.scryfall.io/normal/front/6/d/6df5d9dc-e4d9-42d6-8a5e-40ac04bc3dc8.jpg?1661583438
