name,cmc,release_year,price,color,image,type_line,artist
Acquire,5,2014,9.21,#341aff,https://cards.scryfall.io/normal/front/8/4/84f89c49-7202-47ca-8453-c62c448f9908.jpg?1677541923,Sorcery,Anthony Francisco
Arrest,3,2012,0.9,#ffffff,https://cards.scryfall.io/normal/front/8/b/8b5b9233-d183-41d1-a0a8-fdcf240f9d73.jpg?1561757534,Enchantment — Aura,Christopher Moeller
Breath of Malfegor,5,2012,3.55,#d78f42,https://cards.scryfall.io/normal/front/5/b/5b3eb5c5-7ff8-4557-afe7-056ea5f09a49.jpg?1561757216,Instant,Alex Horley-Orlandelli
Consume Spirit,2,2012,11.39,#000000,https://cards.scryfall.io/normal/front/f/2/f267137c-57f5-43b1-9a4b-98f2b84106b9.jpg?1561758413,Sorcery,Dan Scott
Corrupt,6,2013,7.17,#000000,https://cards.scryfall.io/normal/front/a/4/a4ca5099-48d1-4581-9345-b906c2e5b894.jpg?1677541946,Sorcery,Alex Horley-Orlandelli
Duress,1,2014,25.26,#000000,https://cards.scryfall.io/normal/front/2/5/25b9319e-1a6f-4e7e-b69d-1c0de558b14d.jpg?1677541927,Sorcery,Michael Komarck
Electrolyze,3,2012,1.52,#d78f42,https://cards.scryfall.io/normal/front/6/9/69311f43-a025-4760-a81b-e5d91c1775d9.jpg?1561757341,Instant,Karl Kopinski
Faithless Looting,1,2012,4.2,#ff1a1a,https://cards.scryfall.io/normal/front/0/3/03e0147e-841c-4593-83ce-001bf03885f2.jpg?1561756585,Sorcery,Karl Kopinski
Feast of Blood,2,2012,2.86,#000000,https://cards.scryfall.io/normal/front/6/5/658bf8b7-fbc4-4046-9300-249cdeb87924.jpg?1561757312,Sorcery,Christopher Moeller
Gaze of Granite,3,2013,4.86,#d78f42,https://cards.scryfall.io/normal/front/1/a/1aca163e-abff-459f-9925-09dda212dce2.jpg?1677541957,Sorcery,Dan Scott
High Tide,1,2013,17.24,#341aff,https://cards.scryfall.io/normal/front/e/4/e4bfe5d1-0914-4c0b-b851-598d0850dc01.jpg?1677541951,Instant,Eric Deschamps
Ogre Arsonist,5,2013,1.06,#ff1a1a,https://cards.scryfall.io/normal/front/4/7/474f4537-905d-44f2-bc69-1e94c6727ad1.jpg?1677541940,Creature — Ogre,Chris Rahn
Standstill,2,2012,9.34,#341aff,https://cards.scryfall.io/normal/front/b/4/b48dbe81-b964-4bd4-a17e-8a0186f6f040.jpg?1561757874,Enchantment,Matt Stewart
Treasure Hunt,2,2012,2.5,#341aff,https://cards.scryfall.io/normal/front/5/5/55db30a7-6834-4a64-8edc-05ce18166c91.jpg?1561757162,Sorcery,Aleksi Briclot
Turnabout,4,2012,13.45,#341aff,https://cards.scryfall.io/normal/front/a/1/a11b59db-b1e7-47c4-aed9-a1792fc31ce9.jpg?1561757727,Instant,Dan Scott
Voidmage Husher,4,2013,2.96,#341aff,https://cards.scryfall.io/normal/front/e/1/e199afa3-d16d-4b8e-b553-86bc3884aed1.jpg?1677541935,Creature — Human Wizard,Ryan Pancoast
Wash Out,4,2014,4.49,#341aff,https://cards.scryfall.io/normal/front/2/2/22e088e4-91bc-4b0f-b999-660c0c371a2e.jpg?1677541918,Sorcery,Volkan Baǵa
