name,cmc,release_year,price,color,image,type_line,artist
Bonders' Enclave,0,2020,2.72,#8c8d8b,https://cards.scryfall.io/normal/front/e/3/e3af8f74-7611-4994-969a-58479b6c0eb4.jpg?1591310701,Land,Cliff Childs
Brokkos- Apex of Forever,5,2020,0.84,#d78f42,https://cards.scryfall.io/normal/front/5/a/5a660c6a-8596-4bef-a09c-ba9a5c4b1eec.jpg?1591311183,Legendary Creature — Nightmare Beast Elemental,Filip Burburan
Chevill- Bane of Monsters,2,2020,2.53,#d78f42,https://cards.scryfall.io/normal/front/3/f/3f16fba3-2c77-44c6-b8b2-041a824ff4a8.jpg?1591311167,Legendary Creature — Human Rogue,Yongjae Choi
Colossification,7,2020,2.14,#087500,https://cards.scryfall.io/normal/front/4/1/410533d8-e591-4f81-baab-1981106fbbbe.jpg?1602984878,Enchantment — Aura,Johan Grenier
Crystalline Giant,3,2020,1.19,#8c8d8b,https://cards.scryfall.io/normal/front/8/4/84195d0f-c206-441a-af15-b5789665f98b.jpg?1591310730,Artifact Creature — Giant,Jason Rainville
Cubwarden,4,2020,0.52,#ffffff,https://cards.scryfall.io/normal/front/4/0/40985522-4f83-4ada-b50f-e4618c760e0f.jpg?1591311476,Creature — Cat,Kekai Kotaki
Death's Oasis,3,2020,0.3,#d78f42,https://cards.scryfall.io/normal/front/2/c/2c9a2ef3-06ba-4dcf-ab7b-cfb0082f6a29.jpg?1591311155,Enchantment,Grzegorz Rutkowski
Dirge Bat,4,2020,0.88,#000000,https://cards.scryfall.io/normal/front/3/0/30d3dc97-3590-457b-ae02-2d2a6acb49e7.jpg?1591311374,Creature — Bat,Paul Scott Canavan
Drannith Magistrate,2,2020,15.43,#ffffff,https://cards.scryfall.io/normal/front/6/e/6e6bc88e-311f-4d11-ae4f-bbd1713b4772.jpg?1591311464,Creature — Human Wizard,Kieran Yanner
Eerie Ultimatum,7,2020,4.64,#d78f42,https://cards.scryfall.io/normal/front/8/a/8a634388-8dee-415a-9d4f-09ac122e0eac.jpg?1591311143,Sorcery,Jason A. Engle
Emergent Ultimatum,7,2020,2.16,#d78f42,https://cards.scryfall.io/normal/front/d/b/db19a93f-6c53-447c-9242-1387ea600b18.jpg?1591311132,Sorcery,Zack Stella
Everquill Phoenix,4,2020,0.26,#ff1a1a,https://cards.scryfall.io/normal/front/b/8/b841a987-7ab6-4ea1-a648-82afeb1fccd4.jpg?1591311329,Creature — Phoenix,Lie Setiawan
Extinction Event,4,2020,1.49,#000000,https://cards.scryfall.io/normal/front/2/c/2c4e7a67-391e-4427-894d-bdda683c086f.jpg?1591311362,Sorcery,Filip Burburan
Fiend Artisan,2,2020,11.09,#d78f42,https://cards.scryfall.io/normal/front/5/f/5f454210-9912-484a-a3e9-f7991cbdcd9c.jpg?1591310873,Creature — Nightmare,Yigit Koroglu
Frondland Felidar,4,2020,0.28,#d78f42,https://cards.scryfall.io/normal/front/c/6/c6facdf4-1f06-499e-b752-b640b016f282.jpg?1591311118,Creature — Cat Beast,Steve Prescott
Gemrazer,4,2020,0.99,#087500,https://cards.scryfall.io/normal/front/6/c/6cea21b9-a87b-4d15-a4e3-1d03ab886d8b.jpg?1591311251,Creature — Beast,Svetlin Velinov
General Kudro of Drannith,3,2020,2.54,#d78f42,https://cards.scryfall.io/normal/front/6/6/668c33c1-5d85-4db1-bde7-e582433a6845.jpg?1591311105,Legendary Creature — Human Soldier,Ryan Pancoast
Genesis Ultimatum,7,2020,1.06,#d78f42,https://cards.scryfall.io/normal/front/a/b/abae3863-7093-4425-bac3-eb51adc24f2d.jpg?1591311094,Sorcery,Jason Rainville
Gyruda- Doom of Depths,6,2020,0.99,#d78f42,https://cards.scryfall.io/normal/front/6/c/6c73a30d-23b0-42e4-934d-e54dbd22d98a.jpg?1681424382,Legendary Creature — Demon Kraken,Tyler Jacobson
Hunted Nightmare,3,2020,0.19,#000000,https://cards.scryfall.io/normal/front/e/e/ee987dae-4fda-40be-a1bb-ba294a2c0de9.jpg?1591311350,Creature — Nightmare,Antonio José Manzanedo
Illuna- Apex of Wishes,5,2020,1.17,#d78f42,https://cards.scryfall.io/normal/front/8/0/8050dc13-0d70-4c39-a79e-212c6c884da6.jpg?1591311082,Legendary Creature — Beast Elemental Dinosaur,Chris Rahn
Indatha Triome,0,2020,12.82,#d78f42,https://cards.scryfall.io/normal/front/6/2/62bbdc86-f5a0-4738-a5f6-f2347c8b2a58.jpg?1591310688,Land — Plains Swamp Forest,Noah Bradley
Inspired Ultimatum,7,2020,0.26,#d78f42,https://cards.scryfall.io/normal/front/5/d/5d4490c6-6fa8-43ac-9d89-adf1682a6ed3.jpg?1591311070,Sorcery,Tyler Jacobson
Jegantha- the Wellspring,5,2020,7.35,#d78f42,https://cards.scryfall.io/normal/front/0/9/09951b0c-85a9-421e-9e44-f75712c228c3.jpg?1681424466,Legendary Creature — Elemental Elk,Chris Rahn
Kaheera- the Orphanguard,3,2020,1.38,#d78f42,https://cards.scryfall.io/normal/front/c/5/c522ca8b-a3a3-4162-a46d-0b7e318c9ae3.jpg?1681424511,Legendary Creature — Cat Beast,Ryan Pancoast
Keruga- the Macrosage,5,2020,0.49,#d78f42,https://cards.scryfall.io/normal/front/c/5/c5e30d11-184b-4d2a-82b4-b594cc269f4c.jpg?1681424615,Legendary Creature — Dinosaur Hippo,Dan Scott
Ketria Triome,0,2020,17.85,#d78f42,https://cards.scryfall.io/normal/front/d/4/d40ef5f6-9221-4b7d-8566-58ad43e77f02.jpg?1591310674,Land — Forest Island Mountain,Sam Burley
Kinnan- Bonder Prodigy,2,2020,7.29,#d78f42,https://cards.scryfall.io/normal/front/9/c/9c68b00a-2c78-4cb1-b93e-e27c6954657f.jpg?1591311057,Legendary Creature — Human Druid,Jason Rainville
Kogla- the Titan Ape,6,2020,1.56,#087500,https://cards.scryfall.io/normal/front/2/2/2215abf3-d868-4d72-95fb-e7b611c1fa32.jpg?1591311235,Legendary Creature — Ape,Chris Rahn
Labyrinth Raptor,2,2020,0.41,#d78f42,https://cards.scryfall.io/normal/front/9/9/99c51014-1e58-401c-a2cb-1a3fd0b274b5.jpg?1591311042,Creature — Nightmare Dinosaur,Daarken
Lavabrink Venturer,3,2020,0.75,#ffffff,https://cards.scryfall.io/normal/front/4/a/4aa35300-3d75-4c6c-a2d7-9ccd84eae1f8.jpg?1620845172,Creature — Human Soldier,Zoltan Boros
