name,cmc,release_year,price,color,image,type_line,artist
Alrund's Epiphany,7,2021,4.05,#341aff,https://cards.scryfall.io/normal/front/c/4/c453a523-f154-4e96-97c4-df720c2cf0bc.jpg?1628383001,Sorcery,Kieran Yanner
Arni Brokenbrow,3,2021,0.27,#ff1a1a,https://cards.scryfall.io/normal/front/9/6/96797fc6-3288-4fb5-97b7-06de0f5ea4d9.jpg?1628382042,Legendary Creature — Human Berserker,Dmitry Burmak
Ascendant Spirit,1,2021,0.98,#341aff,https://cards.scryfall.io/normal/front/0/8/083596f7-cf4d-417c-98af-67aed3403617.jpg?1628382957,Snow Creature — Spirit,Lie Setiawan
Battle for Bretagard,3,2021,0.39,#d78f42,https://cards.scryfall.io/normal/front/a/4/a494aa22-60b9-47d0-b43f-b6593e49ea30.jpg?1628381189,Enchantment — Saga,Igor Kieryluk
Battle Mammoth,5,2021,1.01,#087500,https://cards.scryfall.io/normal/front/6/4/645f24f5-8411-4fb8-bfa6-316833fe99ce.jpg?1628381618,Creature — Elephant,Jesper Ejsing
Battle of Frost and Fire,5,2021,0.31,#d78f42,https://cards.scryfall.io/normal/front/8/9/894f90ce-c105-44aa-98a8-13deb916a9c5.jpg?1628381134,Enchantment — Saga,Daniel Ljunggren
Blessing of Frost,4,2021,0.27,#087500,https://cards.scryfall.io/normal/front/2/9/29f32166-20b9-4e4d-b357-a72e5c923f9a.jpg?1628381583,Snow Sorcery,Mila Pesic
Blood on the Snow,6,2021,0.27,#000000,https://cards.scryfall.io/normal/front/6/6/66a2d37e-4edf-4774-8cc1-0b091c1aa801.jpg?1628382573,Snow Sorcery,Martina Fačková
Burning-Rune Demon,6,2021,4.42,#000000,https://cards.scryfall.io/normal/front/9/b/9b968ca8-3307-42f0-b51f-36e6d6fe33b6.jpg?1628382519,Creature — Demon Berserker,Andrew Mar
Calamity Bearer,4,2021,0.31,#ff1a1a,https://cards.scryfall.io/normal/front/d/5/d521e56a-6c05-40c0-a0a0-d2cddbf214f0.jpg?1628381992,Creature — Giant Berserker,Simon Dominic
Cosmos Charger,4,2021,0.26,#341aff,https://cards.scryfall.io/normal/front/0/9/099e0c0c-d44d-48d6-b798-7acb95a5b565.jpg?1628382906,Creature — Horse Spirit,Nils Hamm
Cosmos Elixir,4,2021,1.4,#8c8d8b,https://cards.scryfall.io/normal/front/c/3/c3f92c04-8136-4c5f-bfa0-7849a4a74eed.jpg?1628380475,Artifact,Volkan Baǵa
Crippling Fear,4,2021,0.69,#000000,https://cards.scryfall.io/normal/front/0/b/0b82ca44-6c80-4220-bf41-76a62cd3459f.jpg?1628382470,Sorcery,Nestor Ossandon Leal
Cyclone Summoner,7,2021,0.44,#341aff,https://cards.scryfall.io/normal/front/d/0/d0c70717-0765-47e1-b10d-9dfabba8052a.jpg?1628382865,Creature — Giant Wizard,Andrey Kuzinskiy
Doomskar,5,2021,1.3,#ffffff,https://cards.scryfall.io/normal/front/1/1/11224400-f8c7-4d8e-9793-49436255aeef.jpg?1628383397,Sorcery,Piotr Dura
Dragonkin Berserker,2,2021,0.42,#ff1a1a,https://cards.scryfall.io/normal/front/2/d/2d088f78-42fd-4166-a6d4-88d025193648.jpg?1628381946,Creature — Human Berserker,Lie Setiawan
Draugr Necromancer,4,2021,1.69,#000000,https://cards.scryfall.io/normal/front/0/a/0a918f05-23cf-4d3a-b21a-dc4539f7fb95.jpg?1628382415,Snow Creature — Zombie Cleric,David Rapoza
Dream Devourer,2,2021,0.64,#000000,https://cards.scryfall.io/normal/front/5/7/5748b305-0428-40dd-b12d-0abeef5fcfde.jpg?1628382375,Creature — Demon Cleric,David Rapoza
Elvish Warmaster,2,2021,2.13,#087500,https://cards.scryfall.io/normal/front/3/2/32bd6e06-8971-4134-9ca4-5300a9022d85.jpg?1628381544,Creature — Elf Warrior,Alexander Mokhov
Eradicator Valkyrie,4,2021,1.03,#000000,https://cards.scryfall.io/normal/front/a/f/af1459fc-a19f-4106-939d-9b9672cecce7.jpg?1628382336,Creature — Angel Berserker,Tyler Jacobson
Esika's Chariot,4,2021,9.26,#087500,https://cards.scryfall.io/normal/front/c/e/ce058f51-4ab9-4481-8813-1f5b0654b227.jpg?1628381507,Legendary Artifact — Vehicle,Raoul Vitale
Faceless Haven,0,2021,0.56,#8c8d8b,https://cards.scryfall.io/normal/front/9/a/9a07c63b-10da-4685-9380-e14dfc55092a.jpg?1628380356,Snow Land,Titus Lunter
Firja's Retribution,4,2021,0.84,#d78f42,https://cards.scryfall.io/normal/front/5/5/55ef5a63-7990-43e5-bfad-e1834809cad5.jpg?1628380987,Enchantment — Saga,Anna Steinbauer
Glorious Protector,4,2021,0.48,#ffffff,https://cards.scryfall.io/normal/front/9/3/9305f9f3-7c34-4af4-b2f9-a833516c9352.jpg?1628383356,Creature — Angel Cleric,PINDURSKI
Goldspan Dragon,5,2021,9.8,#ff1a1a,https://cards.scryfall.io/normal/front/c/8/c860c53a-b33f-47e6-8715-3529d0fc6c35.jpg?1628381887,Creature — Dragon,Andrew Mar
Graven Lore,5,2021,0.26,#341aff,https://cards.scryfall.io/normal/front/c/f/cfed0f5b-c65a-489a-920f-9a0426b5c671.jpg?1628382821,Snow Instant,Svetlin Velinov
Harald Unites the Elves,4,2021,0.45,#d78f42,https://cards.scryfall.io/normal/front/b/f/bfe533c5-19c4-4d7a-8d8c-be7fa5b4e6bc.jpg?1628380929,Enchantment — Saga,Ryan Pancoast
Haunting Voyage,6,2021,6.6,#000000,https://cards.scryfall.io/normal/front/c/c/cccb5f07-69ba-475f-8b91-9a5e1cd58594.jpg?1628382284,Sorcery,Ryan Yee
Icebreaker Kraken,12,2021,0.57,#341aff,https://cards.scryfall.io/normal/front/0/2/02e0cbc9-fc3f-45f8-80d3-a321ccb82f1f.jpg?1628382783,Snow Creature — Kraken,Chris Cold
Immersturm Predator,4,2021,0.49,#d78f42,https://cards.scryfall.io/normal/front/8/5/858121f5-4110-47ed-b6c2-28ff414652dd.jpg?1628380875,Creature — Vampire Dragon,Nicholas Gregory
In Search of Greatness,2,2021,0.46,#087500,https://cards.scryfall.io/normal/front/2/1/21837093-1dba-4c3e-8782-f9e77d10a773.jpg?1628381464,Enchantment,Ilse Gort
Kaya the Inexorable,5,2021,4.19,#d78f42,https://cards.scryfall.io/normal/front/4/5/459c4a00-35eb-4cb4-8cee-e7d8a8152c4a.jpg?1628380827,Legendary Planeswalker — Kaya,Tyler Jacobson
King Narfi's Betrayal,3,2021,0.37,#d78f42,https://cards.scryfall.io/normal/front/9/5/9562b164-33f5-4dff-b2df-2281c1125ee4.jpg?1628380781,Enchantment — Saga,Chase Stone
Koma- Cosmos Serpent,7,2021,10.0,#d78f42,https://cards.scryfall.io/normal/front/6/8/682cdd7e-31ff-4789-9d0d-ad43581c7621.jpg?1628380742,Legendary Creature — Serpent,Jesper Ejsing
