name,cmc,release_year,price,color,image,type_line,artist
Abuelo's Awakening,4,2023,0.49,#ffffff,https://cards.scryfall.io/normal/front/2/1/212729c6-3894-48e5-ad5f-73cc73f40638.jpg?1702061360,Sorcery,Eelis Kyttanen
Akal Pakal- First Among Equals,3,2023,0.58,#341aff,https://cards.scryfall.io/normal/front/f/7/f7fedf71-aade-4c9e-a58a-f43a57413b2b.jpg?1702061286,Legendary Creature — Human Advisor,Ryan Pancoast
Amalia Benavides Aguirre,2,2023,2.16,#d78f42,https://cards.scryfall.io/normal/front/a/f/af466062-9d42-429b-8370-d0d46f6f398e.jpg?1702060943,Legendary Creature — Vampire Scout,Alix Branwyn
Anim Pakal- Thousandth Moon,3,2023,0.95,#d78f42,https://cards.scryfall.io/normal/front/d/9/d932e451-f54a-4262-a2c1-49f43a809d6b.jpg?1702060921,Legendary Creature — Human Soldier,Chris Rahn
Bedrock Tortoise,4,2023,0.96,#087500,https://cards.scryfall.io/normal/front/1/2/122abb6f-9c99-4cca-bfdf-b65dc55f12bf.jpg?1702061050,Creature — Turtle,Maxime Minard
Bloodletter of Aclazotz,4,2023,13.75,#000000,https://cards.scryfall.io/normal/front/8/8/882de3fc-f84b-4b73-8f63-fce189c85ee8.jpg?1702061226,Creature — Vampire Demon,Antonio José Manzanedo
Bonehoard Dracosaur,5,2023,12.3,#ff1a1a,https://cards.scryfall.io/normal/front/6/a/6a526832-4ec7-456e-b48c-f24db4f2df8d.jpg?1702061126,Creature — Dinosaur Dragon,Mark Zug
Breeches- Eager Pillager,3,2023,0.98,#ff1a1a,https://cards.scryfall.io/normal/front/c/1/c121cd2e-0030-4de0-9113-de3be4ea5ea8.jpg?1702061115,Legendary Creature — Goblin Pirate,Josu Hernaiz
Bringer of the Last Gift,8,2023,2.79,#000000,https://cards.scryfall.io/normal/front/6/4/64cdb515-d5de-4807-88dc-79c55dbc05bb.jpg?1702061215,Creature — Vampire Demon,Wero Gallo
Cavern of Souls,0,2023,37.37,#8c8d8b,https://cards.scryfall.io/normal/front/1/7/17fc8e0f-6dba-40d6-a6f9-3eb505059727.jpg?1702060712,Land,Alayna Danner
Chimil- the Inner Sun,6,2023,17.55,#8c8d8b,https://cards.scryfall.io/normal/front/6/c/6ca26fc1-0550-4c9a-99b4-1edf8f7597bb.jpg?1702060764,Legendary Artifact,Adam Paquette
Corpses of the Lost,3,2023,0.98,#000000,https://cards.scryfall.io/normal/front/0/8/0881c6b6-105e-47cc-9c4b-e5753e044b3e.jpg?1702061204,Enchantment,Izzy
Cosmium Confluence,5,2023,0.99,#087500,https://cards.scryfall.io/normal/front/3/8/388a5982-3d11-42d1-b89d-6f662534ae16.jpg?1702061038,Sorcery,Kasia 'Kafis' Zielińska
Deepfathom Echo,4,2023,0.8,#d78f42,https://cards.scryfall.io/normal/front/7/1/717c0d2c-a491-489c-957b-f1ba7f6ab0b6.jpg?1702060897,Creature — Merfolk Spirit,Matt Stewart
Deeproot Pilgrimage,2,2023,1.57,#341aff,https://cards.scryfall.io/normal/front/0/7/0706ae9f-150d-4d5b-b973-17fcbf6d5fab.jpg?1702061276,Enchantment,Rémi Jacquot
Echoing Deeps,0,2023,2.89,#8c8d8b,https://cards.scryfall.io/normal/front/c/1/c1d076fc-81e3-469d-b940-23890faa5b48.jpg?1702060701,Land — Cave,Mauricio Calle
Fabrication Foundry,2,2023,0.78,#ffffff,https://cards.scryfall.io/normal/front/d/4/d4223001-ae6b-49cc-ad4f-089109b41b32.jpg?1702061350,Artifact,Racrufi
