name,cmc,release_year,price,color,image,type_line,artist
Ancient Spider,4,2001,0.31,#d78f42,https://cards.scryfall.io/normal/front/7/5/75ca99de-57e7-47c4-b40a-6e41e3b18069.jpg?1562919780,Creature — Spider,Greg Staples
Cloud Cover,4,2001,2.08,#d78f42,https://cards.scryfall.io/normal/front/9/4/943b3886-5556-474f-8dc1-18219e25abc3.jpg?1562926366,Enchantment,Marc Fishman
Dark Suspicions,4,2001,0.41,#000000,https://cards.scryfall.io/normal/front/d/5/d518e2fd-7767-43d7-92e3-62a4a465154c.jpg?1562940071,Enchantment,Matt Cavotta
Deadapult,3,2001,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/b/d/bdc93b3d-bde4-422f-9edc-e337719be7b4.jpg?1562935088,Enchantment,Mark Brill
Destructive Flow,3,2001,1.47,#d78f42,https://cards.scryfall.io/normal/front/7/d/7db86e34-c3ec-4a29-8779-81350a985644.jpg?1562921466,Enchantment,Don Hazeltine
Diabolic Intent,2,2001,21.04,#000000,https://cards.scryfall.io/normal/front/7/6/76d1b5c5-cc47-465f-8549-4fd1ca4280df.jpg?1562920013,Sorcery,Dave Dorman
Dominaria's Judgment,3,2001,0.23,#ffffff,https://cards.scryfall.io/normal/front/9/7/9703d090-b415-48e2-8158-dd8fc57ecc50.jpg?1562926981,Instant,John Avon
Doomsday Specter,4,2001,0.59,#d78f42,https://cards.scryfall.io/normal/front/8/5/85206cc1-5484-40c6-b11d-b8d6fad4fc5c.jpg?1562923103,Creature — Specter,Donato Giancola
Draco,16,2001,3.83,#8c8d8b,https://cards.scryfall.io/normal/front/2/1/212e3edb-62f1-4680-884f-70323547f8ad.jpg?1562902012,Artifact Creature — Dragon,Sam Wood
Dralnu's Crusade,3,2001,1.28,#d78f42,https://cards.scryfall.io/normal/front/6/a/6a35d227-4489-4a0b-8f81-eb8e5949e1fc.jpg?1562917197,Enchantment,Arnie Swekel
Dralnu's Pet,3,2001,0.25,#d78f42,https://cards.scryfall.io/normal/front/c/d/cd5f4daf-7b54-4425-a93a-19532dfb83ca.jpg?1562938400,Creature — Shapeshifter,Glen Angus
Eladamri's Call,2,2001,12.72,#d78f42,https://cards.scryfall.io/normal/front/d/c/dcb79f39-5ef3-4ad6-9a43-04beb27d8480.jpg?1562941589,Instant,Kev Walker
Ertai- the Corrupted,5,2001,3.28,#d78f42,https://cards.scryfall.io/normal/front/6/6/66b950d9-8fef-4deb-b51b-26edb90abc56.jpg?1586450720,Legendary Creature — Phyrexian Human Wizard,Mark Tedin
Forsaken City,0,2001,2.38,#8c8d8b,https://cards.scryfall.io/normal/front/6/7/676703fe-bd80-413c-8704-1da5d3248b7e.jpg?1562916623,Land,Dana Knutson
Gaea's Herald,2,2001,1.59,#087500,https://cards.scryfall.io/normal/front/a/a/aa52bc97-109a-4de5-b287-bce21dad6a9c.jpg?1583495551,Creature — Elf,Dan Frazier
Goblin Game,7,2001,0.88,#ff1a1a,https://cards.scryfall.io/normal/front/c/b/cbe6e7e5-ffea-4c6c-8a42-28e695029f24.jpg?1562938086,Sorcery,DiTerlizzi
Keldon Twilight,3,2001,0.34,#d78f42,https://cards.scryfall.io/normal/front/e/0/e071665e-bb72-42e0-a42d-0d0ff02abd2b.jpg?1562942316,Enchantment,Franz Vohwinkel
Lord of the Undead,3,2001,15.71,#000000,https://cards.scryfall.io/normal/front/0/a/0a7f50f4-37a0-476e-8655-edba228aafd6.jpg?1587857596,Creature — Zombie,Brom
Magnigoth Treefolk,5,2001,0.47,#087500,https://cards.scryfall.io/normal/front/9/0/90c2869b-43cf-4d5e-8a54-9ae200f5bff9.jpg?1562925506,Creature — Treefolk,Peter Bollinger
March of Souls,5,2001,4.54,#ffffff,https://cards.scryfall.io/normal/front/f/0/f07dd0f1-b80b-4af0-ae76-907ec55ec7d5.jpg?1562945732,Sorcery,Marc Fishman
Meddling Mage,2,2001,8.98,#d78f42,https://cards.scryfall.io/normal/front/1/7/176f84c6-aa5e-449c-bd2b-cc91a898f0c7.jpg?1562899969,Creature — Human Wizard,Christopher Moeller
Meteor Crater,0,2001,5.17,#8c8d8b,https://cards.scryfall.io/normal/front/0/4/043a2299-1cfc-4732-a10a-58c773b9992c.jpg?1562895865,Land,John Avon
Mogg Sentry,1,2001,0.27,#ff1a1a,https://cards.scryfall.io/normal/front/8/5/8536ec54-cebd-4d44-8e52-42344a3e6daa.jpg?1562923137,Creature — Goblin Warrior,Edward P. Beard, Jr.
Natural Emergence,4,2001,0.25,#d78f42,https://cards.scryfall.io/normal/front/c/3/c3eb4857-7c66-42e4-913c-97a0306366d5.jpg?1562936421,Enchantment,Heather Hudson
Nemata- Grove Guardian,6,2001,5.16,#087500,https://cards.scryfall.io/normal/front/8/c/8c6a0ca4-5006-4c9b-91cd-e01d77e4fdc2.jpg?1562924648,Legendary Creature — Treefolk,John Avon
Orim's Chant,1,2001,16.33,#ffffff,https://cards.scryfall.io/normal/front/0/5/055afa78-b969-498f-a3ad-c792426e5ee6.jpg?1562896113,Instant,Kev Walker
Phyrexian Scuta,4,2001,0.78,#000000,https://cards.scryfall.io/normal/front/e/b/eb57e656-c94e-4cc2-ae8d-9300f51f941f.jpg?1562944641,Creature — Phyrexian Zombie,Scott M. Fischer
