name,cmc,release_year,price,color,image,type_line,artist
Adeline- Resplendent Cathar,3,2021,11.76,#ffffff,https://cards.scryfall.io/normal/front/b/6/b615facd-6276-4896-bdf6-e5c006f55c5f.jpg?1644867877,Legendary Creature — Human Knight,Bryan Sola
Angelfire Ignition,3,2021,0.9,#d78f42,https://cards.scryfall.io/normal/front/d/2/d2d81b46-7a34-4d5a-926b-dd70c7a19494.jpg?1644866691,Sorcery,Yeong-Hao Han
Augur of Autumn,3,2021,3.32,#087500,https://cards.scryfall.io/normal/front/8/b/8b53f6f5-f31b-4b0f-9b04-a72a96101223.jpg?1644866943,Creature — Human Druid,Billy Christian
Bloodline Culling,3,2021,0.18,#000000,https://cards.scryfall.io/normal/front/8/6/861da541-059a-43de-923d-3ee8e3802012.jpg?1644867424,Instant,Liiga Smilshkalne
Bloodthirsty Adversary,2,2021,4.35,#ff1a1a,https://cards.scryfall.io/normal/front/2/9/292b95eb-9b79-4a74-994a-92a56f66a9e6.jpg?1644867170,Creature — Vampire,Heonhwa Choe
Briarbridge Tracker,3,2021,0.39,#087500,https://cards.scryfall.io/normal/front/c/9/c9b2cf92-5a38-4f14-9f62-970fa1cb6822.jpg?1644866913,Creature — Human Scout,Mathias Kollros
Burn Down the House,5,2021,0.61,#ff1a1a,https://cards.scryfall.io/normal/front/b/1/b1be988a-cb00-4165-bab2-7b46a5ef8fa8.jpg?1644867144,Sorcery,Campbell White
Can't Stay Away,2,2021,0.46,#d78f42,https://cards.scryfall.io/normal/front/c/6/c6973e20-495e-431b-9368-a3240b6c9eb8.jpg?1644866666,Sorcery,Milivoj Ćeran
Champion of the Perished,1,2021,1.35,#000000,https://cards.scryfall.io/normal/front/8/5/850aa06c-1635-4b06-a41c-854a2629a65b.jpg?1644867398,Creature — Zombie,Kekai Kotaki
Consuming Blob,5,2021,0.46,#087500,https://cards.scryfall.io/normal/front/a/2/a29f5da6-3f7d-439f-8639-d3bc47629a10.jpg?1644866888,Creature — Ooze,Simon Dominic
Croaking Counterpart,3,2021,0.45,#d78f42,https://cards.scryfall.io/normal/front/6/a/6af5ada5-ddb4-4e46-807a-658d62773b9a.jpg?1644866641,Sorcery,Yeong-Hao Han
Curse of Shaken Faith,2,2021,0.35,#ff1a1a,https://cards.scryfall.io/normal/front/3/d/3d58a284-360d-4a22-8363-a8dcc3972b02.jpg?1644867108,Enchantment — Aura Curse,Campbell White
Curse of Silence,1,2021,0.2,#ffffff,https://cards.scryfall.io/normal/front/f/c/fca5ffba-8f1f-4a6e-9d12-136a285a0e30.jpg?1644867851,Enchantment — Aura Curse,Irina Nordsol
Curse of Surveillance,5,2021,0.16,#341aff,https://cards.scryfall.io/normal/front/4/a/4acdb8f6-c632-406d-b5c2-72642b2a9f99.jpg?1644867648,Enchantment — Aura Curse,Igor Kieryluk
Deserted Beach,0,2021,7.3,#d78f42,https://cards.scryfall.io/normal/front/b/6/b695048a-9809-417b-999f-0818006d8344.jpg?1644866137,Land,Jonas De Ro
Dire-Strain Rampage,3,2021,0.26,#d78f42,https://cards.scryfall.io/normal/front/8/b/8bbc17d5-d974-485b-b2d1-b2ef4b1f67ef.jpg?1644866613,Sorcery,Darek Zabrocki
Falkenrath Pit Fighter,1,2021,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/4/2/42801918-3601-4c4a-834b-b886f3244ca3.jpg?1644867078,Creature — Vampire Warrior,Anna Fehr
Fateful Absence,2,2021,1.25,#ffffff,https://cards.scryfall.io/normal/front/a/a/aa3df2fa-981d-4a37-8e33-0f0d62e971d2.jpg?1644867821,Instant,Eric Deschamps
Florian- Voldaren Scion,3,2021,1.09,#d78f42,https://cards.scryfall.io/normal/front/f/a/fa901c36-5ee3-47bf-ac39-fb6a9787abb7.jpg?1644866582,Legendary Creature — Vampire Noble,Justine Cruz
Galvanic Iteration,2,2021,2.25,#d78f42,https://cards.scryfall.io/normal/front/f/a/fafc72e1-3689-4c63-9902-dff5d57e016b.jpg?1644866558,Instant,Johann Bodin
Geistflame Reservoir,3,2021,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/8/c/8c1e01d8-16b6-4b65-9278-024a5a5bcd08.jpg?1644867051,Artifact,Anna Christenson
Ghoulcaller's Harvest,2,2021,0.18,#d78f42,https://cards.scryfall.io/normal/front/c/6/c62c6f9b-f80a-4ddc-b8f0-6c942c0f48a8.jpg?1644866534,Sorcery,Anna Steinbauer
Gisa- Glorious Resurrector,4,2021,2.47,#000000,https://cards.scryfall.io/normal/front/0/6/06a03896-a0ca-4ba1-a317-54a9d21def2e.jpg?1644867367,Legendary Creature — Human Wizard,Yongjae Choi
Grafted Identity,4,2021,0.21,#341aff,https://cards.scryfall.io/normal/front/c/7/c7b1d187-5a10-4bf3-b9a9-c79e8af7e796.jpg?1644867617,Enchantment — Aura,Manuel Castañón
Hallowed Respite,2,2021,0.23,#d78f42,https://cards.scryfall.io/normal/front/1/5/151e278d-d53a-4646-b724-1f1abedf3500.jpg?1644866507,Sorcery,Jason A. Engle
Haunted Ridge,0,2021,10.77,#d78f42,https://cards.scryfall.io/normal/front/7/2/72baacda-8902-476f-adde-899ead57bf64.jpg?1644866111,Land,Jonas De Ro
