name,cmc,release_year,price,color,image,type_line,artist
Ao- the Dawn Sky,5,2022,2.4,#ffffff,https://cards.scryfall.io/normal/front/2/9/293a1aaa-ba01-4641-9ed3-255c2d7a6de4.jpg?1645043209,Legendary Creature — Dragon Spirit,Chris Rahn
Atsushi- the Blazing Sky,4,2022,5.89,#ff1a1a,https://cards.scryfall.io/normal/front/0/d/0d8bc894-c986-4fcf-9bdb-95a41448f2d4.jpg?1645042215,Legendary Creature — Dragon Spirit,Victor Adame Minguez
Biting-Palm Ninja,3,2022,0.7,#000000,https://cards.scryfall.io/normal/front/9/8/985c30bb-ae5f-4cfd-87ab-eff1caad3db4.jpg?1645042623,Creature — Human Ninja,Andreas Zafiratos
Blade of the Oni,2,2022,2.5,#000000,https://cards.scryfall.io/normal/front/f/b/fb6b159c-580b-44dd-aca9-f7cbe63d00f4.jpg?1645042593,Artifact Creature — Equipment Demon,Jason A. Engle
Boseiju- Who Endures,0,2022,27.17,#087500,https://cards.scryfall.io/normal/front/d/d/dda82840-1f3f-4be7-9bc7-66ff551ef5c0.jpg?1645041338,Legendary Land,Chris Ostrowski
Brilliant Restoration,7,2022,2.22,#ffffff,https://cards.scryfall.io/normal/front/c/8/c84b0f31-c840-4780-b9bc-6521c17c284d.jpg?1645043181,Sorcery,Wylie Beckert
Cloudsteel Kirin,3,2022,0.69,#ffffff,https://cards.scryfall.io/normal/front/1/e/1eaf44b4-871c-4b16-8e01-cebeb319fd1d.jpg?1645043150,Artifact Creature — Equipment Kirin,Jonathan Kuo
Eater of Virtue,1,2022,1.88,#8c8d8b,https://cards.scryfall.io/normal/front/e/8/e8d1c676-658c-4f2c-bc20-09878ecddaf2.jpg?1645041461,Legendary Artifact — Equipment,Tuan Duong Chu
Eiganjo- Seat of the Empire,0,2022,4.8,#ffffff,https://cards.scryfall.io/normal/front/6/7/67ca5dbb-d8f1-4d9a-9424-925774115b15.jpg?1645041314,Legendary Land,Julian Kok Joon Wen
Eiganjo Uprising,2,2022,0.2,#d78f42,https://cards.scryfall.io/normal/front/0/5/05c409b9-4160-44ba-9434-95766e77c6da.jpg?1645041764,Sorcery,Johan Grenier
Explosive Singularity,10,2022,0.89,#ff1a1a,https://cards.scryfall.io/normal/front/b/6/b60a4f16-9ed0-4ca9-8ed7-c0a5b0a7cd90.jpg?1645042190,Sorcery,Liiga Smilshkalne
Farewell,6,2022,7.84,#ffffff,https://cards.scryfall.io/normal/front/4/6/4625b0cc-9b31-4cbd-a958-d03229591839.jpg?1645043119,Sorcery,Seb McKinnon
Goro-Goro- Disciple of Ryusei,2,2022,2.48,#ff1a1a,https://cards.scryfall.io/normal/front/1/8/18f5fb07-1e79-4085-9e57-cd6bb45ab02c.jpg?1645042162,Legendary Creature — Goblin Samurai,Mike Jordana
Greasefang- Okiba Boss,3,2022,1.41,#d78f42,https://cards.scryfall.io/normal/front/8/c/8c20a723-ec7c-4e35-a208-f22f056fdc7f.jpg?1645041742,Legendary Creature — Rat Pilot,Victor Adame Minguez
Hidetsugu- Devouring Chaos,4,2022,0.79,#d78f42,https://cards.scryfall.io/normal/front/c/4/c431b3a4-751d-4e78-886b-f43b33af7e37.jpg?1645042560,Legendary Creature — Ogre Demon,Isis
Hinata- Dawn-Crowned,4,2022,1.05,#d78f42,https://cards.scryfall.io/normal/front/4/c/4ca957d4-f745-477a-bf23-ee44dc26e2c9.jpg?1645041714,Legendary Creature — Kirin Spirit,Alexander Mokhov
Invoke Calamity,5,2022,0.81,#ff1a1a,https://cards.scryfall.io/normal/front/3/5/35bb77bb-0170-4094-865a-663abd4016ce.jpg?1645042137,Instant,Svetlin Velinov
Invoke Despair,5,2022,1.34,#000000,https://cards.scryfall.io/normal/front/9/4/943dd58e-f627-48f4-b332-80fe1b4344c8.jpg?1645042532,Sorcery,Olivier Bernard
