name,cmc,release_year,price,color,image
All-Seeing Arbiter,6,2022,0.63,#341aff,https://cards.scryfall.io/normal/front/f/b/fb049456-578e-436e-9942-27ba278d83bb.jpg?1651798593
Angel of Suffering,5,2022,2.38,#000000,https://cards.scryfall.io/normal/front/8/e/8e416101-4fae-4684-921b-12207b137ac9.jpg?1651798400
Arcane Bombardment,6,2022,3.99,#ff1a1a,https://cards.scryfall.io/normal/front/b/8/b8408728-1118-47b3-bbb2-fd6c20df2aba.jpg?1651798206
Aven Heartstabber,2,2022,0.58,#d78f42,https://cards.scryfall.io/normal/front/e/2/e2e366bd-82b5-4dba-a051-99f10d6081bc.jpg?1651797777
Black Market Tycoon,2,2022,0.6,#d78f42,https://cards.scryfall.io/normal/front/8/e/8e382e5a-39ff-4eea-8425-8fc63953ffdd.jpg?1651797756
Body Launderer,4,2022,2.12,#000000,https://cards.scryfall.io/normal/front/5/d/5df4efd6-c8a3-48f5-88f7-f5be3e7426ca.jpg?1651798375
Bootleggers' Stash,6,2022,10.32,#087500,https://cards.scryfall.io/normal/front/d/b/db2bac7c-7823-4e40-a04b-ffa140ef650d.jpg?1651797982
Brokers Ascendancy,3,2022,0.86,#d78f42,https://cards.scryfall.io/normal/front/0/1/012abe1c-a5ff-4785-a555-76e4662b0a95.jpg?1651797733
Cabaretti Ascendancy,3,2022,0.54,#d78f42,https://cards.scryfall.io/normal/front/6/f/6f90d5c9-6a2c-407d-bac8-780e8c1f2cd7.jpg?1651797708
Cemetery Tampering,3,2022,0.51,#000000,https://cards.scryfall.io/normal/front/6/0/60424b11-798e-4ac7-9131-78df359ba389.jpg?1651798349
Corpse Explosion,3,2022,0.57,#d78f42,https://cards.scryfall.io/normal/front/1/c/1c7b3585-ab46-40bc-a090-69a9bfb7cbf4.jpg?1651797683
Cut of the Profits,2,2022,0.65,#000000,https://cards.scryfall.io/normal/front/f/3/f392d918-95ef-4f86-af4c-1ebefbde37e8.jpg?1651798324
Cut Your Losses,6,2022,0.93,#341aff,https://cards.scryfall.io/normal/front/8/c/8c579383-1266-4fb2-9c49-f4b3bdba5bea.jpg?1651798570
Depopulate,4,2022,0.63,#ffffff,https://cards.scryfall.io/normal/front/2/c/2caec3a1-c551-491a-89f3-e02584311116.jpg?1651798793
Devilish Valet,3,2022,1.36,#ff1a1a,https://cards.scryfall.io/normal/front/8/b/8b375fa8-12a3-4ed4-bb39-6cd0ab24bf44.jpg?1651798176
Elspeth Resplendent,5,2022,3.41,#ffffff,https://cards.scryfall.io/normal/front/e/b/eb826550-8943-4e0d-9729-d0981c3dee5f.jpg?1651798769
Endless Detour,3,2022,0.66,#d78f42,https://cards.scryfall.io/normal/front/a/f/af78ac1d-b1f5-4bef-8120-0c5b3748e65d.jpg?1651797654
Errant- Street Artist,1,2022,0.76,#341aff,https://cards.scryfall.io/normal/front/8/e/8e3d171f-80a8-4968-a9cd-42fca12cb506.jpg?1651798547
Evelyn- the Covetous,5,2022,0.74,#d78f42,https://cards.scryfall.io/normal/front/1/c/1cef767a-6fbb-4ca7-8cff-e9121ac131ac.jpg?1651797630
Even the Score,3,2022,1.7,#341aff,https://cards.scryfall.io/normal/front/c/d/cd115bf0-1cb8-44dc-993a-34583eb102f0.jpg?1651798524
Evolving Door,3,2022,0.2,#087500,https://cards.scryfall.io/normal/front/4/8/48558ee0-738c-4208-89ab-267d076758f7.jpg?1651797960
Extraction Specialist,3,2022,1.48,#ffffff,https://cards.scryfall.io/normal/front/9/8/9835ad4b-3248-466b-9f5a-987009b73e17.jpg?1651798745
Falco Spara- Pactweaver,4,2022,2.4,#d78f42,https://cards.scryfall.io/normal/front/a/1/a10deb58-9fb5-4b19-a1ca-6bb540142d9a.jpg?1651797609
Fight Rigging,3,2022,1.68,#087500,https://cards.scryfall.io/normal/front/c/e/ce73857b-0a32-4f77-9af4-3176758ca7b4.jpg?1651797934
Fleetfoot Dancer,4,2022,0.58,#d78f42,https://cards.scryfall.io/normal/front/2/1/210e21cc-173f-428d-879d-c2be721af44c.jpg?1651797587
Gala Greeters,2,2022,1.06,#087500,https://cards.scryfall.io/normal/front/0/8/08a964c7-1611-40ff-b09c-91228befcec9.jpg?1652154491
Getaway Car,3,2022,0.53,#8c8d8b,https://cards.scryfall.io/normal/front/d/a/da91a726-1687-4403-be80-32b74f0adcf7.jpg?1651796968
Giada- Font of Hope,2,2022,2.38,#ffffff,https://cards.scryfall.io/normal/front/8/c/8ced9f9b-2d20-41ed-90ff-5b37959a0b3b.jpg?1651798722
Halo Fountain,3,2022,4.12,#ffffff,https://cards.scryfall.io/normal/front/a/1/a14557d0-6b30-4055-9d52-6af31e3a9ca3.jpg?1651798697
Hoard Hauler,4,2022,0.4,#ff1a1a,https://cards.scryfall.io/normal/front/3/e/3e255761-f151-41f7-aa04-426a9d9b633b.jpg?1651798152
Hostile Takeover,5,2022,0.23,#d78f42,https://cards.scryfall.io/normal/front/0/5/052c7632-09a7-49e3-be72-e387a8aa4b47.jpg?1651797563
Incandescent Aria,3,2022,0.42,#d78f42,https://cards.scryfall.io/normal/front/0/0/009ba3d1-c1bf-4dad-b7b2-3799399534b0.jpg?1651797541
Jaxis- the Troublemaker,4,2022,0.39,#ff1a1a,https://cards.scryfall.io/normal/front/3/c/3c01624e-808a-42df-acb4-5ea786378269.jpg?1651798131
Jetmir- Nexus of Revels,4,2022,6.92,#d78f42,https://cards.scryfall.io/normal/front/a/a/aa8af39d-ce16-4d23-a6b7-55af65aea243.jpg?1651797513
Jetmir's Garden,0,2022,7.65,#d78f42,https://cards.scryfall.io/normal/front/2/a/2ad4f235-1be7-44de-98ab-4f14eba34033.jpg?1651796898
Jinnie Fay- Jetmir's Second,3,2022,1.18,#d78f42,https://cards.scryfall.io/normal/front/4/3/43bb8a14-28b5-425f-a9f5-8ab4b291d300.jpg?1651797487
Ledger Shredder,2,2022,18.47,#341aff,https://cards.scryfall.io/normal/front/0/0/005fd651-7546-462f-bf9f-c78fb3310889.jpg?1651798495
Lord Xander- the Collector,7,2022,2.46,#d78f42,https://cards.scryfall.io/normal/front/c/4/c44828a2-ef5d-4fcd-913d-d5ad2f1a269a.jpg?1651797464
Luxior- Giada's Gift,1,2022,7.43,#8c8d8b,https://cards.scryfall.io/normal/front/1/6/162741b5-4220-4280-93cc-c78a45e37f84.jpg?1651796946
Maestros Ascendancy,3,2022,0.49,#d78f42,https://cards.scryfall.io/normal/front/4/7/47a9a078-c54e-4987-b927-4c4e50417e3a.jpg?1651797444
