name,cmc,release_year,price,color,image,type_line,artist
Academic Probation,2,2021,0.15,#ffffff,https://cards.scryfall.io/normal/front/0/1/01bf0111-de3a-429f-b491-c929996f40df.jpg?1637082083,Sorcery — Lesson,Cristi Balanescu
Accomplished Alchemist,4,2021,0.5,#087500,https://cards.scryfall.io/normal/front/e/7/e7e49013-32c9-461e-9477-9ac265c8fbe0.jpg?1640088121,Creature — Elf Druid,Randy Vargas
Archmage Emeritus,4,2021,4.41,#341aff,https://cards.scryfall.io/normal/front/d/9/d9732eb6-99d9-4666-9982-5d5fc33dd514.jpg?1628273708,Creature — Human Wizard,Caio Monteiro
Baleful Mastery,4,2021,2.44,#000000,https://cards.scryfall.io/normal/front/0/3/03f0f6ef-89fe-4969-a15b-30158133ff82.jpg?1628273503,Instant,Chris Cold
Basic Conjuration,3,2021,0.1,#087500,https://cards.scryfall.io/normal/front/0/1/012f63c9-a5e8-4b83-8673-8020986dc10e.jpg?1637082096,Sorcery — Lesson,Randy Vargas
Beledros Witherbloom,7,2021,11.16,#d78f42,https://cards.scryfall.io/normal/front/0/0/0057bac8-7600-422e-88ef-accf1d0bb4ef.jpg?1628271863,Legendary Creature — Elder Dragon,Raymond Swanland
Blade Historian,4,2021,1.37,#d78f42,https://cards.scryfall.io/normal/front/0/5/0577994e-b43b-4f16-aa9f-fac0ebc4d617.jpg?1628271826,Creature — Human Cleric,Cristi Balanescu
Blot Out the Sky,2,2021,1.41,#d78f42,https://cards.scryfall.io/normal/front/c/6/c6180286-3a44-4371-85f2-70a7c5249eb4.jpg?1628271792,Sorcery,Olena Richards
Body of Research,6,2021,1.34,#d78f42,https://cards.scryfall.io/normal/front/4/a/4a7c9260-148f-44ba-b649-5640c0fd49f4.jpg?1628271761,Sorcery,Antonio José Manzanedo
Callous Bloodmage,3,2021,0.35,#000000,https://cards.scryfall.io/normal/front/6/7/67a8dca6-48bd-4922-8201-7bd8a281de21.jpg?1628273471,Creature — Vampire Warlock,Jokubas Uogintas
Codie- Vociferous Codex,3,2021,0.48,#d78f42,https://cards.scryfall.io/normal/front/1/f/1f062c51-8f68-4111-be7e-c3d011b2992b.jpg?1628270833,Legendary Artifact Creature — Construct,Daniel Ljunggren
Confront the Past,1,2021,0.18,#000000,https://cards.scryfall.io/normal/front/8/b/8bc4c182-7bbd-45ba-8f0e-3d7d5ce96539.jpg?1637082111,Sorcery — Lesson,Kieran Yanner
Conspiracy Theorist,2,2021,0.52,#ff1a1a,https://cards.scryfall.io/normal/front/9/c/9c70711e-11e4-42e2-baeb-099327962573.jpg?1628273264,Creature — Human Shaman,Svetlin Velinov
Crackle with Power,2,2021,6.77,#ff1a1a,https://cards.scryfall.io/normal/front/4/e/4ee02acc-5f11-442d-9355-384806203a3b.jpg?1628273233,Sorcery,Micah Epstein
Culling Ritual,4,2021,1.62,#d78f42,https://cards.scryfall.io/normal/front/b/3/b3249345-3b27-46d0-846e-4b5b6e99e4b1.jpg?1628271732,Sorcery,Lorenzo Mastroianni
Culmination of Studies,2,2021,0.35,#d78f42,https://cards.scryfall.io/normal/front/8/3/8374a5c9-dc30-4409-a603-503b5e3a4ac1.jpg?1628271697,Sorcery,Bryan Sola
Daemogoth Titan,4,2021,1.7,#d78f42,https://cards.scryfall.io/normal/front/0/7/07917b35-24bc-4d07-9095-fcf53254b91a.jpg?1628271662,Creature — Demon,Chris Cold
Devastating Mastery,6,2021,0.15,#ffffff,https://cards.scryfall.io/normal/front/9/9/99d68fbc-1200-4b84-8438-c6bbc3bc722e.jpg?1628273957,Sorcery,Jake Murray
Double Major,2,2021,3.17,#d78f42,https://cards.scryfall.io/normal/front/9/b/9b56c2ef-7df1-47f7-9943-84ea55f6eebf.jpg?1628271627,Instant,Suzanne Helmigh
Draconic Intervention,4,2021,0.34,#ff1a1a,https://cards.scryfall.io/normal/front/7/e/7e36405e-1f68-4ce6-8036-554fb38d5e8c.jpg?1628273185,Sorcery,Johan Grenier
Dragonsguard Elite,2,2021,0.11,#087500,https://cards.scryfall.io/normal/front/a/e/ae495297-a0bb-425e-9f13-0c8dfe3606ec.jpg?1628272944,Creature — Human Druid,David Rapoza
Dramatic Finale,4,2021,0.63,#d78f42,https://cards.scryfall.io/normal/front/8/1/81645b0b-b126-40eb-b54c-8b67c332e416.jpg?1628271591,Enchantment,Steve Argyle
Dream Strix,3,2021,0.22,#341aff,https://cards.scryfall.io/normal/front/4/4/44303006-af70-43a2-80a2-24f438a092e1.jpg?1631020010,Creature — Bird Illusion,YW Tang
Ecological Appreciation,3,2021,0.98,#087500,https://cards.scryfall.io/normal/front/3/5/357ce522-4872-4386-b409-264e23953a53.jpg?1628272909,Sorcery,Lie Setiawan
Efreet Flamepainter,4,2021,0.3,#ff1a1a,https://cards.scryfall.io/normal/front/7/c/7c9dabbb-1ea0-4042-b32b-35b60fcff778.jpg?1628273149,Creature — Efreet Shaman,Marta Nael
Elemental Expressionist,4,2021,0.09,#d78f42,https://cards.scryfall.io/normal/front/b/a/baedd3a4-f991-44bb-b870-7831bb637444.jpg?1628271558,Creature — Orc Wizard,Zack Stella
Elite Spellbinder,3,2021,0.51,#ffffff,https://cards.scryfall.io/normal/front/2/5/250b3ddb-bfd1-4a3c-bafb-4ef79a3edf08.jpg?1628273927,Creature — Human Cleric,Ryan Pancoast
Exponential Growth,2,2021,0.53,#087500,https://cards.scryfall.io/normal/front/7/d/7d140f1c-719f-475f-826a-efcd2e01747e.jpg?1628272876,Sorcery,Izzy
Fervent Mastery,5,2021,0.29,#ff1a1a,https://cards.scryfall.io/normal/front/2/5/25a6a304-7f4b-45e6-85c0-e80a9a207db3.jpg?1628273112,Sorcery,Sean Sevestre
Frostboil Snarl,0,2021,2.12,#d78f42,https://cards.scryfall.io/normal/front/6/b/6bf1ad71-74e5-4610-a9b9-eb6f5ff8ae60.jpg?1628270732,Land,Sam Burley
Furycalm Snarl,0,2021,1.24,#d78f42,https://cards.scryfall.io/normal/front/3/7/37803ea3-86d6-4a18-92e6-203d96d265ba.jpg?1628270696,Land,Sam Burley
