name,cmc,release_year,price,color,image,type_line,artist
Adarkar Wastes,0,1996,3.79,#d78f42,https://cards.scryfall.io/normal/front/d/b/db0d0f97-a642-40fe-8674-f12b8e02a63d.jpg?1562935895,Land,Mike Raabe
Armageddon,4,1996,2.45,#ffffff,https://cards.scryfall.io/normal/front/7/e/7e33e463-4e90-4adf-ad6c-66aa8e8dd0dd.jpg?1562918342,Sorcery,Jesper Myrfors
Autumn Willow,6,1996,3.74,#087500,https://cards.scryfall.io/normal/front/4/f/4fa92866-b5ff-4548-a659-935391987cc9.jpg?1562909606,Legendary Creature — Avatar,Margaret Organ-Kean
Balance,2,1996,1.99,#ffffff,https://cards.scryfall.io/normal/front/3/f/3f4f3c43-11bb-4678-b8fe-11e55a7d7831.jpg?1562906634,Sorcery,Mark Poole
Birds of Paradise,1,1996,1.8,#087500,https://cards.scryfall.io/normal/front/c/8/c81ba510-634c-42aa-9797-769526114821.jpg?1562932430,Creature — Bird,Mark Poole
Brushland,0,1996,2.24,#d78f42,https://cards.scryfall.io/normal/front/a/7/a7b19e1c-b74f-4608-ad8f-9c82292ceea2.jpg?1562926318,Land,Bryon Wackwitz
City of Brass,0,1996,11.97,#8c8d8b,https://cards.scryfall.io/normal/front/1/9/193db964-feea-4b66-bf31-67a92772b792.jpg?1562899743,Land,Mark Tedin
Deflection,4,1996,0.99,#341aff,https://cards.scryfall.io/normal/front/9/7/97893a10-b6ce-4de9-a678-5302bea9c044.jpg?1593860327,Instant,Mike Raabe
Disrupting Scepter,3,1996,4.49,#8c8d8b,https://cards.scryfall.io/normal/front/7/8/7895ffbf-1488-4fd7-8e9c-48fe664aa007.jpg?1562917288,Artifact,Dan Frazier
Earthquake,1,1996,2.74,#ff1a1a,https://cards.scryfall.io/normal/front/5/9/59ceebd2-5772-4bbb-9d70-e9ec98633ed8.jpg?1562911591,Sorcery,Dan Frazier
Elkin Bottle,3,1996,0.89,#8c8d8b,https://cards.scryfall.io/normal/front/4/c/4cd40772-bc3a-41de-a5f6-f64c8d945fd4.jpg?1562909080,Artifact,Quinton Hoover
Howling Mine,2,1996,3.09,#8c8d8b,https://cards.scryfall.io/normal/front/3/c/3c76eaaf-58c9-4ef9-bf0a-7aa66397fa7d.jpg?1562906137,Artifact,Mark Poole
Ivory Tower,1,1996,2.99,#8c8d8b,https://cards.scryfall.io/normal/front/b/0/b0366004-6686-47bd-a531-1042a8cce2ed.jpg?1562927777,Artifact,Margaret Organ-Kean
Jayemdae Tome,4,1996,3.31,#8c8d8b,https://cards.scryfall.io/normal/front/d/1/d102fea4-e43d-42df-b5e6-31c8007658ee.jpg?1562934056,Artifact,Mark Tedin
Land Tax,1,1996,18.66,#ffffff,https://cards.scryfall.io/normal/front/3/1/3113a395-dae4-49e2-ab8a-5fdfacd82c57.jpg?1562904088,Enchantment,Brian Snõddy
Millstone,2,1996,0.74,#8c8d8b,https://cards.scryfall.io/normal/front/4/d/4d7ed468-a5e1-4c81-a1e6-923080074886.jpg?1562909210,Artifact,Kaja Foglio
Necropotence,3,1996,35.92,#000000,https://cards.scryfall.io/normal/front/1/1/115659cd-eb77-4951-aebf-ca36063da699.jpg?1562898339,Enchantment,Mark Tedin
Nevinyrral's Disk,4,1996,0.89,#8c8d8b,https://cards.scryfall.io/normal/front/0/7/07011574-e1c8-443b-8f74-e4ced09f10ae.jpg?1562896378,Artifact,Mark Tedin
Ring of Renewal,5,1996,0.5,#8c8d8b,https://cards.scryfall.io/normal/front/9/d/9d44967f-7739-4f63-a93a-e7277d9cc2a9.jpg?1562924282,Artifact,Douglas Shuler
Safe Haven,0,1996,0.88,#8c8d8b,https://cards.scryfall.io/normal/front/5/0/50e7bbf0-d220-42be-9b6b-5a9a1d8dcc29.jpg?1562909804,Land,Christopher Rush
Stormbind,3,1996,0.42,#d78f42,https://cards.scryfall.io/normal/front/6/4/64440639-401d-42b8-8d1a-874929d48947.jpg?1562913574,Enchantment,NéNé Thomas & Phillip Mosness
Stromgald Cabal,3,1996,0.75,#000000,https://cards.scryfall.io/normal/front/7/3/73a3933f-ba7d-42ea-9fb6-1ece4f5a9742.jpg?1562916458,Creature — Human Knight,Anson Maddocks
Sulfurous Springs,0,1996,1.37,#d78f42,https://cards.scryfall.io/normal/front/2/9/29880e73-5636-43ec-bcfc-7323d52fec3c.jpg?1562902674,Land,Phil Foglio
Sylvan Library,2,1996,39.99,#087500,https://cards.scryfall.io/normal/front/6/5/65186778-f0da-42e4-845a-2032cc4f4c0d.jpg?1562913703,Enchantment,Harold McNeill
Winter Orb,2,1996,8.95,#8c8d8b,https://cards.scryfall.io/normal/front/7/7/77b3a82f-ba87-4390-a630-6854f41dd1a7.jpg?1562917130,Artifact,Mark Tedin
Wrath of God,4,1996,3.99,#ffffff,https://cards.scryfall.io/normal/front/e/b/eb3f9eac-0fa2-40ed-9ecc-daf6c7c7be2f.jpg?1562939084,Sorcery,Quinton Hoover
Zur's Weirding,4,1996,1.99,#341aff,https://cards.scryfall.io/normal/front/f/4/f40b592f-325f-47ee-81b2-c1e1bdd3a344.jpg?1562940863,Enchantment,Liz Danforth
