name,cmc,release_year,price,color,image,type_line,artist
Allure of the Unknown,5,2020,0.22,#d78f42,https://cards.scryfall.io/normal/front/d/a/da57b900-5f1f-42a7-8182-b5ff22e8d65f.jpg?1581630453,Sorcery,Seb McKinnon
Aphemia- the Cacophony,2,2020,0.49,#000000,https://cards.scryfall.io/normal/front/f/9/f9464c5c-eac4-4073-bbdc-3715b06bdaba.jpg?1588680830,Legendary Enchantment Creature — Harpy,Lucas Graciano
Arasta of the Endless Web,4,2020,0.65,#087500,https://cards.scryfall.io/normal/front/b/a/ba44046a-5b3f-42af-903b-cccac7758035.jpg?1588680844,Legendary Enchantment Creature — Spider,Sam Rowan
Archon of Sun's Grace,4,2020,0.9,#ffffff,https://cards.scryfall.io/normal/front/7/4/74f8a654-8a7c-47db-b7aa-f78112b2f943.jpg?1581630625,Creature — Archon,Matt Stewart
Ashiok- Nightmare Muse,5,2020,7.67,#d78f42,https://cards.scryfall.io/normal/front/1/8/18a44b2a-afda-452d-9d84-f67bc97620b0.jpg?1581630450,Legendary Planeswalker — Ashiok,Raymond Swanland
Ashiok's Erasure,4,2020,0.22,#341aff,https://cards.scryfall.io/normal/front/4/0/400feef5-363b-4620-8416-af833c55d3bb.jpg?1581630585,Enchantment,Zezhou Chen
Atris- Oracle of Half-Truths,4,2020,0.34,#d78f42,https://cards.scryfall.io/normal/front/1/5/15591f28-ffde-4b6b-ad5d-6de80337fc7f.jpg?1581630447,Legendary Creature — Human Advisor,Bastien L. Deharme
Bronzehide Lion,2,2020,0.46,#d78f42,https://cards.scryfall.io/normal/front/1/f/1f7c1d1d-e163-4a6d-9707-c9e76397ce27.jpg?1594319169,Creature — Cat,Alayna Danner
Calix- Destiny's Hand,4,2020,3.33,#d78f42,https://cards.scryfall.io/normal/front/2/d/2d907a72-d880-4ab3-94ca-4f3fcf959002.jpg?1581630439,Legendary Planeswalker — Calix,Magali Villeneuve
Dalakos- Crafter of Wonders,3,2020,0.28,#d78f42,https://cards.scryfall.io/normal/front/6/b/6bec7361-96d4-4d82-bbfc-227a85992c16.jpg?1581630435,Legendary Creature — Merfolk Artificer,Ryan Pancoast
Dream Trawler,6,2020,0.32,#d78f42,https://cards.scryfall.io/normal/front/4/1/41c80ec6-3dfa-4e87-bccc-2bada06e7291.jpg?1581630431,Creature — Sphinx,Jesper Ejsing
Dryad of the Ilysian Grove,3,2020,17.78,#087500,https://cards.scryfall.io/normal/front/f/b/fb132ba1-6736-40d0-ae5f-e21f19fa3bec.jpg?1588680841,Enchantment Creature — Nymph Dryad,Scott Murphy
Eat to Extinction,4,2020,0.21,#000000,https://cards.scryfall.io/normal/front/4/1/4140c9a7-a9cb-48e5-9267-ab32ecbcdb56.jpg?1581630551,Instant,Vincent Proce
Eidolon of Obstruction,2,2020,0.25,#ffffff,https://cards.scryfall.io/normal/front/1/f/1fb78504-62c5-4473-a505-0af969870842.jpg?1588680971,Enchantment Creature — Spirit,Jason Rainville
Elspeth Conquers Death,5,2020,0.7,#ffffff,https://cards.scryfall.io/normal/front/c/0/c021b6b9-9033-4f95-9353-c42e5845aaf1.jpg?1581630613,Enchantment — Saga,Ryan Yee
Elspeth- Sun's Nemesis,4,2020,0.86,#ffffff,https://cards.scryfall.io/normal/front/e/9/e90ad5bd-f484-4164-8a5c-be22248ee08f.jpg?1581630608,Legendary Planeswalker — Elspeth,Livia Prima
Enigmatic Incarnation,4,2020,0.44,#d78f42,https://cards.scryfall.io/normal/front/8/1/81b64b84-86bb-42fc-a523-43a724857b4d.jpg?1581630427,Enchantment,PINDURSKI
Erebos- Bleak-Hearted,4,2020,3.67,#000000,https://cards.scryfall.io/normal/front/6/c/6c9c1483-b12a-481b-a415-8bbd57beac6e.jpg?1588680833,Legendary Enchantment Creature — God,Chase Stone
Erebos's Intervention,1,2020,0.43,#000000,https://cards.scryfall.io/normal/front/b/8/b89ccbfe-e130-4098-8522-47f35b88b874.jpg?1581630543,Instant,Mathias Kollros
Gallia of the Endless Dance,2,2020,0.3,#d78f42,https://cards.scryfall.io/normal/front/2/9/29d6cc57-514b-42e3-8f01-f66957889e9a.jpg?1581630424,Legendary Creature — Satyr,Johannes Voss
Gravebreaker Lamia,5,2020,0.94,#000000,https://cards.scryfall.io/normal/front/b/d/bd184912-ab92-4eb5-82b1-91e894c71b3d.jpg?1588680837,Enchantment Creature — Snake Lamia,Lius Lasahido
