name,cmc,release_year,price,color,image,type_line,artist
Ashnod,0,1997,99.99,#8c8d8b,https://cards.scryfall.io/normal/front/0/4/046f2416-c206-4344-aa39-ec42585e0d64.jpg?1562384970,Vanguard,Ron Spencer
Barrin,0,1997,7.9,#8c8d8b,https://cards.scryfall.io/normal/front/0/2/02f6b17c-89bd-47e1-9963-69260d5f2838.jpg?1562384961,Vanguard,Christopher Rush
Crovax,0,1997,10.15,#8c8d8b,https://cards.scryfall.io/normal/front/9/9/991f614e-7550-46ca-9091-96167d780c6c.jpg?1562385470,Vanguard,Ron Spencer
Eladamri,0,1997,24.99,#8c8d8b,https://cards.scryfall.io/normal/front/a/b/ab25accd-93d8-4ba4-8254-e5eb26ebce4c.jpg?1562385495,Vanguard,Mark Zug
Ertai,0,1997,3.99,#8c8d8b,https://cards.scryfall.io/normal/front/5/c/5cbb9b5d-9199-4a5b-957d-8fa681caeb7c.jpg?1562385059,Vanguard,Randy Gallegos
Gerrard,0,1997,1.8,#8c8d8b,https://cards.scryfall.io/normal/front/9/f/9f7413f4-0ce3-4fd4-b011-4e30ad88f510.jpg?1562385478,Vanguard,Douglas Shuler
Gix,0,1997,65.3,#8c8d8b,https://cards.scryfall.io/normal/front/8/7/87c1234b-3834-4bba-bef2-05707bb1e8e2.jpg?1562385446,Vanguard,Pete Venters
Greven il-Vec,0,1997,4.5,#8c8d8b,https://cards.scryfall.io/normal/front/2/8/286ec938-81a2-4626-b340-b7aa0192a4bd.jpg?1593863838,Vanguard,Mark Tedin
Hanna,0,1997,9.96,#8c8d8b,https://cards.scryfall.io/normal/front/0/7/079bdaa4-03ab-4eda-bd7f-ca598118fb47.jpg?1562384986,Vanguard,Liz Danforth
Karn,0,1997,14.22,#8c8d8b,https://cards.scryfall.io/normal/front/8/0/809175d4-115f-4901-9194-766a81a8ccd4.jpg?1562385437,Vanguard,Anthony S. Waters
Lyna,0,1997,4.35,#8c8d8b,https://cards.scryfall.io/normal/front/3/3/3309d7fc-6cff-4599-b480-042d3dfa3342.jpg?1562385020,Vanguard,Adam Rex
Maraxus,0,1997,4.47,#8c8d8b,https://cards.scryfall.io/normal/front/5/7/5724de5d-0a43-4b83-89cc-2d87a658964a.jpg?1562385051,Vanguard,Matthew D. Wilson
Mirri,0,1997,6.97,#8c8d8b,https://cards.scryfall.io/normal/front/2/5/25a203e3-2deb-42f6-b777-b153514680a5.jpg?1562385004,Vanguard,Richard Kane Ferguson
Mishra,0,1997,26.96,#8c8d8b,https://cards.scryfall.io/normal/front/0/5/05c8de73-fd56-49fa-aa17-d04ff1847f8d.jpg?1562384978,Vanguard,Anson Maddocks
Multani,0,1997,9.95,#8c8d8b,https://cards.scryfall.io/normal/front/b/1/b1e0bc9f-6a63-4763-a19d-8adbd6434172.jpg?1562385519,Vanguard,Brom
