name,cmc,release_year,price,color,image,type_line,artist
Ascendant Packleader,1,2021,0.6,#087500,https://cards.scryfall.io/normal/front/8/5/85b46861-2458-471a-ae03-cfee1d4f49dc.jpg?1783924658,Creature — Wolf,Alessandra Pisano
By Invitation Only,5,2021,0.39,#ffffff,https://cards.scryfall.io/normal/front/9/3/932aaab1-8f45-435b-8899-6d29c799128f.jpg?1783924692,Sorcery,Micah Epstein
Cemetery Desecrator,6,2021,0.77,#000000,https://cards.scryfall.io/normal/front/a/b/abcba5a1-e142-4ec4-8f4a-ebb2a8bd791e.jpg?1783924675,Creature — Zombie,Dan Murayama Scott
Cemetery Gatekeeper,2,2021,2.12,#ff1a1a,https://cards.scryfall.io/normal/front/1/1/115b8127-ac22-4904-9e44-68533624ff7e.jpg?1783924666,Creature — Vampire,Tyler Jacobson
Cemetery Illuminator,3,2021,0.69,#341aff,https://cards.scryfall.io/normal/front/0/7/07ac8ddd-5acb-4520-8bba-24dd3ce01230.jpg?1783924684,Creature — Spirit,Uriah Voth
Cemetery Protector,4,2025,2.6,#ffffff,https://cards.scryfall.io/normal/front/e/b/ebbad0a9-925f-43cc-b771-7e5ac178e7e5.jpg?1783907689,Creature — Human Soldier,Chris Rallis
Cemetery Prowler,3,2021,5.99,#087500,https://cards.scryfall.io/normal/front/2/6/269c0bf3-a1fe-429c-911c-9a65b5b0da63.jpg?1783924654,Creature — Wolf,Daarken
Chandra- Dressed to Kill,3,2021,1.7,#ff1a1a,https://cards.scryfall.io/normal/front/9/a/9aaa1834-c8d8-4610-9774-f50932554531.jpg?1783924665,Legendary Planeswalker — Chandra,Viktor Titov
Cultivator Colossus,7,2021,5.78,#087500,https://cards.scryfall.io/normal/front/5/e/5e6c21b7-b475-4937-a55f-c8a8f5348cee.jpg?1783924654,Creature — Plant Beast,Antonio José Manzanedo
Deathcap Glade,0,2021,10.91,#d78f42,https://cards.scryfall.io/normal/front/5/8/583fec70-3e6e-439e-98f7-4e9551fcfbfb.jpg?1783924640,Land,Sam Burley
Demonic Bargain,3,2021,0.53,#000000,https://cards.scryfall.io/normal/front/4/6/463ff461-1270-4551-8cd3-325d0266a6f4.jpg?1783924672,Sorcery,Sam Guay
Dig Up,1,2021,0.4,#d78f42,https://cards.scryfall.io/normal/front/d/a/da9f13f3-eaa9-4a5f-b6fd-0a2466c94996.jpg?1783924653,Sorcery,Slawomir Maniak
Dollhouse of Horrors,5,2021,0.57,#8c8d8b,https://cards.scryfall.io/normal/front/9/d/9dc0fb9c-a8ad-4e63-aec5-591c48e5b788.jpg?1783924643,Artifact,Muhammad Firdaus
Dominating Vampire,3,2021,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/8/0/809f817d-ac5e-427e-a972-69b1b5abb3bd.jpg?1783924661,Creature — Vampire,PINDURSKI
Dreamroot Cascade,0,2021,2.81,#d78f42,https://cards.scryfall.io/normal/front/8/e/8ed98eba-ddcc-48e9-b28a-5a16079de2e6.jpg?1783924639,Land,Sam Burley
Glorious Sunrise,5,2021,5.11,#087500,https://cards.scryfall.io/normal/front/8/4/84582d2f-7f3e-403c-9512-99cd212fa7b9.jpg?1783924652,Enchantment,Andreas Zafiratos
Hallowed Haunting,4,2022,8.45,#ffffff,https://cards.scryfall.io/normal/front/9/8/987ab975-4d22-4e39-855b-255c1ee6adba.jpg?1783919921,Enchantment,David Auden Nash
Hopeful Initiate,1,2023,0.45,#ffffff,https://cards.scryfall.io/normal/front/a/1/a14ac60e-a26d-4476-8098-d117adde1ffe.jpg?1783916676,Creature — Human Warlock,Dan Murayama Scott
Hullbreaker Horror,7,2021,5.86,#341aff,https://cards.scryfall.io/normal/front/f/e/fe03a9aa-f11c-4470-b604-b63a5dd496b8.jpg?1783924681,Creature — Kraken Horror,Svetlin Velinov
Investigator's Journal,2,2021,0.25,#8c8d8b,https://cards.scryfall.io/normal/front/8/a/8aed74f5-ff08-4a79-ba13-0eda973b6956.jpg?1783924641,Artifact — Book Clue,Yeong-Hao Han
Manaform Hellkite,4,2021,1.92,#ff1a1a,https://cards.scryfall.io/normal/front/9/d/9d74b693-ae6c-4352-82da-d21904cda126.jpg?1783924660,Creature — Dragon,Andrew Mar
Necroduality,4,2021,6.65,#341aff,https://cards.scryfall.io/normal/front/b/d/bdfb9e39-752c-4496-8811-d8c145e1fb97.jpg?1783924678,Enchantment,Billy Christian
Olivia- Crimson Bride,6,2021,6.78,#d78f42,https://cards.scryfall.io/normal/front/5/6/56cb291e-9b68-4934-8881-d8c4f5a27aa8.jpg?1783924644,Legendary Creature — Vampire Noble,Anna Steinbauer
Overcharged Amalgam,4,2021,1.07,#341aff,https://cards.scryfall.io/normal/front/8/6/86c7d6e7-f415-4826-a7b3-a379349619be.jpg?1783924678,Creature — Zombie Horror,Mike Jordana
Path of Peril,3,2021,0.67,#d78f42,https://cards.scryfall.io/normal/front/d/6/d6f2e16d-9831-4c22-b2bc-614df5df9c93.jpg?1783924669,Sorcery,Kasia 'Kafis' Zielińska
Shattered Sanctum,0,2021,5.58,#d78f42,https://cards.scryfall.io/normal/front/a/9/a9c78104-685c-43d0-b0ba-4363725e108c.jpg?1783924638,Land,Muhammad Firdaus
Stormcarved Coast,0,2021,5.46,#d78f42,https://cards.scryfall.io/normal/front/3/5/35ad490a-d5b7-409c-8841-9ee546260acd.jpg?1783924637,Land,Sarah Finnigan
Sundown Pass,0,2021,6.12,#d78f42,https://cards.scryfall.io/normal/front/8/3/83f9e6dc-7b1d-4298-8968-99bef7487440.jpg?1783924636,Land,Muhammad Firdaus
Thalia- Guardian of Thraben,2,2021,1.97,#ffffff,https://cards.scryfall.io/normal/front/0/e/0ed31f7e-f241-4d9d-b688-57c6b5792774.jpg?1783924686,Legendary Creature — Human Soldier,Magali Villeneuve
Toxrill- the Corrosive,7,2021,23.28,#d78f42,https://cards.scryfall.io/normal/front/2/6/26fbf2d5-193a-49cc-ad62-4776c10dc731.jpg?1783924667,Legendary Creature — Slug Horror,Simon Dominic
Voice of the Blessed,2,2022,2.14,#ffffff,https://cards.scryfall.io/normal/front/3/a/3a24430b-9152-4480-998f-8c5187245061.jpg?1783919919,Creature — Spirit Cleric,Anastasia Ovchinnikova
Voldaren Estate,0,2021,0.43,#8c8d8b,https://cards.scryfall.io/normal/front/e/4/e44ea3bb-5dc7-4ec8-b610-239e17bc3c42.jpg?1783924636,Land,Richard Wright
Winged Portent,3,2021,0.48,#d78f42,https://cards.scryfall.io/normal/front/a/0/a0f3dd96-0521-459b-8ee0-6dd8a6e1b4e4.jpg?1783924677,Instant,Nicholas Gregory
