name,cmc,release_year,price,color,image,type_line,artist
Agatha of the Vile Cauldron,2,2023,2.0,#d78f42,https://cards.scryfall.io/normal/front/e/e/ee82ee3a-8e84-4eb8-8ca7-3fc09eb6ca33.jpg?1694308478,Legendary Creature — Human Warlock,Jason A. Engle
Agatha's Soul Cauldron,2,2023,30.69,#8c8d8b,https://cards.scryfall.io/normal/front/c/b/cb1bbd0b-a05a-4a6e-83d3-4bd067b7ef3a.jpg?1694308189,Legendary Artifact,Jason A. Engle
Ashiok- Wicked Manipulator,5,2023,5.0,#000000,https://cards.scryfall.io/normal/front/4/2/42661b1c-3078-4a59-857f-170840e09b11.jpg?1694308845,Legendary Planeswalker — Ashiok,Raymond Swanland
Asinine Antics,4,2023,3.08,#341aff,https://cards.scryfall.io/normal/front/3/3/33b4062c-c6ba-4bb7-a56a-bf35c2ea64b7.jpg?1694308943,Sorcery,Brent Hollowell
Beluna Grandsquall // Seek Thrills,3,2023,1.33,#d78f42,https://cards.scryfall.io/normal/front/8/5/853840d5-7f4f-4e51-b567-8f34f5ec7d70.jpg?1694308343,Legendary Creature — Giant Noble // Instant — Adventure,Victor Adame Minguez
Beseech the Mirror,4,2023,40.44,#000000,https://cards.scryfall.io/normal/front/a/1/a188d4d7-3afd-49f4-aa7a-d3fbefdacd00.jpg?1694308833,Sorcery,Cynthia Sheppard
Blossoming Tortoise,4,2023,7.26,#087500,https://cards.scryfall.io/normal/front/9/e/9ea6a65c-38f7-4fbe-b271-f6e6fd4d3be9.jpg?1694308585,Creature — Turtle,Simon Dominic
Bramble Familiar // Fetch Quest,2,2023,2.99,#087500,https://cards.scryfall.io/normal/front/1/8/18ca730f-76e9-460c-965a-4f3024e8479a.jpg?1694308574,Creature — Elemental Raccoon // Sorcery — Adventure,Simon Dominic
Cruel Somnophage // Can't Wake Up,2,2023,4.99,#d78f42,https://cards.scryfall.io/normal/front/4/b/4b2edf83-4cc0-4874-b6d5-87df8bfc2b04.jpg?1694308331,Creature — Nightmare // Sorcery — Adventure,Jason A. Engle
Decadent Dragon // Expensive Taste,4,2023,5.93,#d78f42,https://cards.scryfall.io/normal/front/a/e/ae439a70-7f12-4544-9843-f557a8df999a.jpg?1694308319,Creature — Dragon // Instant — Adventure,Wylie Beckert
Elvish Archivist,2,2023,0.48,#087500,https://cards.scryfall.io/normal/front/d/c/dc7851ae-a52b-47bd-9132-65be55f3021c.jpg?1694308561,Creature — Elf Artificer,Mila Pesic
Eriette of the Charmed Apple,3,2023,7.0,#d78f42,https://cards.scryfall.io/normal/front/7/f/7f4f622b-3c2a-42d4-a10a-7f2cfa41d207.jpg?1694308454,Legendary Creature — Human Warlock,Magali Villeneuve
Gruff Triplets,6,2023,0.5,#087500,https://cards.scryfall.io/normal/front/5/0/504b0281-6118-434e-a836-a0dd65fe6f9c.jpg?1694308536,Creature — Satyr Warrior,Fajareka Setiawan
Heartflame Duelist // Heartflame Slash,2,2023,0.87,#d78f42,https://cards.scryfall.io/normal/front/8/3/83d479a7-0d38-4213-8f33-bcbc8236882f.jpg?1694308281,Creature — Human Knight // Instant — Adventure,Justyna Dura
Imodane- the Pyrohammer,4,2023,0.99,#ff1a1a,https://cards.scryfall.io/normal/front/1/d/1d590db0-e680-44e2-afc6-ffa5b3532fe0.jpg?1694308671,Legendary Creature — Human Knight,Chris Rahn
Likeness Looter,2,2023,1.06,#d78f42,https://cards.scryfall.io/normal/front/f/8/f8fb79ed-638e-4a88-852f-048ecee507f6.jpg?1694308405,Creature — Faerie Shapeshifter,Ben Hill
Lord Skitter's Blessing,2,2023,1.37,#000000,https://cards.scryfall.io/normal/front/f/8/f8e03c05-74d1-4b5f-91ed-37690a7cf70f.jpg?1694308773,Enchantment,Joseph Weston
Lord Skitter- Sewer King,3,2023,3.49,#000000,https://cards.scryfall.io/normal/front/a/5/a57e4e90-1822-46a7-a68f-319b91c4891e.jpg?1694308783,Legendary Creature — Rat Noble,Jesper Ejsing
