name,cmc,release_year,price,color,image,type_line,artist
Akiri- Fearless Voyager,3,2020,0.62,#d78f42,https://cards.scryfall.io/normal/front/2/a/2a29e2dc-180f-45e1-b5d5-5424da31198c.jpg?1607365098,Legendary Creature — Kor Warrior,Ekaterina Burmak
Ancient Greenwarden,6,2020,13.93,#087500,https://cards.scryfall.io/normal/front/3/1/31f9ca34-8bc0-4821-940b-912918ff2ac2.jpg?1607365271,Creature — Elemental,Grzegorz Rutkowski
Angel of Destiny,5,2020,4.45,#ffffff,https://cards.scryfall.io/normal/front/f/8/f885a37a-4c51-4801-ab40-5d1ca54a5810.jpg?1607366068,Creature — Angel Cleric,Ryan Pancoast
Archon of Emeria,3,2020,2.75,#ffffff,https://cards.scryfall.io/normal/front/e/c/ecb6321c-069e-4da2-9751-204aab3cfc13.jpg?1607366055,Creature — Archon,Ryan Pancoast
Archpriest of Iona,1,2020,0.16,#ffffff,https://cards.scryfall.io/normal/front/c/9/c924ea10-477a-4f0d-a9e0-c44eeb3d0a00.jpg?1607366042,Creature — Human Cleric,Denman Rooke
Ashaya- Soul of the Wild,5,2020,12.12,#087500,https://cards.scryfall.io/normal/front/f/1/f1bb1df2-8b81-4a64-9581-b64424490dcb.jpg?1607365258,Legendary Creature — Elemental,Chase Stone
Charix- the Raging Isle,4,2020,0.39,#341aff,https://cards.scryfall.io/normal/front/0/c/0c098ed7-5f2b-4d9d-ab24-73ddb2e681fc.jpg?1607365870,Legendary Creature — Leviathan Crab,Viktor Titov
Confounding Conundrum,2,2020,0.29,#341aff,https://cards.scryfall.io/normal/front/c/d/cd33a44d-7c3f-4757-a68c-fc56d49e9247.jpg?1607365855,Enchantment,Bryan Sola
Coralhelm Chronicler,3,2020,0.19,#341aff,https://cards.scryfall.io/normal/front/8/f/8fd09121-b269-47b6-a18d-c5130bf659cc.jpg?1607365840,Creature — Merfolk Wizard,Lie Setiawan
Coveted Prize,5,2020,0.33,#000000,https://cards.scryfall.io/normal/front/d/c/dceacc17-c5a9-40b7-a54e-b8fcc0267ad0.jpg?1607365651,Sorcery,Lie Setiawan
Cragplate Baloth,7,2020,0.25,#087500,https://cards.scryfall.io/normal/front/7/e/7ee344f4-8ed8-42a7-8239-2d0c5a2c175f.jpg?1607365239,Creature — Beast,Jesper Ejsing
Crawling Barrens,0,2020,0.36,#8c8d8b,https://cards.scryfall.io/normal/front/9/5/954e1d00-cc8e-49ae-9dc7-bd50f0acf6d3.jpg?1607364685,Land,Jonas De Ro
Drana- the Last Bloodchief,5,2020,3.43,#000000,https://cards.scryfall.io/normal/front/9/e/9e17f039-ea8a-407a-a38b-9ecbd69a1d12.jpg?1607365638,Legendary Creature — Vampire Cleric,Tyler Jacobson
Felidar Retreat,4,2020,1.33,#ffffff,https://cards.scryfall.io/normal/front/e/0/e0701454-2ca2-45a9-8aef-29657a45e99d.jpg?1607366008,Enchantment,Ralph Horsley
Forsaken Monument,5,2020,11.29,#8c8d8b,https://cards.scryfall.io/normal/front/c/a/ca7e891b-a302-4c8b-897a-fa17e64156df.jpg?1607364874,Legendary Artifact,Piotr Dura
Grakmaw- Skyclave Ravager,3,2020,0.49,#d78f42,https://cards.scryfall.io/normal/front/c/d/cdb5b964-720e-4c11-ba0a-7bdaab1f302c.jpg?1607365085,Legendary Creature — Hydra Horror,Filip Burburan
Inscription of Abundance,2,2020,0.6,#087500,https://cards.scryfall.io/normal/front/b/d/bd955dcf-f9af-4a30-9daa-345e2b7c6a48.jpg?1607365224,Instant,Zoltan Boros
Inscription of Insight,4,2020,0.24,#341aff,https://cards.scryfall.io/normal/front/5/8/58ae274d-99f9-45c1-938c-03f591302adb.jpg?1607365804,Sorcery,Zoltan Boros
Inscription of Ruin,3,2020,0.18,#000000,https://cards.scryfall.io/normal/front/5/7/575d0bcd-925e-4854-9dbd-84621debbbce.jpg?1607365601,Sorcery,Zoltan Boros
Jace- Mirror Mage,3,2020,0.79,#341aff,https://cards.scryfall.io/normal/front/5/4/54c6a4c3-ae00-4f29-bb4f-383dcec21747.jpg?1607365791,Legendary Planeswalker — Jace,Tyler Jacobson
Kargan Intimidator,2,2020,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/1/7/17d4d58e-5a37-4129-b9bd-4b5d2d456079.jpg?1607365479,Creature — Human Warrior,Kieran Yanner
Kaza- Roil Chaser,2,2020,0.29,#d78f42,https://cards.scryfall.io/normal/front/2/a/2ac9b854-701a-44a6-9f2e-a9c0d0620ed2.jpg?1607365067,Legendary Creature — Human Wizard,Ekaterina Burmak
Legion Angel,4,2020,0.37,#ffffff,https://cards.scryfall.io/normal/front/5/8/58464969-870d-431b-b7b3-300d81cc505f.jpg?1607365995,Creature — Angel Warrior,PINDURSKI
Leyline Tyrant,4,2020,1.95,#ff1a1a,https://cards.scryfall.io/normal/front/d/7/d752f9d1-af24-4902-97e9-96c0f9a95908.jpg?1607365465,Creature — Dragon,Chase Stone
Linvala- Shield of Sea Gate,3,2020,0.23,#d78f42,https://cards.scryfall.io/normal/front/0/0/008c9605-7652-4ef6-9742-de325168141e.jpg?1607365051,Legendary Creature — Angel Wizard,Wayne Reynolds
Lithoform Engine,4,2020,3.14,#8c8d8b,https://cards.scryfall.io/normal/front/1/b/1bfd1257-0ad4-45e7-a77a-d98cc18578c1.jpg?1607364862,Legendary Artifact,Colin Boyer
Lotus Cobra,2,2020,3.0,#087500,https://cards.scryfall.io/normal/front/4/d/4db85866-5ce1-479b-8a6a-e4b86da8fbfa.jpg?1607365192,Creature — Snake,Sam Rowan
Luminarch Aspirant,2,2020,2.02,#ffffff,https://cards.scryfall.io/normal/front/b/1/b1238003-f218-46a4-8ac7-8ab98a59fa41.jpg?1607365982,Creature — Human Cleric,Mads Ahm
Maddening Cacophony,2,2020,4.18,#341aff,https://cards.scryfall.io/normal/front/d/7/d771c395-c68f-4034-a9ca-6a1cc6a72b8e.jpg?1607365774,Sorcery,Magali Villeneuve
Magmatic Channeler,2,2020,0.28,#ff1a1a,https://cards.scryfall.io/normal/front/f/7/f7550d06-70c3-4db2-a1b0-ea24563d027e.jpg?1607365448,Creature — Human Wizard,Bryan Sola
Master of Winds,4,2020,0.07,#341aff,https://cards.scryfall.io/normal/front/a/c/ac246b34-dbf1-45e9-89b6-c49695521423.jpg?1607365760,Creature — Sphinx Wizard,Yigit Koroglu
Maul of the Skyclaves,3,2020,0.42,#ffffff,https://cards.scryfall.io/normal/front/f/e/fe91a1fc-d2a9-4efb-9315-d77caadd02fd.jpg?1607365967,Artifact — Equipment,Joseph Meehan
Moraug- Fury of Akoum,6,2020,9.67,#ff1a1a,https://cards.scryfall.io/normal/front/3/2/320fb49d-5985-45ff-9bf3-41af38082396.jpg?1607365434,Legendary Creature — Minotaur Warrior,Rudy Siswanto
Myriad Construct,4,2020,0.23,#8c8d8b,https://cards.scryfall.io/normal/front/4/4/44950da2-53c4-43ca-af3f-6154c2a66f5b.jpg?1607364846,Artifact Creature — Construct,Chase Stone
Nahiri- Heir of the Ancients,4,2020,1.29,#d78f42,https://cards.scryfall.io/normal/front/a/3/a382d191-a3fb-4fb5-bd43-8b0dab57f432.jpg?1607365034,Legendary Planeswalker — Nahiri,Anna Steinbauer
Nahiri's Lithoforming,2,2020,0.33,#ff1a1a,https://cards.scryfall.io/normal/front/f/3/f3802a09-d9f8-45d8-afc8-1182dce715b4.jpg?1607365414,Sorcery,Campbell White
Nighthawk Scavenger,3,2020,0.94,#000000,https://cards.scryfall.io/normal/front/8/c/8ce97b6d-9988-4be5-a674-727424a09e70.jpg?1607365587,Creature — Vampire Rogue,Heonhwa Choe
Nimble Trapfinder,2,2020,0.1,#341aff,https://cards.scryfall.io/normal/front/1/0/105d23a6-025d-4083-ad3a-6995bb45c01a.jpg?1607365743,Creature — Human Rogue,Caio Monteiro
Nissa of Shadowed Boughs,4,2020,2.1,#d78f42,https://cards.scryfall.io/normal/front/8/2/82c3e0e1-be63-4a6a-9c9f-bc38e16e587b.jpg?1607365013,Legendary Planeswalker — Nissa,Yongjae Choi
Nullpriest of Oblivion,2,2020,0.75,#000000,https://cards.scryfall.io/normal/front/0/1/0195245a-a48f-4972-a7ce-1e7eb82d4d77.jpg?1607365573,Creature — Vampire Cleric,Yongjae Choi
Omnath- Locus of Creation,4,2020,10.9,#d78f42,https://cards.scryfall.io/normal/front/b/f/bfb90093-9ce9-49f7-abdf-8d74de7f5af8.jpg?1607365000,Legendary Creature — Elemental,Chris Rahn
Orah- Skyclave Hierophant,4,2020,0.22,#d78f42,https://cards.scryfall.io/normal/front/1/9/1969f815-cffb-48ca-bd01-2b9420685644.jpg?1607364987,Legendary Creature — Kor Cleric,Heonhwa Choe
Oran-Rief Ooze,3,2020,0.29,#087500,https://cards.scryfall.io/normal/front/2/a/2a41a564-d71a-40dc-8cdc-aeecf8c843db.jpg?1607365178,Creature — Ooze,Daarken
Phylath- World Sculptor,6,2020,0.35,#d78f42,https://cards.scryfall.io/normal/front/f/7/f7d97ae3-d471-4e75-983f-35b102bad6a8.jpg?1607364973,Legendary Creature — Elemental,Victor Adame Minguez
Relic Robber,3,2020,0.29,#ff1a1a,https://cards.scryfall.io/normal/front/5/0/50d98f85-afbd-46d9-b67c-4f2391ea6b09.jpg?1607365400,Creature — Goblin Rogue,Slawomir Maniak
Roiling Vortex,2,2020,1.94,#ff1a1a,https://cards.scryfall.io/normal/front/5/e/5e7315b9-5212-43d6-8011-ed40d1f09a45.jpg?1607365382,Enchantment,Campbell White
Scourge of the Skyclaves,2,2020,0.94,#000000,https://cards.scryfall.io/normal/front/5/6/56131f19-c8da-425d-8139-522173776e3c.jpg?1607365555,Creature — Demon,Chase Stone
Scute Swarm,3,2020,3.87,#087500,https://cards.scryfall.io/normal/front/2/a/2ac27853-fe5a-4402-9872-1fc98d083277.jpg?1607365161,Creature — Insect,Alex Konstad
Sea Gate Stormcaller,2,2020,0.43,#341aff,https://cards.scryfall.io/normal/front/4/b/4b2f41f3-0b42-4bc0-afb7-da3b81757b30.jpg?1607365699,Creature — Human Wizard,Anna Steinbauer
Shadows' Verdict,5,2020,0.26,#000000,https://cards.scryfall.io/normal/front/3/d/3d4f90f5-10d5-4a28-8db6-6993524ae155.jpg?1607365541,Sorcery,Lius Lasahido
Shatterskull Charger,3,2020,0.2,#ff1a1a,https://cards.scryfall.io/normal/front/d/3/d315b39d-adcc-44b7-b04e-6a6c2e2cbf83.jpg?1607365368,Creature — Giant Warrior,Lius Lasahido
Skyclave Apparition,3,2020,1.98,#ffffff,https://cards.scryfall.io/normal/front/3/4/3491b0ba-8a51-4afb-802f-4463997d31b6.jpg?1607365917,Creature — Kor Spirit,Donato Giancola
Skyclave Relic,3,2020,0.93,#8c8d8b,https://cards.scryfall.io/normal/front/4/c/4caef453-f88b-47ec-b8d8-22c9616e2a1f.jpg?1607364812,Artifact,Daniel Ljunggren
