cmc,price,color
5,0.52,#d78f42
15,2.04,#d78f42
1,9.14,#087500
9,2.35,#ffffff
4,0.57,#d78f42
2,1.04,#000000
3,0.2,#d78f42
4,0.59,#8c8d8b
4,2.16,#ff1a1a
4,0.61,#d78f42
6,0.19,#341aff
3,0.32,#ff1a1a
3,5.24,#087500
8,0.37,#d78f42
4,1.16,#d78f42
3,44.68,#8c8d8b
4,7.25,#ffffff
3,10.09,#341aff
2,0.28,#d78f42
2,35.46,#000000
3,0.7,#d78f42
3,0.91,#d78f42
5,46.21,#087500
5,0.36,#341aff
4,0.43,#000000
8,0.17,#ff1a1a
7,2.58,#341aff
6,0.44,#d78f42
4,0.3,#ff1a1a
2,0.93,#ffffff
5,1.52,#341aff
7,0.2,#ffffff
4,0.51,#d78f42
6,0.38,#d78f42
2,11.63,#d78f42
5,3.08,#087500
5,0.29,#d78f42
9,3.29,#341aff
6,0.23,#ff1a1a
6,1.46,#000000
6,0.41,#000000
7,0.68,#ffffff
5,0.5,#ff1a1a
2,4.97,#000000
4,0.5,#ffffff
3,2.41,#341aff
4,1.0,#087500
2,12.97,#087500
3,0.39,#ffffff
4,3.35,#ffffff
4,0.59,#d78f42
4,0.77,#d78f42
8,1.08,#d78f42
5,3.37,#ff1a1a
4,0.27,#ff1a1a
5,0.65,#000000
3,0.36,#000000
9,1.45,#8c8d8b
0,17.69,#d78f42
5,17.25,#8c8d8b
5,2.29,#d78f42
3,0.39,#d78f42
6,1.47,#087500
5,14.6,#d78f42
8,0.98,#d78f42
6,0.85,#d78f42
0,16.62,#d78f42
4,1.59,#d78f42
3,0.39,#087500
3,0.26,#d78f42
2,3.91,#d78f42
6,0.28,#000000
8,1.16,#d78f42
3,0.28,#341aff
3,3.01,#d78f42
7,0.58,#d78f42
0,16.84,#d78f42
5,1.8,#ffffff
6,2.36,#d78f42
6,2.59,#341aff
3,2.65,#ffffff
5,0.32,#087500
2,0.39,#087500
5,0.38,#d78f42
8,0.93,#ff1a1a
0,16.0,#d78f42
5,0.28,#000000
6,0.2,#d78f42
