name,cmc,release_year,price,color,image,type_line,artist
Blue- Loyal Raptor,4,2023,4.39,#d78f42,https://cards.scryfall.io/normal/front/0/a/0a764ec9-6a30-4df3-91b4-c64fd8e32fa0.jpg?1698988752,Legendary Creature — Dinosaur,Maaz Ali Khan
Compy Swarm,3,2023,6.43,#d78f42,https://cards.scryfall.io/normal/front/8/0/800871ee-7394-4a31-98a7-4b92860208a1.jpg?1698988753,Creature — Dinosaur,Izzy
Cresting Mosasaurus,8,2023,2.32,#341aff,https://cards.scryfall.io/normal/front/b/6/b6011e4b-a8a7-4cad-a276-c1022b45edc3.jpg?1698988734,Creature — Dinosaur,Chris Rallis
Dino DNA,1,2023,8.55,#8c8d8b,https://cards.scryfall.io/normal/front/c/e/ceb287d3-cb8e-4ff2-8082-c0bd59c59b45.jpg?1698988782,Artifact,Leonardo Santanna
Don't Move,5,2023,7.91,#ffffff,https://cards.scryfall.io/normal/front/1/d/1d06f729-990b-4c2c-ad2a-c17449117f75.jpg?1698988731,Sorcery,Inkognit
Ellie and Alan- Paleontologists,5,2023,2.19,#d78f42,https://cards.scryfall.io/normal/front/c/4/c40b25d7-73c9-4f30-a707-5afb08185a8d.jpg?1698988755,Legendary Creature — Human Scientist,Zoltan Boros
Grim Giganotosaurus,7,2023,1.79,#d78f42,https://cards.scryfall.io/normal/front/a/e/ae30b824-9586-413b-b925-ce6f915bf7e5.jpg?1698988759,Creature — Dinosaur,Daren Bader
Henry Wu- InGen Geneticist,3,2023,0.75,#d78f42,https://cards.scryfall.io/normal/front/5/b/5b67d302-ddaa-4627-adc8-86bb665f69ad.jpg?1698988761,Legendary Creature — Human Scientist,Justin Cornell
Hunting Velociraptor,3,2023,31.29,#ff1a1a,https://cards.scryfall.io/normal/front/e/2/e2c5c161-49c5-404d-bd8e-86e634222232.jpg?1698988738,Creature — Dinosaur,Caio Monteiro
Ian Malcolm- Chaotician,3,2023,2.72,#d78f42,https://cards.scryfall.io/normal/front/b/4/b4a0402e-e39b-4008-b654-189b4a5e03a3.jpg?1698988761,Legendary Creature — Human Scientist,Caio Monteiro
Indominus Rex- Alpha,5,2023,6.35,#d78f42,https://cards.scryfall.io/normal/front/2/5/25e6ebfb-8f0b-44f0-a911-103ade41c6bc.jpg?1698988767,Legendary Creature — Dinosaur Mutant,Miro Petrov
Indoraptor- the Perfect Hybrid,3,2023,5.22,#d78f42,https://cards.scryfall.io/normal/front/3/8/3826e2af-c134-4dc1-98b5-574b1bda9a98.jpg?1698988768,Legendary Creature — Dinosaur Mutant,Daren Bader
Life Finds a Way,3,2023,6.83,#087500,https://cards.scryfall.io/normal/front/7/2/72137cda-ab1b-4bb7-9190-66a954c36e1e.jpg?1698988740,Enchantment,Inkognit
Owen Grady- Raptor Trainer,3,2023,5.06,#d78f42,https://cards.scryfall.io/normal/front/a/8/a85a1e4c-af02-4072-872f-956fa74f8aa6.jpg?1698988768,Legendary Creature — Human Soldier Scientist,Jaroslav Kosmina
Permission Denied,2,2023,6.82,#d78f42,https://cards.scryfall.io/normal/front/c/3/c3e8dd5a-d52d-481d-b48c-1392462beb33.jpg?1698988775,Instant,Leonardo Santanna
Ravenous Tyrannosaurus,6,2023,23.85,#d78f42,https://cards.scryfall.io/normal/front/2/b/2be38927-637b-4dce-b228-83ce4f50c4a4.jpg?1698988775,Creature — Dinosaur,Raymond Swanland
Savage Order,4,2023,12.49,#087500,https://cards.scryfall.io/normal/front/f/5/f571ef55-50dd-4624-aa42-fea5a0303033.jpg?1698988745,Sorcery,Jesper Ejsing
Spitting Dilophosaurus,3,2023,5.11,#000000,https://cards.scryfall.io/normal/front/f/4/f4f0c479-5fd1-45c2-af3f-15b6e5811b0f.jpg?1699783766,Creature — Dinosaur,Francisco Badilla
Swooping Pteranodon,5,2023,4.02,#d78f42,https://cards.scryfall.io/normal/front/4/3/43aa5d97-7483-4f90-998d-70732a7ae1dc.jpg?1698993174,Creature — Dinosaur,Slawomir Maniak
Welcome to . . . // Jurassic Park,3,2023,18.46,#087500,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Saga // Legendary Land,Villarrte
