name,cmc,release_year,price,color,image
Admiral's Order,3,2018,0.28,#341aff,https://cards.scryfall.io/normal/front/8/0/80dc0310-afd9-49b4-b58f-a0e91120c38c.jpg?1555039852
Angrath's Fury,5,2018,0.2,#d78f42,https://cards.scryfall.io/normal/front/7/0/708006ba-d494-4093-b108-8249b110831e.jpg?1555041214
Angrath- the Flame-Chained,5,2018,3.5,#d78f42,https://cards.scryfall.io/normal/front/a/4/a4d76d03-4fcf-42f8-8c2e-ad6b03d58677.jpg?1555040781
Arch of Orazca,0,2018,0.84,#8c8d8b,https://cards.scryfall.io/normal/front/c/6/c6d47162-749b-47d5-9589-8f1dbf60b9f3.jpg?1555041067
Awakened Amalgam,4,2018,0.13,#8c8d8b,https://cards.scryfall.io/normal/front/d/2/d24b14ea-04f0-4d4b-970e-efc65d64945e.jpg?1555040989
Azor's Gateway // Sanctum of the Sun,2,2018,2.95,#8c8d8b,None
Azor- the Lawbringer,6,2018,1.43,#d78f42,https://cards.scryfall.io/normal/front/3/0/30dc237e-b28a-4b65-9790-6b434828bf2e.jpg?1555040794
Bishop of Binding,4,2018,0.23,#ffffff,https://cards.scryfall.io/normal/front/a/a/aaadceb3-8a57-45de-b3f1-aca94f20de18.jpg?1555039653
Blood Sun,3,2018,0.75,#ff1a1a,https://cards.scryfall.io/normal/front/8/7/875832f4-e541-4c87-8479-731e0eab2cc6.jpg?1555040361
Brass's Bounty,7,2018,1.68,#ff1a1a,https://cards.scryfall.io/normal/front/1/3/13505866-6ce9-4d11-b3f3-fc2f09839b71.jpg?1555040374
Captain's Hook,3,2018,0.2,#8c8d8b,https://cards.scryfall.io/normal/front/7/b/7bd3f777-b33a-454a-8d5d-993260ddda03.jpg?1555041008
Champion of Dusk,5,2018,0.6,#000000,https://cards.scryfall.io/normal/front/5/0/507a4fb1-d27b-4393-9eed-48fe05b367d8.jpg?1555040149
Crafty Cutpurse,4,2018,0.34,#341aff,https://cards.scryfall.io/normal/front/a/c/ac6afc4c-3c41-44e8-ad8c-186c277267a1.jpg?1555039866
Dead Man's Chest,2,2018,0.24,#000000,https://cards.scryfall.io/normal/front/a/7/a76ac1d9-b0df-4dec-b133-057cc5902071.jpg?1555040168
Deeproot Elite,2,2018,0.86,#087500,https://cards.scryfall.io/normal/front/c/8/c8b738ce-a609-448f-97ea-bbf90ba833d7.jpg?1555040617
Dire Fleet Daredevil,2,2018,0.58,#ff1a1a,https://cards.scryfall.io/normal/front/1/3/13e3c0c5-7451-4da9-acc0-d6e4e1f2655e.jpg?1555040408
Dire Fleet Poisoner,2,2018,0.63,#000000,https://cards.scryfall.io/normal/front/8/8/88273b1e-b33b-44d3-8777-4e78a04eed65.jpg?1555040192
