cmc,price,color
7,9.0,#8c8d8b
5,0.36,#8c8d8b
3,2.5,#087500
7,0.66,#000000
4,9.15,#087500
7,2.18,#341aff
6,0.24,#ff1a1a
5,0.28,#000000
4,0.43,#000000
2,3.86,#341aff
6,1.71,#ffffff
1,0.51,#ff1a1a
7,0.13,#ff1a1a
3,0.12,#341aff
5,0.63,#000000
3,0.46,#341aff
8,10.14,#8c8d8b
0,8.06,#8c8d8b
15,33.99,#8c8d8b
1,1.21,#087500
5,1.22,#ffffff
8,0.54,#087500
5,4.45,#341aff
1,3.46,#000000
3,0.23,#ffffff
4,0.67,#8c8d8b
6,0.85,#000000
6,0.24,#ff1a1a
12,24.88,#8c8d8b
2,1.8,#ff1a1a
2,0.41,#087500
6,2.94,#8c8d8b
8,16.17,#087500
2,1.93,#ffffff
10,83.63,#8c8d8b
2,18.32,#341aff
4,1.78,#ffffff
4,21.89,#ffffff
4,0.77,#ff1a1a
5,0.13,#ff1a1a
4,1.04,#087500
1,0.5,#000000
3,1.2,#087500
5,0.46,#ffffff
6,12.2,#000000
6,0.37,#ffffff
8,0.68,#000000
3,0.44,#ff1a1a
3,4.75,#087500
6,3.01,#341aff
2,0.43,#341aff
7,1.41,#000000
5,3.15,#d78f42
10,8.79,#8c8d8b
7,0.47,#8c8d8b
6,0.2,#341aff
4,9.15,#ff1a1a
1,3.51,#ffffff
3,0.18,#341aff
2,2.78,#087500
4,0.26,#000000
1,41.77,#341aff
3,3.69,#ffffff
3,0.41,#ff1a1a
11,63.59,#8c8d8b
3,3.54,#ffffff
4,8.74,#087500
5,7.51,#ff1a1a
