name,cmc,release_year,price,color,image,type_line,artist
Ageless Sentinels,4,2003,0.19,#ffffff,https://cards.scryfall.io/normal/front/c/c/ccaa4a19-8eba-4c43-8a9a-636e234df751.jpg?1562534734,Creature — Wall,Tony Szczudlo
Ambush Commander,5,2003,2.63,#087500,https://cards.scryfall.io/normal/front/7/4/7485da91-a051-4680-8a25-c81fdaa77130.jpg?1562530654,Creature — Elf,Darrell Riche
Ancient Ooze,7,2003,3.04,#087500,https://cards.scryfall.io/normal/front/3/b/3b57b41c-f99c-4525-8541-f025b7e31974.jpg?1562527613,Creature — Ooze,Erica Gassalasca-Jape
Bladewing the Risen,7,2003,2.61,#d78f42,https://cards.scryfall.io/normal/front/2/b/2bd3e13d-53f8-42bf-aa83-09a9ca94a9f0.jpg?1562527045,Legendary Creature — Zombie Dragon,Kev Walker
Cabal Conditioning,7,2003,0.51,#000000,https://cards.scryfall.io/normal/front/e/b/eb81c6e6-fded-4cd3-a6fa-486419a5408a.jpg?1650357097,Sorcery,Scott M. Fischer
Call to the Grave,5,2003,2.79,#000000,https://cards.scryfall.io/normal/front/2/a/2a346b4a-ac8a-4f99-9ed7-dd41102e56ce.jpg?1562527023,Enchantment,Daren Bader
Consumptive Goo,2,2003,0.35,#000000,https://cards.scryfall.io/normal/front/0/f/0f0f549f-6607-483a-9d89-2019ca9ef571.jpg?1562525434,Creature — Ooze,Carl Critchlow
Dawn Elemental,4,2003,0.4,#ffffff,https://cards.scryfall.io/normal/front/f/d/fd90a303-25fb-460b-bd55-6249f61c361c.jpg?1562537377,Creature — Elemental,Anthony S. Waters
Day of the Dragons,7,2003,0.25,#341aff,https://cards.scryfall.io/normal/front/3/6/366a934c-eb01-48c6-8393-c2fe0708ff91.jpg?1562527571,Enchantment,Matthew D. Wilson
Decree of Annihilation,10,2003,2.35,#ff1a1a,https://cards.scryfall.io/normal/front/7/3/73744717-518c-478e-9da9-201c49124f37.jpg?1562530626,Sorcery,John Avon
Decree of Justice,4,2003,3.97,#ffffff,https://cards.scryfall.io/normal/front/5/e/5e8a7e5c-f252-4de8-94d7-e7327210bf26.jpg?1562529682,Sorcery,Adam Rex
Decree of Pain,8,2003,3.23,#000000,https://cards.scryfall.io/normal/front/e/1/e1958a07-fc75-41cd-ac45-d92d49587754.jpg?1562536145,Sorcery,Carl Critchlow
Decree of Savagery,9,2003,0.47,#087500,https://cards.scryfall.io/normal/front/e/6/e643fbf1-74d5-412b-beba-ab3c712edb3b.jpg?1562536230,Instant,Alex Horley-Orlandelli
Decree of Silence,8,2003,7.6,#341aff,https://cards.scryfall.io/normal/front/f/2/f2fc46e2-5e19-4999-a4cd-1e84697066c1.jpg?1562536891,Enchantment,Adam Rex
Dimensional Breach,7,2003,0.28,#ffffff,https://cards.scryfall.io/normal/front/f/1/f18f2832-07c5-47be-8966-b250fb997f78.jpg?1562536853,Sorcery,Dave Dorman
Dragon Mage,7,2003,1.74,#ff1a1a,https://cards.scryfall.io/normal/front/7/6/7687a201-0ecc-4739-86e3-3b4090d345a8.jpg?1562530729,Creature — Dragon Wizard,Matthew D. Wilson
Dragonstorm,9,2003,3.37,#ff1a1a,https://cards.scryfall.io/normal/front/4/b/4b9aa594-39e6-4824-aed9-75d1a301ac51.jpg?1562528558,Sorcery,Kev Walker
