name,cmc,release_year,price,color,image,type_line,artist
Annex Sentry,3,2023,0.33,#ffffff,https://cards.scryfall.io/normal/front/2/9/29261589-ce89-435d-9497-bb8f8b911c7f.jpg?1783917750,Artifact Creature — Phyrexian Cleric,Sam Guay
Bitter Triumph,2,2025,1.26,#000000,https://cards.scryfall.io/normal/front/1/2/12d77fbd-c172-41f1-9122-ea7858ab37b9.jpg?1783906069,Instant,Aaron J. Riley
Blazing Rootwalla,1,2024,0.35,#ff1a1a,https://cards.scryfall.io/normal/front/4/f/4fb3e1d1-ab89-4bdc-8a34-fc45fa477419.jpg?1783911696,Creature — Lizard,Brian Valeza
Cauldron Familiar,1,2023,3.76,#000000,https://cards.scryfall.io/normal/front/5/d/5de73629-b44b-4f9c-8d7f-d9cf342ef95b.jpg?1783913469,Creature — Cat,Edgar Sánchez Hidalgo
Charming Scoundrel,2,2025,0.6,#ff1a1a,https://cards.scryfall.io/normal/front/9/2/922e7133-855e-4a8f-9b5a-70e387693bee.jpg?1783907439,Creature — Human Rogue,Fariba Khamseh
Chromatic Sphere,1,2024,0.61,#8c8d8b,https://cards.scryfall.io/normal/front/4/0/405ebb86-b1d8-45f3-ab64-65b8fe70f23f.jpg?1783909203,Artifact,Lorenzo Lanfranconi
Death's Shadow,1,2025,7.18,#000000,https://cards.scryfall.io/normal/front/7/c/7c6fa517-5570-470a-88ca-d7afcb5fb475.jpg?1783906119,Creature — Avatar,Nottsuo
Deep-Cavern Bat,2,2025,1.07,#000000,https://cards.scryfall.io/normal/front/2/f/2feace11-77aa-4cde-a7ae-8310f2192b0d.jpg?1783907485,Creature — Bat,Maxime Minard
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,3,2025,42.78,#ff1a1a,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Saga // Enchantment Creature — Goblin Shaman,Warren Mahy
Flame Slash,1,2022,0.47,#ff1a1a,https://cards.scryfall.io/normal/front/b/c/bcfe4a26-3ea8-404e-92bd-b453eee6c862.jpg?1783921650,Sorcery,Antonio José Manzanedo
Gifted Aetherborn,2,2023,0.49,#000000,https://cards.scryfall.io/normal/front/b/a/ba312f2e-c9c2-4c61-bcbd-d46f913ae329.jpg?1783915227,Creature — Aetherborn Vampire,Lie Setiawan
Gilded Goose,1,2022,3.19,#087500,https://cards.scryfall.io/normal/front/2/2/226b1cc4-44be-4d8d-963a-93c84b09c7f0.jpg?1783921648,Creature — Bird,Chris Seaman
Gleeful Demolition,1,2025,0.3,#ff1a1a,https://cards.scryfall.io/normal/front/9/f/9f30a6a5-e8b3-403a-bfe1-1f78d45e392e.jpg?1783907439,Sorcery,Vincent Proce
Goblin Bombardment,2,2026,2.34,#ff1a1a,https://cards.scryfall.io/normal/front/1/8/18a9fb7b-780c-46c7-9a5f-f9abb3c353df.jpg?1783904248,Enchantment,Jeff Laubenstein
Goddric- Cloaked Reveler,3,2025,5.69,#ff1a1a,https://cards.scryfall.io/normal/front/0/2/02f38271-114f-4c00-a959-7dbccca76eb9.jpg?1783907440,Legendary Creature — Human Noble,Irvin Rodriguez
Monastery Swiftspear,1,2024,0.57,#ff1a1a,https://cards.scryfall.io/normal/front/5/5/55d704c0-98e8-40fe-920d-e60c13cf4d6a.jpg?1783909718,Creature — Human Monk,Francisco Miyara
Mortify,3,2024,0.39,#d78f42,https://cards.scryfall.io/normal/front/1/3/139a4fc0-43d1-42df-b449-9c888d282fd2.jpg?1783912754,Instant,Andreia Ugrai
Ocelot Pride,1,2026,180.35,#ffffff,https://cards.scryfall.io/normal/front/e/f/efbc5ec8-91ac-4a59-8f4d-577dc2d350c1.jpg?1783904249,Creature — Cat,Rhonda Libbey
Preacher of the Schism,3,2025,2.7,#000000,https://cards.scryfall.io/normal/front/a/e/ae85a6fd-0376-4416-b189-ced1599944ff.jpg?1783907483,Creature — Vampire Cleric,Zara Alfonso
Preordain,1,2025,2.78,#341aff,https://cards.scryfall.io/normal/front/a/5/a5f6ef75-cf68-40ed-bfcb-cb6ba19efe7d.jpg?1783906097,Sorcery,Takayama Toshiaki
Reality Smasher,5,2024,1.36,#8c8d8b,https://cards.scryfall.io/normal/front/5/8/588ec888-4f3c-4baa-855e-f93f6e727d59.jpg?1783909204,Creature — Eldrazi,Michal Ivan
Slickshot Show-Off,2,2025,6.29,#ff1a1a,https://cards.scryfall.io/normal/front/5/a/5a668a8d-4426-49d5-855d-b422323d8180.jpg?1783906067,Creature — Bird Wizard,Wayne Reynolds
Spell Pierce,1,2022,1.49,#341aff,https://cards.scryfall.io/normal/front/f/c/fc802c6b-5269-4f02-8b61-342931fea828.jpg?1783921648,Instant,Andrew Mar
Strangle,1,2023,0.34,#ff1a1a,https://cards.scryfall.io/normal/front/b/6/b63ca355-d66d-4259-8d6e-34ec2ba71e6e.jpg?1783916411,Sorcery,Sidharth Chaturvedi
Tail Swipe,1,2023,0.48,#087500,https://cards.scryfall.io/normal/front/e/1/e1db87c8-9376-42ce-b377-b1dd26c68097.jpg?1783914765,Instant,Edgar Sánchez Hidalgo
Unearth,1,2026,0.53,#000000,https://cards.scryfall.io/normal/front/c/4/c431aeda-3f4d-43c2-9471-da3ff642cc7e.jpg?1783903476,Sorcery,Ron Spencer
Void Winnower,9,2024,85.89,#8c8d8b,https://cards.scryfall.io/normal/front/1/0/10f58d3b-d68b-4b23-b564-a181c2f22fa7.jpg?1783909205,Creature — Eldrazi,Joshua Raphael
