name,cmc,release_year,price,color,image
Ashenmoor Liege,4,2008,4.23,#d78f42,None
Augury Adept,3,2008,0.43,#d78f42,None
Boartusk Liege,4,2008,5.92,#d78f42,None
Boon Reflection,5,2008,4.07,#ffffff,None
Cauldron of Souls,5,2008,4.68,#8c8d8b,None
Cemetery Puca,3,2008,3.28,#d78f42,None
Counterbore,5,2008,0.19,#341aff,None
Cragganwick Cremator,4,2008,0.22,#ff1a1a,None
Deep-Slumber Titan,4,2008,0.18,#ff1a1a,None
Demigod of Revenge,5,2008,2.44,#d78f42,None
Deus of Calamity,5,2008,1.09,#d78f42,None
Din of the Fireherd,8,2008,0.43,#d78f42,None
Dire Undercurrents,5,2008,11.79,#d78f42,None
Dramatic Entrance,5,2008,1.57,#087500,None
Dusk Urchins,3,2008,3.32,#000000,None
Elemental Mastery,4,2008,1.8,#ff1a1a,None
Enchanted Evening,5,2008,3.2,#d78f42,None
Everlasting Torment,3,2008,3.44,#d78f42,None
Fire-Lit Thicket,0,2008,10.09,#d78f42,None
Fracturing Gust,5,2008,5.29,#d78f42,None
Fulminator Mage,3,2008,3.31,#d78f42,None
Furystoke Giant,5,2008,3.64,#ff1a1a,None
Ghastlord of Fugue,5,2008,5.91,#d78f42,None
Glen Elendra Liege,4,2008,5.05,#d78f42,None
Godhead of Awe,5,2008,4.86,#d78f42,None
Graven Cairns,0,2008,9.78,#d78f42,None
Greater Auramancy,2,2008,53.28,#ffffff,None
Grim Poppet,7,2008,1.89,#8c8d8b,None
Heartmender,4,2008,0.77,#d78f42,None
Hollowborn Barghest,7,2008,0.38,#000000,None
Impromptu Raid,4,2008,0.4,#d78f42,None
Isleback Spawn,7,2008,0.55,#341aff,None
Knacksaw Clique,4,2008,3.1,#341aff,None
Knollspine Dragon,7,2008,3.49,#ff1a1a,None
Knollspine Invocation,3,2008,0.23,#ff1a1a,None
Mana Reflection,6,2008,14.21,#087500,None
Mass Calcify,7,2008,1.18,#ffffff,None
Memory Plunder,4,2008,4.45,#d78f42,None
Midnight Banshee,6,2008,2.26,#000000,None
Mirrorweave,4,2008,2.3,#d78f42,None
Mossbridge Troll,7,2008,2.75,#087500,None
Mystic Gate,0,2008,30.57,#d78f42,None
Oona- Queen of the Fae,6,2008,2.37,#d78f42,None
Oracle of Nectars,3,2008,1.23,#d78f42,None
Order of Whiteclay,3,2008,2.38,#ffffff,None
Oversoul of Dusk,5,2008,1.76,#d78f42,None
Painter's Servant,2,2008,78.87,#8c8d8b,None
Plague of Vermin,7,2008,9.26,#000000,None
Polluted Bonds,5,2008,24.69,#000000,None
Prismatic Omen,2,2008,20.36,#087500,None
Puca's Mischief,4,2008,3.74,#341aff,None
Puppeteer Clique,5,2008,2.37,#000000,None
Rage Reflection,6,2008,0.92,#ff1a1a,None
Reaper King,10,2008,5.17,#d78f42,None
Reflecting Pool,0,2008,20.67,#8c8d8b,None
Rhys the Redeemed,1,2008,5.76,#d78f42,None
River Kelpie,5,2008,0.46,#341aff,None
Rosheen Meanderer,4,2008,0.42,#d78f42,None
Runed Halo,2,2008,0.85,#ffffff,None
Savor the Moment,3,2008,7.3,#341aff,None
Spawnwrithe,3,2008,0.43,#087500,None
Spiteful Visions,4,2008,3.1,#d78f42,None
Sunken Ruins,0,2008,21.08,#d78f42,None
Swans of Bryn Argoll,4,2008,1.2,#d78f42,None
Sygg- River Cutthroat,2,2008,2.91,#d78f42,None
Thistledown Liege,4,2008,1.65,#d78f42,None
Thought Reflection,7,2008,1.36,#341aff,None
Twilight Shepherd,6,2008,0.72,#ffffff,None
Tyrannize,5,2008,0.39,#d78f42,None
Valleymaker,6,2008,0.21,#d78f42,None
Vexing Shusher,2,2008,6.35,#d78f42,None
Wheel of Sun and Moon,2,2008,5.98,#d78f42,None
Wilt-Leaf Liege,4,2008,2.06,#d78f42,None
Windbrisk Raptor,7,2008,3.07,#ffffff,None
Witherscale Wurm,6,2008,0.35,#087500,None
Wooded Bastion,0,2008,9.8,#d78f42,None
Woodfall Primus,8,2008,3.3,#087500,None
Worldpurge,8,2008,0.8,#d78f42,None
Wort- the Raidmother,6,2008,0.78,#d78f42,None
Wound Reflection,6,2008,10.12,#000000,None
