name,cmc,release_year,price,color,image,type_line,artist
Arclight Phoenix,4,2022,7.06,#ff1a1a,https://cards.scryfall.io/normal/front/2/7/2793c505-6736-4259-b9c6-6f9369fd476f.jpg?1682696464,Creature — Phoenix,Dani Pendergast
Birthing Pod,4,2022,8.6,#087500,https://cards.scryfall.io/normal/front/3/6/36df0c13-b7cb-44d6-85e1-17f2967a0f55.jpg?1682696445,Artifact,Wooden Cyclops
Bloodbraid Elf,4,2022,0.79,#d78f42,https://cards.scryfall.io/normal/front/3/5/35964154-94b0-4f3f-ae8f-b7f9e31118c8.jpg?1682696435,Creature — Elf Berserker,Ejiwa "Edge" Ebenebe
Bogardan Hellkite,8,2022,0.64,#ff1a1a,https://cards.scryfall.io/normal/front/d/b/dbcdc29b-f84e-4ad4-a123-de578847a085.jpg?1682696398,Creature — Dragon,GodMachine
Chrome Mox,0,2022,75.99,#8c8d8b,https://cards.scryfall.io/normal/front/e/0/e0d88029-2569-461b-a57d-1af10673f4cf.jpg?1674178297,Artifact,Dan Frazier
Deathrite Shaman,1,2022,7.51,#d78f42,https://cards.scryfall.io/normal/front/9/7/9793f0a1-ab76-46e2-add2-200c2a9693b4.jpg?1682696449,Creature — Elf Shaman,Mark Riddick
Dragonlord Ojutai,5,2022,2.23,#d78f42,https://cards.scryfall.io/normal/front/0/1/019728bc-7d37-4384-81e5-97c47660c092.jpg?1682696456,Legendary Creature — Elder Dragon,Yuko Shimizu
Elite Spellbinder,3,2022,0.66,#ffffff,https://cards.scryfall.io/normal/front/6/3/63fb443a-4023-4353-8060-c0db6b2c596b.jpg?1682696475,Creature — Human Cleric,Alexis Ziritt
Elspeth- Sun's Champion,6,2022,10.72,#ffffff,https://cards.scryfall.io/normal/front/9/1/9125f141-ee2c-4b9f-b9c1-9b9a779002d2.jpg?1674178368,Legendary Planeswalker — Elspeth,Rebecca Guay
Emry- Lurker of the Loch,3,2022,4.11,#341aff,https://cards.scryfall.io/normal/front/2/4/24e85f3d-a2f5-43ac-937a-ebb754de2f8a.jpg?1682696468,Legendary Creature — Merfolk Wizard,Brandi Milne
Genesis,5,2022,0.42,#087500,https://cards.scryfall.io/normal/front/f/9/f9052ad9-a8b3-4fa3-8cbe-223b306c8328.jpg?1682696387,Creature — Incarnation,Michael Hutter
Glimpse of Nature,1,2022,8.39,#087500,https://cards.scryfall.io/normal/front/2/3/23684d0f-c3c6-4b84-a5be-d6ca1085dae0.jpg?1682696390,Sorcery,JungShan
Heritage Druid,1,2022,3.61,#087500,https://cards.scryfall.io/normal/front/b/2/b2a6bfbc-24e9-4309-8490-0f0dbe74aae6.jpg?1682696405,Creature — Elf Druid,Rovina Cai
Lightning Helix,2,2022,0.63,#d78f42,https://cards.scryfall.io/normal/front/6/c/6c542d42-e475-49d5-aeeb-be04d6e23646.jpg?1682696394,Instant,Martin Ontiveros
Lim-Dûl's Vault,2,2022,3.81,#d78f42,https://cards.scryfall.io/normal/front/9/9/9911cc02-ef9a-458b-94d2-50af92ad6628.jpg?1682696347,Instant,Wizard of Barge
Lin Sivvi- Defiant Hero,3,2022,0.62,#ffffff,https://cards.scryfall.io/normal/front/4/d/4d8dd50e-576a-4e19-9ac2-a3d444a759f1.jpg?1682696361,Legendary Creature — Human Rebel,AlbaBG
Mishra's Factory,0,2022,1.4,#8c8d8b,https://cards.scryfall.io/normal/front/c/9/c9eb1309-5e60-4b8f-b63c-ebe62030db5c.jpg?1682696339,Land,DXTR
Nashi- Moon Sage's Scion,3,2022,2.67,#000000,https://cards.scryfall.io/normal/front/a/e/aedf907b-7d8e-4c6d-b3da-2aae1b327ee1.jpg?1682696478,Legendary Creature — Rat Ninja,Death Burger
Necropotence,3,2022,26.79,#000000,https://cards.scryfall.io/normal/front/7/d/7dae100a-ea1d-45f3-b47c-b278cda462ad.jpg?1682696343,Enchantment,Rafal Wechterowicz
Nicol Bolas- God-Pharaoh,7,2022,4.08,#d78f42,https://cards.scryfall.io/normal/front/f/a/fa553e54-e6aa-499b-ac48-0cdbf6c37734.jpg?1674178398,Legendary Planeswalker — Bolas,Uta Natsume
Ponder,1,2022,7.69,#341aff,https://cards.scryfall.io/normal/front/b/f/bf4e917c-e5ab-435f-99ba-efc77862add4.jpg?1682696402,Sorcery,Lauren YS
Shark Typhoon,6,2022,21.27,#341aff,https://cards.scryfall.io/normal/front/8/9/89df04da-741b-4f98-8c49-f7f0bc13df31.jpg?1682696471,Enchantment,Edgar Sánchez Hidalgo
Shivan Dragon,6,2022,1.13,#ff1a1a,https://cards.scryfall.io/normal/front/c/5/c535f7f8-a57e-4ef1-91b4-5e3281bd4407.jpg?1682696336,Creature — Dragon,Justine Jones
Siege Rhino,4,2022,0.9,#d78f42,https://cards.scryfall.io/normal/front/3/0/305fd0ae-c89c-4935-a072-a85928f497e3.jpg?1682696452,Creature — Rhino,CatDirty
Smokestack,4,2022,2.39,#8c8d8b,https://cards.scryfall.io/normal/front/4/e/4e5b6e96-c1b8-44b8-90ab-2989e7463427.jpg?1682696354,Artifact,Jaime A. Zuverza
Squee- Goblin Nabob,3,2022,0.57,#ff1a1a,https://cards.scryfall.io/normal/front/6/d/6d6c51ea-21fd-46c2-9bdd-5f7b4438a1c3.jpg?1682696357,Legendary Creature — Goblin,Nana Qi
Sun Titan,6,2022,4.77,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf7a1b53-09ed-4206-8de5-ead09883af2f.jpg?1682696440,Creature — Giant,Justin Hernandez & Alexis Hernandez
Thalia- Heretic Cathar,3,2022,7.13,#ffffff,https://cards.scryfall.io/normal/front/6/1/6150ba46-ab04-4906-8497-8c7441c52442.jpg?1682696460,Legendary Creature — Human Soldier,Rosemary Valero-O'Connell
Tradewind Rider,4,2022,0.42,#341aff,https://cards.scryfall.io/normal/front/5/6/56b80bce-1ff6-40e7-bfdd-af1ffc1918c6.jpg?1682696350,Creature — Spirit,BrooklynSnobs
Wild Mongrel,2,2022,0.46,#087500,https://cards.scryfall.io/normal/front/8/4/8476adaa-fd09-41c3-beda-0e2d654cb204.jpg?1682696383,Creature — Dog,Crocodile Jackson
