name,cmc,release_year,price,color,image,type_line,artist
Abby- Merciless Soldier,3,2025,2.74,#d78f42,https://cards.scryfall.io/normal/front/2/8/28e11b59-c677-4235-a377-18921c5131f0.jpg?1761372698,Legendary Creature — Human Survivor,Wayne Wu
Abrade,2,2025,5.58,#ff1a1a,https://cards.scryfall.io/normal/front/7/b/7b0d67b1-e7ae-4ec9-b135-8ff10b46e92b.jpg?1759412219,Instant,Stephen Andrade
Academy Manufactor,3,2025,11.77,#8c8d8b,https://cards.scryfall.io/normal/front/5/f/5f0d37b6-c092-439b-ba8e-e297ad35f155.jpg?1758777214,Artifact Creature — Assembly-Worker,Ben Millar
Academy Ruins,0,2023,18.4,#341aff,https://cards.scryfall.io/normal/front/2/b/2b6b2979-a887-4ad8-b123-4aea916de36a.jpg?1699917336,Legendary Land,Eliz Roxs
Acererak the Archlich,3,2024,5.45,#000000,https://cards.scryfall.io/normal/front/c/d/cdfd08aa-0e6b-42e1-aa4a-a2bd09581a70.jpg?1726868792,Legendary Creature — Zombie Wizard,Tyler Jacobson
Acidic Slime,5,2020,5.79,#087500,https://cards.scryfall.io/normal/front/1/e/1e6bd3fa-0d07-4519-b67f-67867ad13c89.jpg?1682696677,Creature — Ooze,Wizard of Barge
Adaptive Automaton,3,2022,6.45,#8c8d8b,https://cards.scryfall.io/normal/front/2/f/2f038672-d03c-4349-9261-1b76ae4594c6.jpg?1682689605,Artifact Creature — Construct,Jack Hughes
Admiral Beckett Brass,4,2024,11.37,#d78f42,https://cards.scryfall.io/normal/front/2/2/22d69040-2065-4975-88d3-60bd32731771.jpg?1719001951,Legendary Creature — Human Pirate,Fajareka Setiawan
Admonition Angel,6,2020,22.18,#ffffff,https://cards.scryfall.io/normal/front/4/8/4800ebc2-d5a7-4c26-a2f7-943a540ae47e.jpg?1682696684,Creature — Angel,Anato Finnstark
Aether Gust,2,2021,2.29,#341aff,https://cards.scryfall.io/normal/front/b/c/bcc1aa91-ec97-4fe8-b4b1-a213f050f956.jpg?1682712447,Instant,Mateus Manhanini
Aetherize,4,2024,15.89,#341aff,https://cards.scryfall.io/normal/front/7/9/7993b049-09d8-4c1a-9455-bb092249e0b6.jpg?1727568500,Instant,Peach Momoko
Aether Vial,1,2024,9.32,#8c8d8b,https://cards.scryfall.io/normal/front/f/6/f6151f39-966e-4af6-a20a-d761781abed9.jpg?1759032882,Artifact,Rovina Cai
Agent of Treachery,7,2025,7.48,#341aff,https://cards.scryfall.io/normal/front/0/6/06b4ed70-caf5-4f83-9a24-22c81b11932a.jpg?1746714747,Creature — Human Rogue,Jay Howell
Aggravated Assault,3,2025,19.24,#ff1a1a,https://cards.scryfall.io/normal/front/6/1/61310de0-9eee-4683-83bd-0c8434fde8d1.jpg?1748261866,Enchantment,Frank Frazetta
Aggressive Mining,4,2025,1.51,#ff1a1a,https://cards.scryfall.io/normal/front/5/d/5d5835dd-f789-481e-b9dd-a0910af61326.jpg?1754063911,Enchantment,Ian Permana
Aisha of Sparks and Smoke,3,2022,4.7,#d78f42,https://cards.scryfall.io/normal/front/6/8/684f54a1-caf1-499e-aa71-e081a4dd916d.jpg?1757465283,Legendary Creature — Human Warrior,Yongjae Choi
Ajani- Mentor of Heroes,5,2022,5.79,#d78f42,https://cards.scryfall.io/normal/front/e/b/ebbfc1b2-2407-4079-a847-6bb6b9a2c9de.jpg?1645127733,Legendary Planeswalker — Ajani,Uta Natsume
Akroma- Angel of Fury,8,2023,2.29,#ff1a1a,https://cards.scryfall.io/normal/front/6/3/635ca686-c04e-47df-b1b5-687bb7c69d4c.jpg?1682345242,Legendary Creature — Angel,Randy Vargas
Akroma- Angel of Wrath,8,2022,11.4,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf75f895-3481-4c21-a85f-c819613bccc3.jpg?1655154593,Legendary Creature — Angel,Livia Prima
Alchemist's Refuge,0,2021,10.4,#d78f42,https://cards.scryfall.io/normal/front/4/a/4a6cf714-29b9-4c06-9412-d958a5ffbd66.jpg?1682712476,Land,DZO
Alela- Artful Provocateur,4,2024,8.2,#d78f42,https://cards.scryfall.io/normal/front/b/4/b40f7528-5162-4454-afa8-9ecb912d7ec7.jpg?1739113400,Legendary Creature — Faerie Warlock,Phoebe Wahl
Alesha- Who Smiles at Death,3,2022,2.52,#d78f42,https://cards.scryfall.io/normal/front/5/e/5e38facb-f520-4950-aa73-bebd2011565c.jpg?1682689692,Legendary Creature — Human Warrior,Winona Nelson
All Is Dust,7,2021,16.45,#8c8d8b,https://cards.scryfall.io/normal/front/2/b/2bc7280c-8136-4ac3-b2d6-6679e13b0470.jpg?1755274229,Kindred Sorcery — Eldrazi,Dominik Mayer
Alms Collector,4,2023,13.92,#ffffff,https://cards.scryfall.io/normal/front/d/a/da88239e-1155-4657-9685-ab3f323672ea.jpg?1682712479,Creature — Cat Cleric,Paul Mafayon
Aloy- Savior of Meridian,5,2025,7.98,#d78f42,https://cards.scryfall.io/normal/front/9/0/90dee895-037c-45f9-ac4f-b2277da85459.jpg?1760953970,Legendary Creature — Human Warrior,Crystal Fae
Aminatou- the Fateshifter,3,2023,7.07,#d78f42,https://cards.scryfall.io/normal/front/4/f/4fe22cd8-31e6-491b-bce2-db257668eb92.jpg?1699171154,Legendary Planeswalker — Aminatou,Uta Natsume
Amy Rose,4,2025,1.62,#d78f42,https://cards.scryfall.io/normal/front/6/a/6ac0c02f-6428-4ed0-bd1a-bf9f4af9c3c1.jpg?1752535687,Legendary Creature — Hedgehog Warrior,Evan Stanley
Ancient Amphitheater,0,2025,1.6,#d78f42,https://cards.scryfall.io/normal/front/1/5/15106aa1-45d6-486b-9ce0-d999161fbd6e.jpg?1738928061,Land,Hari & Deepti
Ancient Den,0,2021,11.73,#ffffff,https://cards.scryfall.io/normal/front/d/1/d1f4c301-6015-456a-8989-e0055402809e.jpg?1682712482,Artifact Land,DXTR
Ancient Greenwarden,6,2025,13.67,#087500,https://cards.scryfall.io/normal/front/7/1/7109092e-52c3-417b-a2c0-340eabb5af9d.jpg?1748956786,Creature — Elemental,Ernanda Souza
Ancient Grudge,2,2020,11.75,#d78f42,https://cards.scryfall.io/normal/front/7/d/7d8adb0c-a322-4447-bf2e-7a74e3b735c4.jpg?1605905314,Instant,AlbaBG
Angel of Despair,7,2025,2.47,#d78f42,https://cards.scryfall.io/normal/front/5/3/5366d209-e609-4f1e-a86b-9f585abe1fa9.jpg?1745931874,Creature — Angel,Abigail Larson
Angel of Serenity,7,2023,10.26,#ffffff,https://cards.scryfall.io/normal/front/b/d/bd17c9df-7d78-4228-a4ca-2f39b69f2ace.jpg?1695482398,Creature — Angel,Nephelomancer
Angel of the Ruins,7,2023,4.59,#ffffff,https://cards.scryfall.io/normal/front/2/e/2e33e540-538c-4c39-9f52-df26bdcac3fc.jpg?1739113529,Artifact Creature — Angel,Fang Xinyu
Anger,4,2024,6.83,#ff1a1a,https://cards.scryfall.io/normal/front/1/4/142c8447-40bf-4ec0-8a93-0810ade9ec88.jpg?1712700645,Creature — Incarnation,Desmuncubic
Anger of the Gods,3,2023,2.48,#ff1a1a,https://cards.scryfall.io/normal/front/1/b/1b1665ec-7617-4754-b604-656411f7476a.jpg?1759411272,Sorcery,Eliz Roxs
Angrath- the Flame-Chained,5,2022,3.35,#d78f42,https://cards.scryfall.io/normal/front/b/a/ba48c787-a444-4e15-bab7-39994a6e23e7.jpg?1645127974,Legendary Planeswalker — Angrath,Uta Natsume
Anguished Unmaking,3,2025,5.27,#d78f42,https://cards.scryfall.io/normal/front/3/8/387ccdf8-b3f4-4b38-af53-b979886b8ff1.jpg?1761664205,Instant,Yosuke Adachi
Animate Dead,2,2025,25.59,#000000,https://cards.scryfall.io/normal/front/a/4/a466aec7-4cda-4a2f-ba8a-eeb3665fbcfc.jpg?1765840177,Enchantment — Aura,Iron Maiden
Anowon- the Ruin Thief,4,2024,3.03,#d78f42,https://cards.scryfall.io/normal/front/2/8/28b41026-4988-44f0-9281-93b3d4905be9.jpg?1707254500,Legendary Creature — Vampire Rogue,David Robert Hovey
