name,cmc,release_year,price,color,image,type_line,artist
Ambitious Augmenter,1,2026,0.28,#087500,https://cards.scryfall.io/normal/front/8/5/85629088-2007-4db5-9397-bac12a3d7498.jpg?1783903661,Creature — Turtle Wizard,Mariah Tekulve
Antiquities on the Loose,3,2026,0.24,#ffffff,https://cards.scryfall.io/normal/front/6/8/68ee92cd-51af-4de5-bcc8-34d0bb2fd398.jpg?1783903707,Sorcery,Andreas Zafiratos
Applied Geometry,4,2026,0.26,#d78f42,https://cards.scryfall.io/normal/front/f/1/f109f2eb-895b-44a6-b6b5-81bf3831ccd5.jpg?1783903650,Sorcery,Justyna Dura
Ark of Hunger,4,2026,0.38,#d78f42,https://cards.scryfall.io/normal/front/7/9/79d01c19-162b-4a12-9e27-18366d95eaa0.jpg?1783903651,Artifact,Ksenia Kim
Aziza- Mage Tower Captain,2,2026,0.23,#d78f42,https://cards.scryfall.io/normal/front/6/2/6261e89a-dbf1-481a-823e-6bb00be57195.jpg?1783903650,Legendary Creature — Djinn Sorcerer,Aurore Folny
Berta- Wise Extrapolator,4,2026,0.33,#d78f42,https://cards.scryfall.io/normal/front/7/5/75f89c36-c81d-4580-9a5c-218fed0c5c9a.jpg?1783903650,Legendary Creature — Frog Druid,Tuan Duong Chu
Blech- Loafing Pest,3,2026,0.32,#d78f42,https://cards.scryfall.io/normal/front/f/5/f588fa50-7cc5-41ba-90df-2d252eb5c785.jpg?1783903648,Legendary Creature — Pest,Ilse Gort
Cauldron of Essence,3,2026,2.61,#d78f42,https://cards.scryfall.io/normal/front/b/7/b7091740-e70c-4cf2-8d3d-b8e1ac1fbbdd.jpg?1783903647,Artifact,Craig J Spearing
Choreographed Sparks,2,2026,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/0/c/0cda4235-4dce-48fe-a8a5-2a952dedbe25.jpg?1783903673,Instant,Paolo Parente
Colorstorm Stallion,3,2026,0.36,#d78f42,https://cards.scryfall.io/normal/front/f/5/f5b54d46-2caf-4d1b-8be1-dbd9e9dce058.jpg?1783903647,Creature — Elemental Horse,Lorenzo Lanfranconi
Comforting Counsel,2,2026,0.33,#087500,https://cards.scryfall.io/normal/front/5/2/5223a04f-6b47-4379-80ce-8489c4a91734.jpg?1783903660,Enchantment,Chris Rahn
Conciliator's Duelist,4,2026,0.25,#d78f42,https://cards.scryfall.io/normal/front/e/2/e225929b-6197-4550-969e-3c4a97206a68.jpg?1783903647,Creature — Kor Warlock,Andrew Mar
Deathcap Glade,0,2026,1.94,#d78f42,https://cards.scryfall.io/normal/front/7/8/78897104-80e1-4d8a-9958-145b40f679e8.jpg?1783903621,Land,Piotr Dura
Decorum Dissertation,5,2026,6.73,#000000,https://cards.scryfall.io/normal/front/f/4/f4ab2d9b-c73d-478d-aac7-4d3bb24296d2.jpg?1783903683,Sorcery — Lesson,Mila Pesic
Dina's Guidance,3,2026,0.96,#d78f42,https://cards.scryfall.io/normal/front/7/7/775c1e50-08a4-413f-ab0f-f1c2a79cfe94.jpg?1783903646,Instant,Manuel Castañón
Dreamroot Cascade,0,2026,1.11,#d78f42,https://cards.scryfall.io/normal/front/e/f/ef662b92-5a7f-48c9-bcc1-14b55e091aef.jpg?1783903621,Land,Marco Gorlei
