name,cmc,release_year,price,color,image,type_line,artist
Amazing Alliance,3,2025,3.66,#ffffff,https://cards.scryfall.io/normal/front/d/d/ddc2386e-18a4-49f0-9c08-da870dc6f96e.jpg?1783905375,Enchantment,Filipe Pagliuso
Doc Ock- Evil Inventor,7,2025,0.7,#d78f42,https://cards.scryfall.io/normal/front/a/d/ad287357-9602-4090-8feb-6f658f2a47b0.jpg?1783905368,Legendary Creature — Human Scientist Villain,Dan Dos Santos
Double Trouble,5,2025,2.02,#ff1a1a,https://cards.scryfall.io/normal/front/f/9/f9a73605-3a17-4887-8395-5bb8d10714bd.jpg?1783905371,Instant,Nathaniel Himawan
Future Flight,4,2025,0.79,#341aff,https://cards.scryfall.io/normal/front/6/2/62a8b9a4-86cd-4fb3-bda6-a044a79cc6fd.jpg?1783905373,Enchantment — Aura,Lie Setiawan
Ghost-Spider- Gwen Stacy,5,2025,10.95,#ff1a1a,https://cards.scryfall.io/normal/front/f/a/fa0ccd32-63c8-47a2-8de1-5845dad8e682.jpg?1783905370,Legendary Creature — Spider Human Hero,Xabi Gaztelua
Grasping Tentacles,3,2025,0.79,#d78f42,https://cards.scryfall.io/normal/front/8/3/83e8c09e-c195-4137-a6c1-45abdcaed10e.jpg?1783905369,Sorcery,Dan Dos Santos
Green Goblin- Nemesis,4,2025,14.49,#d78f42,https://cards.scryfall.io/normal/front/b/2/b2860277-5b9e-444a-81f9-58e23355a722.jpg?1783905367,Legendary Creature — Goblin Human Villain,Dan Dos Santos
Lethal Protection,4,2025,1.48,#000000,https://cards.scryfall.io/normal/front/d/9/d98f0e44-f5c7-4e08-8a4a-d0280f22d132.jpg?1783905372,Sorcery,Néstor Ossandón Leal
Pumpkin Bombs,2,2025,1.9,#ff1a1a,https://cards.scryfall.io/normal/front/6/e/6e9a83b6-2881-4ba3-96d4-0fd89110837d.jpg?1783905367,Artifact,Dan Dos Santos
Sensational Spider-Man,3,2025,3.61,#d78f42,https://cards.scryfall.io/normal/front/7/a/7a938fa9-cba2-4773-9be9-db1e37aa001f.jpg?1783905366,Legendary Creature — Spider Human Hero,Dan Dos Santos
Spider-Man 2099- Miguel O'Hara,5,2025,8.17,#341aff,https://cards.scryfall.io/normal/front/e/c/eca05fe2-f203-4e7c-ae90-41f1f2ae94cb.jpg?1783905373,Legendary Creature — Spider Human Hero,Thanh Tuấn
Spider-Man- Miles Morales,6,2025,7.46,#087500,https://cards.scryfall.io/normal/front/6/1/61c17573-437e-4ffb-811f-8390d388d5a7.jpg?1783905368,Legendary Creature — Spider Human Hero,InHyuk Lee
Spider-Man- Peter Parker,5,2025,10.69,#ffffff,https://cards.scryfall.io/normal/front/4/1/415bf221-215b-4c9f-b995-8d31ca95adc0.jpg?1783905373,Legendary Creature — Spider Human Hero,Paolo Rivera
Venom Blast,4,2025,0.6,#087500,https://cards.scryfall.io/normal/front/4/e/4e88f2d0-d014-49cf-bb3c-fadbfc12765d.jpg?1783905367,Sorcery,Toni Infante
Venom- Deadly Devourer,4,2025,1.96,#d78f42,https://cards.scryfall.io/normal/front/7/d/7d2cb243-08a7-47c9-9d71-7748c499ac30.jpg?1783905368,Legendary Creature — Symbiote Villain,Dan Dos Santos
Venom- Eddie Brock,6,2025,12.68,#000000,https://cards.scryfall.io/normal/front/e/a/eab647ce-fe86-450d-b5e8-ebcda631f6a1.jpg?1783905371,Legendary Creature — Symbiote Villain,Simon Dominic
