name,cmc,release_year,price,color,image,type_line,artist
Academic Probation,2,2021,0.07,#ffffff,https://cards.scryfall.io/normal/front/0/5/05521edf-f47f-4e7a-aec5-cdc4ae7368c2.jpg?1637082074,Sorcery — Lesson,Cristi Balanescu
Accomplished Alchemist,4,2021,0.29,#087500,https://cards.scryfall.io/normal/front/0/d/0d7b7830-b65e-4c53-98e8-152026764e4b.jpg?1629218987,Creature — Elf Druid,Randy Vargas
Archmage Emeritus,4,2021,2.11,#341aff,https://cards.scryfall.io/normal/front/7/6/761df6cd-0928-4167-8902-58fdb50181a0.jpg?1624589970,Creature — Human Wizard,Caio Monteiro
Augmenter Pugilist // Echoing Equation,3,2021,0.17,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Troll Druid // Sorcery,Volkan Baǵa
Baleful Mastery,4,2021,0.46,#000000,https://cards.scryfall.io/normal/front/3/5/35f1a6ba-e46f-44fb-93f4-fb883d677b36.jpg?1624590749,Instant,Chris Cold
Basic Conjuration,3,2021,0.08,#087500,https://cards.scryfall.io/normal/front/8/b/8be52d88-f430-4437-a0d3-590c2947c838.jpg?1637082092,Sorcery — Lesson,Randy Vargas
Beledros Witherbloom,7,2021,11.64,#d78f42,https://cards.scryfall.io/normal/front/9/3/93f786a2-a7b7-4f9e-92e8-9a6a11efe290.jpg?1627428096,Legendary Creature — Elder Dragon,Raymond Swanland
Blade Historian,4,2021,2.29,#d78f42,https://cards.scryfall.io/normal/front/a/4/a46d64ec-aca4-428e-bce6-66cd755c8cc3.jpg?1627428161,Creature — Human Cleric,Cristi Balanescu
Blex- Vexing Pest // Search for Blex,3,2021,1.8,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Pest // Sorcery,Ekaterina Burmak
Blot Out the Sky,2,2021,0.65,#d78f42,https://cards.scryfall.io/normal/front/0/1/0141312f-4b68-4c56-b1dc-5b7e6afbb96c.jpg?1627428247,Sorcery,Olena Richards
Body of Research,6,2021,0.38,#d78f42,https://cards.scryfall.io/normal/front/9/8/98b56823-0076-49cc-b5aa-4accb8e2782e.jpg?1627428272,Sorcery,Antonio José Manzanedo
Callous Bloodmage,3,2021,0.21,#000000,https://cards.scryfall.io/normal/front/8/1/81358736-65cf-44d8-819e-d0268d14cc76.jpg?1624590806,Creature — Vampire Warlock,Jokubas Uogintas
Codie- Vociferous Codex,3,2021,0.16,#d78f42,https://cards.scryfall.io/normal/front/e/a/ea476ee1-67d9-4dd8-a5ac-f68a155eb18b.jpg?1624740590,Legendary Artifact Creature — Construct,Daniel Ljunggren
Confront the Past,1,2021,0.07,#000000,https://cards.scryfall.io/normal/front/e/1/e1951763-be97-400c-aa95-6b101f47bddf.jpg?1637082105,Sorcery — Lesson,Kieran Yanner
Conspiracy Theorist,2,2021,0.24,#ff1a1a,https://cards.scryfall.io/normal/front/7/4/742a7487-70a2-448b-8e66-c33cba798a32.jpg?1624591621,Creature — Human Shaman,Svetlin Velinov
Crackle with Power,2,2021,3.74,#ff1a1a,https://cards.scryfall.io/normal/front/d/e/de547f52-3798-4b3a-947d-24873251204b.jpg?1624591645,Sorcery,Micah Epstein
Culling Ritual,4,2021,1.1,#d78f42,https://cards.scryfall.io/normal/front/8/f/8f6f91d3-cc07-4a42-99a0-5fb83b29cc25.jpg?1627428386,Sorcery,Lorenzo Mastroianni
Culmination of Studies,2,2021,0.1,#d78f42,https://cards.scryfall.io/normal/front/2/4/2483060e-9d3f-48ae-80ea-0119bf6b4d67.jpg?1627428427,Sorcery,Bryan Sola
Daemogoth Titan,4,2021,0.4,#d78f42,https://cards.scryfall.io/normal/front/c/2/c2f18828-ade7-4b99-97b2-e34bc2fdb68c.jpg?1627428470,Creature — Demon,Chris Cold
Devastating Mastery,6,2021,0.08,#ffffff,https://cards.scryfall.io/normal/front/3/b/3b6be019-29b9-4c81-9899-aefeaf9cc977.jpg?1624589359,Sorcery,Jake Murray
Double Major,2,2021,1.88,#d78f42,https://cards.scryfall.io/normal/front/c/3/c3d35413-8742-4443-8859-93c91112978d.jpg?1627428638,Instant,Suzanne Helmigh
Draconic Intervention,4,2021,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/6/5/657de246-b9fc-47b1-b932-091e9500bb82.jpg?1624591671,Sorcery,Johan Grenier
Dragonsguard Elite,2,2021,0.1,#087500,https://cards.scryfall.io/normal/front/6/5/658ec634-3eb2-4967-b938-d20d31ab77e3.jpg?1624592623,Creature — Human Druid,David Rapoza
Dramatic Finale,4,2021,0.16,#d78f42,https://cards.scryfall.io/normal/front/a/8/a8ec9be6-c8ad-4a82-8253-c49cdb9443ba.jpg?1627428668,Enchantment,Steve Argyle
Dream Strix,3,2021,0.05,#341aff,https://cards.scryfall.io/normal/front/3/1/31d82f7a-64f1-463f-bb6b-936c3e49bf2b.jpg?1624590117,Creature — Bird Illusion,YW Tang
Ecological Appreciation,3,2021,0.27,#087500,https://cards.scryfall.io/normal/front/1/1/115f3d72-1aaf-4237-91b9-389256e5e5c8.jpg?1624592652,Sorcery,Lie Setiawan
Efreet Flamepainter,4,2021,0.14,#ff1a1a,https://cards.scryfall.io/normal/front/d/9/d9f0731c-2a3d-4613-bffa-8b967e4f142e.jpg?1624591720,Creature — Efreet Shaman,Marta Nael
Elemental Expressionist,4,2021,0.06,#d78f42,https://cards.scryfall.io/normal/front/7/4/7473db42-905b-4fda-af8c-fd24d906b642.jpg?1627428704,Creature — Orc Wizard,Zack Stella
Elite Spellbinder,3,2021,0.11,#ffffff,https://cards.scryfall.io/normal/front/9/d/9d3a7998-ccac-45ad-a4e9-3a2cb057f63b.jpg?1624589440,Creature — Human Cleric,Ryan Pancoast
Exponential Growth,2,2021,0.34,#087500,https://cards.scryfall.io/normal/front/7/c/7c129bb7-9489-44bd-a46d-c5f738bf9d25.jpg?1624592712,Sorcery,Izzy
Extus- Oriq Overlord // Awaken the Blood Avatar,4,2021,0.36,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Warlock // Sorcery,Chase Stone & Kekai Kotaki
Fervent Mastery,5,2021,0.09,#ff1a1a,https://cards.scryfall.io/normal/front/1/f/1f824caf-b32c-442a-8631-887831a57360.jpg?1624591811,Sorcery,Sean Sevestre
Flamescroll Celebrant // Revel in Silence,2,2021,0.09,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Human Shaman // Instant,Uriah Voth
Frostboil Snarl,0,2021,0.23,#d78f42,https://cards.scryfall.io/normal/front/c/2/c22ba565-da08-4957-93bb-8d266fe0b0d8.jpg?1664347368,Land,Sam Burley
Furycalm Snarl,0,2021,0.23,#d78f42,https://cards.scryfall.io/normal/front/5/3/53e33f37-7fd1-4431-a032-cd61b644401c.jpg?1664347380,Land,Sam Burley
Galazeth Prismari,4,2021,3.46,#d78f42,https://cards.scryfall.io/normal/front/0/6/06c9158c-064b-4d12-b860-d2c1450d1897.jpg?1627429083,Legendary Creature — Elder Dragon,Raymond Swanland
Gnarled Professor,4,2021,0.11,#087500,https://cards.scryfall.io/normal/front/a/3/a32338e8-1f6a-49b9-bd93-26578adab6b3.jpg?1624592799,Creature — Treefolk Druid,Simon Dominic
Hall of Oracles,0,2021,0.27,#8c8d8b,https://cards.scryfall.io/normal/front/7/6/7642dddd-4461-46dd-b396-9e0a89f7232e.jpg?1624740927,Land,Piotr Dura
Harness Infinity,7,2021,0.3,#d78f42,https://cards.scryfall.io/normal/front/f/7/f74120ce-9f11-449f-bb72-04fe2a27a9f6.jpg?1627429142,Instant,Seb McKinnon
Hofri Ghostforge,5,2021,1.23,#d78f42,https://cards.scryfall.io/normal/front/b/d/bd8deecf-eded-418b-ac4c-5c3e8f54e86d.jpg?1627429212,Legendary Creature — Dwarf Cleric,Daarken
Illuminate History,4,2021,0.07,#ff1a1a,https://cards.scryfall.io/normal/front/9/8/98739789-80b5-4224-a2e4-09e00654aa9d.jpg?1637082308,Sorcery — Lesson,Jokubas Uogintas
Ingenious Mastery,3,2021,0.11,#341aff,https://cards.scryfall.io/normal/front/2/3/2386d020-a9ae-4d54-b5e4-f2cb5a7298cc.jpg?1624590178,Sorcery,Cristi Balanescu
Jadzi- Oracle of Arcavios // Journey to the Oracle,8,2021,0.52,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Wizard // Sorcery,Chris Rahn
Kasmina- Enigma Sage,3,2021,0.66,#d78f42,https://cards.scryfall.io/normal/front/1/7/178bf300-38cf-4ab2-9e66-6fcaa112b649.jpg?1627429348,Legendary Planeswalker — Kasmina,Tyler Jacobson
Kianne- Dean of Substance // Imbraham- Dean of Theory,3,2021,0.07,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Elf Druid // Legendary Creature — Bird Wizard,Ryan Pancoast
Leonin Lightscribe,2,2021,0.27,#ffffff,https://cards.scryfall.io/normal/front/2/a/2a465d7b-398c-444b-9eae-331ea2513f6d.jpg?1624589525,Creature — Cat Cleric,Steven Belledin
Lorehold Command,5,2021,0.21,#d78f42,https://cards.scryfall.io/normal/front/e/4/e4f0885f-1049-4a19-853d-f4e6d4bec29e.jpg?1627429447,Instant,Jason Rainville
Magma Opus,8,2021,3.63,#d78f42,https://cards.scryfall.io/normal/front/2/7/27c914a3-2294-4feb-9450-c012cfd307a6.jpg?1627429585,Instant,Liiga Smilshkalne
Manifestation Sage,4,2021,0.06,#d78f42,https://cards.scryfall.io/normal/front/7/6/76fc5cd2-fbb0-4d13-9089-0292b356de48.jpg?1627429666,Creature — Human Wizard,Darren Tan
Mascot Exhibition,7,2021,0.34,#8c8d8b,https://cards.scryfall.io/normal/front/2/0/2047592c-739c-41dd-b3e8-31ae1c7688ab.jpg?1637082330,Sorcery — Lesson,Randy Vargas
