name,cmc,release_year,price,color,image,type_line,artist
Adaptive Training Post,3,2025,0.2,#341aff,https://cards.scryfall.io/normal/front/6/5/654a1564-0356-44ad-b1ab-8c1a556fc244.jpg?1743205747,Artifact,Ben Maier
Adarkar Wastes,0,2025,0.41,#d78f42,https://cards.scryfall.io/normal/front/1/f/1f056e21-63b3-4684-be5b-04ac220c4a52.jpg?1743207420,Land,Piotr Dura
Adeline- Resplendent Cathar,3,2025,2.16,#ffffff,https://cards.scryfall.io/normal/front/1/d/1de30c12-2011-495a-be25-f7a46b23e142.jpg?1743206101,Legendary Creature — Human Knight,Bryan Sola
Afterlife from the Loam,8,2025,2.75,#000000,https://cards.scryfall.io/normal/front/9/3/9361b548-a8d9-4e57-98cf-0c464742e1c9.jpg?1743205771,Sorcery,Johann Bodin
Ainok Strike Leader,2,2025,4.11,#ffffff,https://cards.scryfall.io/normal/front/c/a/cabd77a6-0913-4522-891d-c8a412a536c2.jpg?1743205722,Creature — Dog Warrior,Alexander Mokhov
Aligned Heart,3,2025,0.47,#ffffff,https://cards.scryfall.io/normal/front/a/2/a235cbda-3dc3-4aed-a911-90f26c330157.jpg?1743205722,Enchantment,Aurore Folny
Amphin Mutineer,4,2025,0.12,#341aff,https://cards.scryfall.io/normal/front/9/6/967b5ed9-7275-4564-8bf9-2748fea2f387.jpg?1743206269,Creature — Salamander Pirate,Nicholas Gregory
Ancestral Vision,0,2025,0.46,#341aff,https://cards.scryfall.io/normal/front/9/e/9ec075ba-db56-4dcf-b1dc-fe6270b7ab36.jpg?1743206272,Sorcery,John Avon
Angel of Invention,5,2025,0.19,#ffffff,https://cards.scryfall.io/normal/front/9/8/98c42f02-6eda-4ef7-929f-b3a2ece9f650.jpg?1743206104,Creature — Angel,Volkan Baǵa
Anguished Unmaking,3,2025,1.42,#d78f42,https://cards.scryfall.io/normal/front/c/7/c7ce164c-3437-440c-b462-acca491bfd91.jpg?1743207065,Instant,Wesley Burt
Arasta of the Endless Web,4,2025,0.18,#087500,https://cards.scryfall.io/normal/front/9/5/95a87b4e-f0ea-457c-9517-4acf313c4ca6.jpg?1743206852,Legendary Enchantment Creature — Spider,Sam Rowan
Arbor Adherent,4,2025,1.44,#087500,https://cards.scryfall.io/normal/front/5/7/57d0502f-5ae8-40b6-9f2b-cd4418016219.jpg?1743205840,Creature — Dog Druid,Christina Kraus
Archmage Emeritus,4,2025,1.62,#341aff,https://cards.scryfall.io/normal/front/6/2/62f20d75-cfe5-427b-92d3-35c7e77db0d5.jpg?1743206281,Creature — Human Wizard,Caio Monteiro
Assault Formation,2,2025,0.29,#087500,https://cards.scryfall.io/normal/front/4/0/40452217-9d8c-48e7-b5b4-2740b97bea2a.jpg?1743206864,Enchantment,Kieran Yanner
Atarka- World Render,7,2025,0.3,#d78f42,https://cards.scryfall.io/normal/front/c/5/c569fab1-6901-40ab-b958-001698819585.jpg?1743207078,Legendary Creature — Dragon,Karl Kopinski
