name,cmc,release_year,price,color,image,type_line,artist
All-Out Assault,5,2025,1.99,#d78f42,https://cards.scryfall.io/normal/front/b/7/b74876d8-f6a6-4b47-b960-b01a331bab01.jpg?1743204636,Enchantment,Joshua Cairos
Ambling Stormshell,5,2025,0.09,#341aff,https://cards.scryfall.io/normal/front/c/7/c74d4a57-0f66-4965-9ed7-f88a08aa1d15.jpg?1743204109,Creature — Turtle,Carlos Palma Cruchaga
Anafenza- Unyielding Lineage,3,2025,0.12,#ffffff,https://cards.scryfall.io/normal/front/2/9/29957f49-9a6b-42f6-b2fb-b48f653ab725.jpg?1743203958,Legendary Creature — Spirit Soldier,Matt Stewart
Avenger of the Fallen,3,2025,0.46,#000000,https://cards.scryfall.io/normal/front/d/5/d5397366-151f-46b0-b9b2-fa4d5bd892d8.jpg?1743204251,Creature — Human Warrior,Winona Nelson
Awaken the Honored Dead,3,2025,0.24,#d78f42,https://cards.scryfall.io/normal/front/1/4/14078a49-2230-4ad7-aea0-0c253813c646.jpg?1743204653,Enchantment — Saga,Clint Lockwood
Barrensteppe Siege,4,2025,0.35,#d78f42,https://cards.scryfall.io/normal/front/2/5/2556a35b-2229-42c7-8cb3-c8c668403dd2.jpg?1743204657,Enchantment,Tuan Duong Chu
Betor- Kin to All,5,2025,2.76,#d78f42,https://cards.scryfall.io/normal/front/b/4/b475b071-5545-483e-a397-89451f258602.jpg?1743204665,Legendary Creature — Spirit Dragon,Alexander Ostrowski
Bloomvine Regent // Claim Territory,5,2025,0.53,#087500,https://cards.scryfall.io/normal/front/1/0/10e0a9a3-f63a-4f92-a083-9d181580e498.jpg?1746164846,Creature — Dragon // Sorcery — Omen,Johann Bodin
Call the Spirit Dragons,5,2025,0.95,#d78f42,https://cards.scryfall.io/normal/front/b/1/b1ad91db-5f16-4392-baf1-f8400ec11e0a.jpg?1743204672,Enchantment,Liiga Smilshkalne
Clarion Conqueror,3,2025,1.65,#ffffff,https://cards.scryfall.io/normal/front/f/8/f892d156-371c-4391-8ae6-25513c5032b0.jpg?1743203973,Creature — Dragon,Nathaniel Himawan
Cori Mountain Monastery,0,2025,0.27,#ff1a1a,https://cards.scryfall.io/normal/front/9/3/9312821a-2059-4f44-9b20-c9522b827e38.jpg?1743204997,Land,Arthur Yuan
Cori-Steel Cutter,2,2025,6.05,#ff1a1a,https://cards.scryfall.io/normal/front/4/9/490eb213-9ae2-4b45-abec-6f1dfc83792a.jpg?1751282367,Artifact — Equipment,Xabi Gaztelua
Craterhoof Behemoth,8,2025,10.72,#087500,https://cards.scryfall.io/normal/front/2/7/276f5cee-a501-4658-bd4d-7a044bf1ccbc.jpg?1743204520,Creature — Beast,Magali Villeneuve
Dalkovan Encampment,0,2025,0.28,#ffffff,https://cards.scryfall.io/normal/front/9/8/98ad5f0c-8775-4e89-8e92-84a6ade93e35.jpg?1743205000,Land,Marina Ortega Lorente
Death Begets Life,8,2025,0.37,#d78f42,https://cards.scryfall.io/normal/front/1/f/1faab43d-587d-44f6-9516-c8e3965bbc20.jpg?1743204680,Sorcery,Justin Hernandez & Alexis Hernandez
Dracogenesis,8,2025,7.16,#ff1a1a,https://cards.scryfall.io/normal/front/0/d/0d5674f9-22b2-45f9-902d-4fd245485c60.jpg?1743204385,Enchantment,Kai Carpenter
Dragonback Assault,6,2025,1.17,#d78f42,https://cards.scryfall.io/normal/front/d/5/d54cc838-d79d-433a-99fb-d6e4d1c1431d.jpg?1743204697,Enchantment,Ryan Pancoast
Dragonfire Blade,1,2025,0.79,#8c8d8b,https://cards.scryfall.io/normal/front/0/3/031afea3-fbfb-4663-a8cc-9b7eb7b16020.jpg?1743204949,Artifact — Equipment,Clint Lockwood
Dragonologist,3,2025,1.03,#341aff,https://cards.scryfall.io/normal/front/8/8/8810ebb4-9e51-46f0-a54a-a0b4d77b762a.jpg?1743204126,Creature — Human Wizard,Mila Pesic
Elspeth- Storm Slayer,5,2025,27.07,#ffffff,https://cards.scryfall.io/normal/front/7/3/73a065e3-b530-4e62-ab3c-4f6f908184ec.jpg?1743203994,Legendary Planeswalker — Elspeth,Ekaterina Burmak
Eshki Dragonclaw,4,2025,0.12,#d78f42,https://cards.scryfall.io/normal/front/0/d/0d369c44-78ee-4f3c-bf2b-cddba7fe26d4.jpg?1743204706,Legendary Creature — Human Warrior,Tran Nguyen
Fangkeeper's Familiar,4,2025,0.13,#d78f42,https://cards.scryfall.io/normal/front/6/5/655fa2e1-3e1c-424c-b17a-daa7b8fface4.jpg?1743204714,Creature — Snake,David Szabo
Felothar- Dawn of the Abzan,3,2025,0.11,#d78f42,https://cards.scryfall.io/normal/front/8/3/83e11f20-6524-4fba-9603-0b97e2d69aac.jpg?1743697572,Legendary Creature — Human Warrior,Victor Adame Minguez
Flamehold Grappler,3,2025,0.12,#d78f42,https://cards.scryfall.io/normal/front/c/c/cc8443a6-282f-4218-9dc8-144b5570d891.jpg?1743204722,Creature — Human Monk,Wayne Wu
Frostcliff Siege,3,2025,0.77,#d78f42,https://cards.scryfall.io/normal/front/a/7/a750aabb-9788-494a-841f-bf75717970a7.jpg?1743204732,Enchantment,Dan Murayama Scott
Glacierwood Siege,3,2025,0.37,#d78f42,https://cards.scryfall.io/normal/front/0/f/0f37fad7-2385-409b-8375-fa5dfbcad833.jpg?1743204739,Enchantment,Andreas Zafiratos
Great Arashin City,0,2025,0.19,#000000,https://cards.scryfall.io/normal/front/e/c/ecba23b6-9f3a-431e-bc22-f1fb04d27b68.jpg?1743205015,Land,Josu Solano
Herd Heirloom,2,2025,1.71,#087500,https://cards.scryfall.io/normal/front/a/8/a88c7713-b3a9-4685-b1d3-623d35b62365.jpg?1743204542,Artifact,Allen Morris
Hollowmurk Siege,2,2025,0.47,#d78f42,https://cards.scryfall.io/normal/front/5/a/5ac0e136-8877-4bfc-a831-2bf7b7b5ad1e.jpg?1743204751,Enchantment,Antonio José Manzanedo
Inevitable Defeat,4,2025,0.28,#d78f42,https://cards.scryfall.io/normal/front/9/d/9d677980-b608-407e-9f17-790a81263f15.jpg?1743204760,Instant,Cristi Balanescu
Jeskai Revelation,7,2025,0.4,#d78f42,https://cards.scryfall.io/normal/front/3/c/3cac0ad3-5107-4ed6-a688-d44bbd65e407.jpg?1743204770,Instant,Igor Grechanyi
Kishla Village,0,2025,0.17,#087500,https://cards.scryfall.io/normal/front/9/f/9f0ff90d-7312-44df-afc5-29c768fa7758.jpg?1743205023,Land,Bruce Brenneise
Kotis- the Fangkeeper,4,2025,0.23,#d78f42,https://cards.scryfall.io/normal/front/d/3/d3736f17-f80b-4b2c-b919-2c963bc14682.jpg?1743204793,Legendary Creature — Zombie Warrior,Evyn Fong
Lasyd Prowler,4,2025,0.07,#087500,https://cards.scryfall.io/normal/front/c/7/c7f5c8ef-8e9e-4264-a7d2-126a30a5d341.jpg?1743204564,Creature — Snake Ranger,Anna Pavleeva
Lotuslight Dancers,5,2025,0.14,#d78f42,https://cards.scryfall.io/normal/front/8/2/82aa2593-4a79-46f1-a2bd-b71fb504d0ab.jpg?1743204801,Creature — Zombie Bard,Jodie Muir
Maelstrom of the Spirit Dragon,0,2025,0.64,#8c8d8b,https://cards.scryfall.io/normal/front/c/4/c4e90bfb-d9a5-48a9-9ff9-b0f50a813eee.jpg?1743205026,Land,Carlos Palma Cruchaga
Magmatic Hellkite,4,2025,0.36,#ff1a1a,https://cards.scryfall.io/normal/front/b/3/b3b3aec8-d931-4c7f-86b5-1e7dfb717b59.jpg?1743204407,Creature — Dragon,Tyler Walpole
Marang River Regent // Coil and Catch,6,2025,2.4,#341aff,https://cards.scryfall.io/normal/front/f/8/f890bdc7-32e6-4492-bac7-7cabf54a8bfd.jpg?1744554271,Creature — Dragon // Instant — Omen,John Tedrick
Mardu Siegebreaker,4,2025,0.65,#d78f42,https://cards.scryfall.io/normal/front/3/0/3044b232-edf4-4000-9273-cc4653ad653a.jpg?1743204809,Creature — Human Warrior,Chris Seaman
Mistrise Village,0,2025,4.44,#341aff,https://cards.scryfall.io/normal/front/d/4/d44bccbf-6fab-46e4-8ddb-6577e27ec6e8.jpg?1743205033,Land,Constantin Marin
Mox Jasper,0,2025,9.04,#8c8d8b,https://cards.scryfall.io/normal/front/a/8/a851d2d3-7e93-4887-bee5-4d6c9aaf9419.jpg?1743204975,Legendary Artifact,Steven Belledin
Naga Fleshcrafter,4,2025,0.25,#341aff,https://cards.scryfall.io/normal/front/5/d/5df17423-9fdd-4432-8660-1d267c685595.jpg?1743204171,Creature — Snake Shapeshifter,Valera Lutfullina
Narset- Jeskai Waymaster,3,2025,0.23,#d78f42,https://cards.scryfall.io/normal/front/6/b/6b77cbc1-dbc8-44d9-aa29-15cbb19afecd.jpg?1743204826,Legendary Creature — Human Monk,Randy Vargas
Nature's Rhythm,2,2025,1.87,#087500,https://cards.scryfall.io/normal/front/1/3/1397d904-c51d-451e-8505-7f3118acc1f6.jpg?1743204565,Sorcery,Liiga Smilshkalne
Neriv- Heart of the Storm,4,2025,1.72,#d78f42,https://cards.scryfall.io/normal/front/b/5/b58112b0-a05c-4b98-b650-fd27ad97789f.jpg?1743204826,Legendary Creature — Spirit Dragon,Victor Adame Minguez
New Way Forward,5,2025,0.14,#d78f42,https://cards.scryfall.io/normal/front/d/9/d9d48f9e-79f0-478c-9db0-ff7ac4a8f401.jpg?1743204834,Instant,Eli Minaya
Perennation,6,2025,0.5,#d78f42,https://cards.scryfall.io/normal/front/f/f/ffe7071e-a214-44e8-a571-129f0db44f76.jpg?1743204835,Sorcery,Eli Minaya
Qarsi Revenant,3,2025,0.84,#000000,https://cards.scryfall.io/normal/front/8/c/8c93a0f6-5e50-4dda-9ff6-da741fb839ff.jpg?1743204304,Creature — Vampire,Lorenzo Mastroianni
Rediscover the Way,3,2025,0.2,#d78f42,https://cards.scryfall.io/normal/front/7/9/79d6decf-afd5-4e96-b87e-fd7ab7e3c068.jpg?1743204851,Enchantment — Saga,Clint Lockwood
Revival of the Ancestors,4,2025,0.15,#d78f42,https://cards.scryfall.io/normal/front/f/d/fd742ff5-f0ea-4f4b-911e-4c09e2154dba.jpg?1744578010,Enchantment — Saga,Clint Lockwood
Roar of Endless Song,5,2025,0.11,#d78f42,https://cards.scryfall.io/normal/front/7/a/7a9c3531-61a8-43f5-82a2-5166e5f5a6b9.jpg?1744577948,Enchantment — Saga,Clint Lockwood
Rot-Curse Rakshasa,2,2025,1.59,#000000,https://cards.scryfall.io/normal/front/3/1/31276460-fa9d-47da-85c5-c4baa8074d0d.jpg?1743204311,Creature — Demon,Chris Rahn
Sage of the Skies,3,2025,0.21,#ffffff,https://cards.scryfall.io/normal/front/6/a/6ade6918-6d1d-448d-ab56-93996051e9a9.jpg?1743204040,Creature — Human Monk,Justyna Dura
Sarkhan- Dragon Ascendant,2,2025,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/c/2/c2200646-7b7c-489d-bbae-16b03e1d7fb2.jpg?1743204437,Legendary Creature — Human Druid,Billy Christian
Scavenger Regent // Exude Toxin,4,2025,0.45,#000000,https://cards.scryfall.io/normal/front/0/d/0d4b46a3-847a-44a7-9f68-2cb4657cad61.jpg?1744554513,Creature — Dragon // Sorcery — Omen,John Tedrick
Severance Priest,3,2025,0.08,#d78f42,https://cards.scryfall.io/normal/front/b/c/bc779a1b-128c-4c74-bebd-bdb687867f68.jpg?1743204878,Creature — Djinn Cleric,Scott Murphy
Shiko- Paragon of the Way,5,2025,1.76,#d78f42,https://cards.scryfall.io/normal/front/8/1/8138cf10-1e3e-483f-86ad-cc399192657d.jpg?1743204881,Legendary Creature — Spirit Dragon,Victor Adame Minguez
Sidisi- Regent of the Mire,2,2025,0.27,#000000,https://cards.scryfall.io/normal/front/4/7/47374d23-662b-4ba7-a94f-37c9bc759cc6.jpg?1743204332,Legendary Creature — Zombie Snake Warlock,Diana Franco
Sinkhole Surveyor,2,2025,0.24,#000000,https://cards.scryfall.io/normal/front/3/7/37cb5599-7d2c-48e9-978b-902a01a74bde.jpg?1743204333,Creature — Bird Scout,Warren Mahy
Smile at Death,5,2025,1.66,#ffffff,https://cards.scryfall.io/normal/front/a/e/ae2da18f-0d7d-446c-b463-8bf170ed95da.jpg?1743204050,Enchantment,Olivier Bernard
Songcrafter Mage,3,2025,0.17,#d78f42,https://cards.scryfall.io/normal/front/9/5/9523bc07-49e5-409c-ae6b-b28e305eef36.jpg?1743204888,Creature — Human Bard,Irina Nordsol
Stadium Headliner,1,2025,0.31,#ff1a1a,https://cards.scryfall.io/normal/front/3/7/37d4ab2a-a06a-4768-b5e1-e1def957d7f4.jpg?1743204451,Creature — Goblin Warrior,Ralph Horsley
Stillness in Motion,2,2025,0.08,#341aff,https://cards.scryfall.io/normal/front/a/6/a6289251-17e4-4987-96b9-2fb1a8f90e2a.jpg?1743697642,Enchantment,Kai Carpenter
Stormscale Scion,6,2025,3.38,#ff1a1a,https://cards.scryfall.io/normal/front/0/a/0ac43386-bd32-425c-8776-cec00b064cbc.jpg?1743204459,Creature — Dragon,Andrew Mar
