name,cmc,release_year,price,color,image,type_line,artist
Allure of the Unknown,5,2020,0.09,#d78f42,https://cards.scryfall.io/normal/front/f/7/f77e09c3-917c-4bbb-bb94-60f4e9417832.jpg?1581480965,Sorcery,Seb McKinnon
Aphemia- the Cacophony,2,2020,0.13,#000000,https://cards.scryfall.io/normal/front/5/b/5b359607-d699-4ba9-a438-48f0dd8f1bf5.jpg?1581479686,Legendary Enchantment Creature — Harpy,Lucas Graciano
Arasta of the Endless Web,4,2020,0.32,#087500,https://cards.scryfall.io/normal/front/7/c/7c38833a-96c5-48b5-8dd8-23f10e798537.jpg?1581480541,Legendary Enchantment Creature — Spider,Sam Rowan
Archon of Sun's Grace,4,2020,0.48,#ffffff,https://cards.scryfall.io/normal/front/2/3/235e5999-e8e5-4093-adff-9d47aec70d10.jpg?1581478942,Creature — Archon,Matt Stewart
Ashiok- Nightmare Muse,5,2020,3.33,#d78f42,https://cards.scryfall.io/normal/front/1/1/112eb5ce-4fe5-45b3-b810-79fef74b07f9.jpg?1581480976,Legendary Planeswalker — Ashiok,Raymond Swanland
Ashiok- Sculptor of Fears,6,2020,2.49,#d78f42,https://cards.scryfall.io/normal/front/3/6/36a5fc37-e7bd-41a9-88ac-74a3f14fea8b.jpg?1581481496,Legendary Planeswalker — Ashiok,Daarken
Ashiok's Erasure,4,2020,0.09,#341aff,https://cards.scryfall.io/normal/front/d/5/d568c679-8421-4184-a73c-b18c4164fea5.jpg?1581479289,Enchantment,Zezhou Chen
Ashiok's Forerunner,5,2020,0.07,#d78f42,https://cards.scryfall.io/normal/front/7/8/781bfbae-acd9-4583-88d2-d31978eef565.jpg?1581481476,Creature — Human Wizard,Johannes Voss
Athreos- Shroud-Veiled,6,2020,3.81,#d78f42,https://cards.scryfall.io/normal/front/8/7/871c19fc-7d99-4022-9e13-d679a9e3547e.jpg?1677541540,Legendary Enchantment Creature — God,Igor Kieryluk
Atris- Oracle of Half-Truths,4,2020,0.09,#d78f42,https://cards.scryfall.io/normal/front/d/b/db6c91ec-df14-460f-967c-f182562fe7d8.jpg?1581480984,Legendary Creature — Human Advisor,Bastien L. Deharme
