name,cmc,release_year,price,color,image,type_line,artist
Agent Bishop- Man in Black,3,2026,0.46,#ffffff,https://cards.scryfall.io/normal/front/9/c/9c769202-178c-442a-a9e2-aa08b5ae5c9a.jpg?1783904129,Legendary Creature — Human Soldier,Adrián Rodríguez Pérez
April O'Neil- Hacktivist,4,2026,0.21,#341aff,https://cards.scryfall.io/normal/front/f/0/f0147f6d-b797-4d5e-aca2-a9d309896eca.jpg?1783904119,Legendary Creature — Human Scientist,Xabi Gaztelua
Armaggon- Future Shark,8,2026,0.44,#000000,https://cards.scryfall.io/normal/front/5/9/5989378b-0eac-43cf-bc83-8f7765536789.jpg?1783904109,Legendary Creature — Shark Horror Mutant,Mathias Kollros
Bebop & Rocksteady,3,2026,0.34,#d78f42,https://cards.scryfall.io/normal/front/5/3/535461bd-f763-408b-816f-64b7bfb9210d.jpg?1783904078,Legendary Creature — Boar Rhino Mutant,Néstor Ossandón Leal
Broadcast Takeover,5,2026,0.57,#ff1a1a,https://cards.scryfall.io/normal/front/e/6/e640e930-0907-40f2-9015-88f8c1e8ee5c.jpg?1783904100,Sorcery,Hokyoung Kim
Casey Jones- Vigilante,3,2026,0.28,#ff1a1a,https://cards.scryfall.io/normal/front/a/6/a6a3258d-2e9b-4862-b2e3-bbfae9bd4d33.jpg?1783904098,Legendary Creature — Human Berserker,Xavier Ribeiro
Chrome Dome,2,2026,0.77,#8c8d8b,https://cards.scryfall.io/normal/front/9/9/994a01eb-2689-49e7-be23-0713da9da9a8.jpg?1783904069,Artifact Creature — Robot Ninja,Mathias Kollros
Cool but Rude,2,2026,7.18,#ff1a1a,https://cards.scryfall.io/normal/front/a/5/a566ab2d-6ec8-4833-8ad6-210378b1a20e.jpg?1783904098,Enchantment — Class,Lordigan
Dark Leo & Shredder,2,2026,4.09,#d78f42,https://cards.scryfall.io/normal/front/b/a/bab93474-2f98-49a1-874f-b794bf81bd0c.jpg?1783904079,Legendary Creature — Mutant Ninja Turtle Human,Thomas Chamberlain-Keen
Does Machines,2,2026,0.48,#341aff,https://cards.scryfall.io/normal/front/9/8/989da63a-2cbd-41a9-9bbb-99f4ad1c6a25.jpg?1783904118,Enchantment — Class,Aeron Ng
