name,cmc,release_year,price,color,image
Alter Reality,2,2002,1.4,#341aff,https://cards.scryfall.io/normal/front/6/4/64cd68be-6e6a-4577-8465-a892463b6d6c.jpg?1562630089
Ambassador Laquatus,3,2002,0.95,#341aff,https://cards.scryfall.io/normal/front/8/8/887cac61-2001-4bd1-aeeb-20149ebc5856.jpg?1562630758
Angel of Retribution,7,2002,0.27,#ffffff,https://cards.scryfall.io/normal/front/7/f/7f3215ba-e492-4cfd-aa16-0da4818eed1b.jpg?1574250283
Balthor the Stout,3,2002,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/e/8/e81ecdc5-d2c7-4292-9b59-fd6bf3ba29d5.jpg?1562632492
Cephalid Vandal,2,2002,0.24,#341aff,https://cards.scryfall.io/normal/front/2/5/2500976f-a329-4a51-bcc1-cafe39bc3ccf.jpg?1562628965
Chainer- Dementia Master,5,2002,13.49,#000000,https://cards.scryfall.io/normal/front/4/0/40342b11-1005-4ccc-bef4-9ea4c640b048.jpg?1562629465
Dawn of the Dead,5,2002,3.6,#000000,https://cards.scryfall.io/normal/front/b/a/baabadd3-3fc1-4c9a-ad3b-c79d60fb3390.jpg?1562631743
Devastating Dreams,2,2002,0.48,#ff1a1a,https://cards.scryfall.io/normal/front/9/f/9fffeed0-a5ea-47ac-a7a4-0cc3bb1d408a.jpg?1562631212
False Memories,2,2002,1.04,#341aff,https://cards.scryfall.io/normal/front/3/a/3a45ea90-03af-446e-9df3-ef64e9613f2c.jpg?1562629313
Grim Lavamancer,1,2002,6.12,#ff1a1a,https://cards.scryfall.io/normal/front/5/d/5dd72697-24be-42c7-a6d9-a837bdbd4662.jpg?1562629949
Gurzigost,5,2002,0.25,#087500,https://cards.scryfall.io/normal/front/f/4/f4e672c6-6ddc-4dd2-b4c7-5083d7566e87.jpg?1562632734
Hell-Bent Raider,3,2002,0.2,#ff1a1a,https://cards.scryfall.io/normal/front/7/f/7f41ac1c-2603-4234-8963-cd47bb894024.jpg?1562630610
Hypnox,11,2002,2.43,#000000,https://cards.scryfall.io/normal/front/0/e/0e0e53a1-11d5-4975-b698-8b5d72d241f0.jpg?1562628577
Ichorid,4,2002,1.48,#000000,https://cards.scryfall.io/normal/front/9/7/97431dca-54ca-47ef-ab00-943140e8e758.jpg?1562631043
Insidious Dreams,4,2002,11.38,#000000,https://cards.scryfall.io/normal/front/e/8/e8a29622-23a6-42c7-8e56-690613572c94.jpg?1562632493
Insist,1,2002,1.15,#087500,https://cards.scryfall.io/normal/front/4/8/48e1f72d-ef5e-4cea-a0ee-645570a36104.jpg?1562629595
Laquatus's Champion,6,2002,0.39,#000000,https://cards.scryfall.io/normal/front/7/4/74a397bb-6910-4724-833d-7f2d92723e3b.jpg?1562630382
Last Laugh,4,2002,1.04,#000000,https://cards.scryfall.io/normal/front/d/4/d4c05f2a-b844-42b3-af91-65694b4211dd.jpg?1562632208
