name,cmc,release_year,price,color,image,type_line,artist
Academy Ruins,0,2006,14.44,#341aff,https://cards.scryfall.io/normal/front/a/f/af09af65-0a3b-42df-b0fd-372e2158beac.jpg?1562931959,Legendary Land,Zoltan Boros & Gabor Szikszai
Ancestral Vision,0,2006,3.41,#341aff,https://cards.scryfall.io/normal/front/b/c/bccedc4d-38c7-4bf3-9ca7-4febd6c49d3d.jpg?1562934881,Sorcery,Mark Poole
Angel's Grace,1,2006,2.71,#ffffff,https://cards.scryfall.io/normal/front/5/8/580cb5be-fa59-4eb9-8808-7d2943fb6413.jpg?1562913383,Instant,Mark Zug
Bogardan Hellkite,8,2006,0.46,#ff1a1a,https://cards.scryfall.io/normal/front/5/8/5852f528-92aa-45cf-8436-5774691676d3.jpg?1562913435,Creature — Dragon,Scott M. Fischer
Candles of Leng,2,2006,0.15,#8c8d8b,https://cards.scryfall.io/normal/front/e/e/ee874779-e654-48f0-8f2d-cc98ef150d75.jpg?1562945243,Artifact,Daniel Gelon
Chronosavant,6,2006,0.15,#ffffff,https://cards.scryfall.io/normal/front/d/6/d6264d4f-adf1-4d7b-b17a-fd7122e9b2cd.jpg?1562940310,Creature — Giant,Pete Venters
Curse of the Cabal,10,2006,3.39,#000000,https://cards.scryfall.io/normal/front/d/4/d4323aa6-a1fb-42ee-9634-3747129fde3b.jpg?1562939881,Sorcery,John Avon
Deep-Sea Kraken,10,2006,1.42,#341aff,https://cards.scryfall.io/normal/front/8/e/8e050532-e245-4eea-90a5-03e3e410dcbe.jpg?1562924961,Creature — Kraken,Christopher Moeller
Demonic Collusion,5,2006,2.75,#000000,https://cards.scryfall.io/normal/front/f/1/f1a68a28-05fa-4c6e-896d-ddb9aea3a38d.jpg?1562946007,Sorcery,Jim Nelson
Draining Whelk,6,2006,0.43,#341aff,https://cards.scryfall.io/normal/front/c/5/c559d326-b97b-43d9-b7c9-c09e1a0e9db6.jpg?1562936748,Creature — Illusion,Mark Tedin
Dralnu- Lich Lord,5,2006,0.23,#d78f42,https://cards.scryfall.io/normal/front/b/3/b3828efe-cbe1-473c-8dde-60ea9aaf23a2.jpg?1562932859,Legendary Creature — Zombie Wizard,Greg Staples
Endrek Sahr- Master Breeder,5,2006,1.14,#000000,https://cards.scryfall.io/normal/front/d/a/dac6faba-59f2-436f-addb-c53db2b0cc17.jpg?1562941199,Legendary Creature — Human Wizard,Mark Tedin
Evangelize,5,2006,0.25,#ffffff,https://cards.scryfall.io/normal/front/0/f/0f58e1aa-587c-4f89-9552-1128c8c2da1a.jpg?1562898171,Sorcery,Randy Elliott
