name,cmc,release_year,price,color,image,type_line,artist
Ashnod's Coupon,0,1998,9.2,#8c8d8b,https://cards.scryfall.io/normal/front/d/4/d420010f-5389-4aa2-a5f8-d9631249679a.jpg?1562799166,Artifact,"Edward P. Beard, Jr."
B.F.M. (Big Furry Monster),15,1998,12.11,#000000,https://cards.scryfall.io/normal/front/a/9/a9f9c279-e382-4feb-9575-196e7cf5d7dc.jpg?1562799139,"Creature — The Biggest, Baddest, Nastiest,",Douglas Shuler
B.F.M. (Big Furry Monster),15,1998,18.38,#000000,https://cards.scryfall.io/normal/front/d/1/d15c6375-2e4e-47f7-88e1-d90794e7f724.jpg?1664469567,Scariest Creature You'll Ever See,Douglas Shuler
Blacker Lotus,0,1998,24.24,#8c8d8b,https://cards.scryfall.io/normal/front/4/c/4c85d097-e87b-41ee-93c6-0e54ec41b174.jpg?1562799094,Artifact,Christopher Rush
Bureaucracy,5,1998,0.96,#341aff,https://cards.scryfall.io/normal/front/4/3/43417d07-725e-4c3d-99d2-bbbfbdeee770.jpg?1562799091,Enchantment,Mark Zug
Burning Cinder Fury of Crimson Chaos Fire,4,1998,0.71,#ff1a1a,https://cards.scryfall.io/normal/front/1/7/17ed4800-dc0f-4681-9ae6-74bd0018e8dc.jpg?1618610634,Enchantment,Richard Kane Ferguson
Cardboard Carapace,6,1998,2.04,#087500,https://cards.scryfall.io/normal/front/0/5/059fc73f-7a00-4014-9e92-75765798cf2d.jpg?1562799059,Enchantment — Aura,Douglas Shuler
Chicken à la King,3,1998,0.75,#341aff,https://cards.scryfall.io/normal/front/3/f/3fcefcab-8988-47e8-89bb-9b76f14c9d8b.jpg?1562799089,Creature — Bird Noble,Mark Zug
Free-for-All,4,1998,1.34,#341aff,https://cards.scryfall.io/normal/front/6/3/630efac8-3033-4c2d-9127-b3b2f78bb136.jpg?1562799106,Enchantment,Claymore J. Flapdoodle
Giant Fan,4,1998,0.7,#8c8d8b,https://cards.scryfall.io/normal/front/1/c/1cdb8678-3c0c-4ee3-aeff-52a4db4e09c4.jpg?1585994350,Artifact,Randy Gallegos
I'm Rubber- You're Glue,2,1998,0.75,#ffffff,https://cards.scryfall.io/normal/front/5/9/5979237f-ff41-4e87-b2e4-d09b81eca2dc.jpg?1562799099,Enchantment,Claymore J. Flapdoodle
Incoming!,8,1998,1.39,#087500,https://cards.scryfall.io/normal/front/5/7/573cf5e6-35ee-4eb6-990a-524ba7335797.jpg?1562799098,Sorcery,Quinton Hoover
Infernal Spawn of Evil,9,1998,1.79,#000000,https://cards.scryfall.io/normal/front/9/9/99711b5b-3cb2-4d57-ac9a-f43cc86a7ca9.jpg?1562799128,Creature — Beast,Ron Spencer
Jack-in-the-Mox,0,1998,4.77,#d78f42,https://cards.scryfall.io/normal/front/1/8/1834ac92-8b4e-4442-a834-acd580e1ef99.jpg?1562799070,Artifact,Dan Frazier
Jalum Grifter,5,1998,0.61,#ff1a1a,https://cards.scryfall.io/normal/front/9/b/9b5d0ead-7798-49a2-8106-418db1d4fd69.jpg?1562799131,Legendary Creature — Devil,Claymore J. Flapdoodle
Jester's Sombrero,2,1998,0.43,#8c8d8b,https://cards.scryfall.io/normal/front/6/e/6e68f012-307f-4ffb-909e-1284fb39e64f.jpg?1562799112,Artifact,Dan Frazier
Landfill,5,1998,0.39,#ff1a1a,https://cards.scryfall.io/normal/front/3/e/3ef5452d-b5cb-4772-a5ac-1b4c976e03a5.jpg?1562799088,Sorcery,Daren Bader
Look at Me- I'm the DCI,7,1998,0.69,#ffffff,https://cards.scryfall.io/normal/front/1/4/14fb0d87-b086-4546-8f7f-786cb0b7b2f5.jpg?1562799065,Sorcery,Mark Rosewater
Mine- Mine- Mine!,6,1998,1.05,#087500,https://cards.scryfall.io/normal/front/a/9/a91f28e0-867a-4713-955d-582201af63ae.jpg?1617967901,Enchantment,Heather Hudson
Mirror Mirror,7,1998,1.05,#8c8d8b,https://cards.scryfall.io/normal/front/2/a/2abf208d-5fe6-4030-a19d-7505832dab3b.jpg?1562799083,Artifact,Kaja Foglio
Once More with Feeling,4,1998,0.73,#ffffff,https://cards.scryfall.io/normal/front/b/a/ba42881b-9275-4b54-a17f-dec87d21a270.jpg?1562799151,Sorcery,Terese Nielsen
