name,cmc,release_year,price,color,image,type_line,artist
Animate Graveyard,5,2022,0.07,#000000,https://cards.scryfall.io/normal/front/8/3/83f7b63b-44b1-4119-a4bf-c10fe3429d91.jpg?1673913770,Enchantment — Aura,Mike Burns
Black Hole,4,2022,0.12,#000000,https://cards.scryfall.io/normal/front/9/e/9ed3fc60-9079-486b-a05e-00f926a99b4e.jpg?1673913791,Sorcery,Greg Bobrowski
Blood Crypt,0,2022,30.81,#d78f42,https://cards.scryfall.io/normal/front/0/f/0f1cebcb-0e3f-4dce-81ff-44bc8c0b9ad7.jpg?1676121724,Land — Swamp Mountain,Chris Ostrowski
Blue Ribbon,1,2022,0.03,#8c8d8b,https://cards.scryfall.io/normal/front/d/a/da67aec2-18ff-426a-a074-25cd34b01f9c.jpg?1673915030,Artifact — Equipment,Chuck Lukacs
Breeding Pool,0,2022,28.89,#d78f42,https://cards.scryfall.io/normal/front/8/3/830eb270-f7aa-4694-8fe1-7c19e148a39f.jpg?1673916834,Land — Forest Island,Bruce Brenneise
Captain Rex Nebula,3,2022,0.05,#d78f42,https://cards.scryfall.io/normal/front/8/5/85e8bdd9-24a3-42f0-8b0c-dbc05be8fc20.jpg?1673914822,Legendary Creature — Human Pilot Employee,Alexander Mokhov
Carnival Barker,3,2022,0.04,#ff1a1a,https://cards.scryfall.io/normal/front/f/7/f7c29dab-5cd4-4158-9a12-f14004e08484.jpg?1681518398,Creature — Dog Employee,Dave Greco
Celebr-8000,5,2022,0.14,#8c8d8b,https://cards.scryfall.io/normal/front/1/a/1aa7b481-9332-4140-9a46-11e4e384d8f1.jpg?1673915040,Artifact Creature — Clown Robot,Ralph Horsley
Centaur of Attention,5,2022,0.08,#087500,https://cards.scryfall.io/normal/front/3/e/3eecbc0a-237d-433f-9edf-7420819f1301.jpg?1673914557,Creature — Centaur Performer,Leonardo Santanna
Centrifuge,0,2022,0.12,#8c8d8b,https://cards.scryfall.io/normal/front/3/e/3eed5075-0632-4af1-8a16-9b959317e154.jpg?1673915309,Artifact — Attraction,Greg Staples
Claire D'Loon- Joy Sculptor,2,2022,0.06,#d78f42,https://cards.scryfall.io/normal/front/0/e/0ecc9331-0f35-4921-bb27-58a22d3980a7.jpg?1673914840,Legendary Creature — Human Performer,Igor Grechanyi
Clown Car,0,2022,0.5,#8c8d8b,https://cards.scryfall.io/normal/front/c/6/c6667e4f-f0f6-4416-940a-d03bed75f5a7.jpg?1673915050,Artifact — Vehicle,Ralph Horsley
Comet- Stellar Pup,4,2022,4.15,#d78f42,https://cards.scryfall.io/normal/front/a/7/a76fa8d4-923d-4afc-ba47-ba10fc0fe46e.jpg?1685554101,Legendary Planeswalker — Comet,Jeff Miracola
D00-DL- Caricaturist,6,2022,0.05,#8c8d8b,https://cards.scryfall.io/normal/front/7/2/72beb4e7-7044-4b10-b585-ee35760827b1.jpg?1673915059,Legendary Artifact Creature — Robot,Ralph Horsley
Devil K. Nevil,3,2022,0.05,#ff1a1a,https://cards.scryfall.io/normal/front/8/9/89e71131-9591-4773-9c6a-1dc381d0e1ab.jpg?1673914216,Legendary Creature — Devil Performer,Paolo Parente
Don't Try This at Home,2,2022,0.05,#ff1a1a,https://cards.scryfall.io/normal/front/a/b/ab5c5c1e-1d48-481d-b3b3-97e9cc8416f3.jpg?1673914231,Enchantment,Tyler Walpole
Exchange of Words,3,2022,0.7,#341aff,https://cards.scryfall.io/normal/front/8/c/8c28cebf-f849-4353-9dd1-c62f05c15d0f.jpg?1673913524,Enchantment,Zoltan Boros
Exit Through the Grift Shop,3,2022,0.11,#000000,https://cards.scryfall.io/normal/front/c/d/cd9b584e-4646-4301-b1de-44717336e590.jpg?1673913867,Sorcery,Chris Seaman
Far Out,3,2022,0.13,#ffffff,https://cards.scryfall.io/normal/front/8/9/89c47667-1ae3-464b-9c5f-732a08a53707.jpg?1673913086,Enchantment,Bram Sels
Ferris Wheel,0,2022,0.33,#8c8d8b,https://cards.scryfall.io/normal/front/9/1/91562ab3-1153-48d9-9f8e-4c79155548f2.jpg?1673915585,Artifact — Attraction,Kirsten Zirngibl
Fluros of Myra's Marvels,4,2022,0.07,#341aff,https://cards.scryfall.io/normal/front/4/c/4c974d9a-40a6-4072-90b2-01c3b3461a75.jpg?1673913534,Legendary Creature — Merfolk Performer,Gaboleps
Form of the Approach of the Second Sun,5,2022,0.03,#ffffff,https://cards.scryfall.io/normal/front/2/1/2149da9d-35ad-4f32-8072-fb515100b2fd.jpg?1673913099,Enchantment,Aaron J. Riley
Gallery of Legends,0,2022,0.08,#8c8d8b,https://cards.scryfall.io/normal/front/a/9/a9ad0d58-b1f6-4549-b0b3-f655b006dbb4.jpg?1673915680,Artifact — Attraction,Jakub Kasper
Gift Shop,0,2022,0.17,#8c8d8b,https://cards.scryfall.io/normal/front/0/b/0be723e0-4e14-4910-905c-0292b84a0272.jpg?1673915698,Artifact — Attraction,Matt Gaser
Goblin Cruciverbalist,3,2022,0.05,#ff1a1a,https://cards.scryfall.io/normal/front/b/9/b90bd23d-0f0f-41d7-ba12-776f012714f7.jpg?1673914310,Creature — Goblin Wizard Guest,Mike Burns
