name,cmc,release_year,price,color,image,type_line,artist
Aku Djinn,5,1997,1.64,#000000,https://cards.scryfall.io/normal/front/3/6/369a5df5-fc36-476c-84f4-ec4bdeb4f9d2.jpg?1562277439,Creature — Djinn,Terese Nielsen
Anvil of Bogardan,2,1997,44.84,#8c8d8b,https://cards.scryfall.io/normal/front/7/f/7ff965dd-54b4-4f21-a52f-81c0dd1e691e.jpg?1562278142,Artifact,Roger Raupp
Archangel,7,1997,0.61,#ffffff,https://cards.scryfall.io/normal/front/3/6/368144bf-d415-48ab-a957-9d7ac1ceb353.jpg?1562277438,Creature — Angel,Christopher Rush
Bogardan Phoenix,5,1997,3.46,#ff1a1a,https://cards.scryfall.io/normal/front/2/5/253db28a-3873-4364-80d7-a8164000ea9e.jpg?1562277413,Creature — Phoenix,David O'Connor
Breathstealer's Crypt,4,1997,9.06,#d78f42,https://cards.scryfall.io/normal/front/f/8/f87ace53-d77c-4df5-b200-4be2ac2b7fdb.jpg?1562279118,Enchantment,Blackie del Rio
Chronatog,2,1997,2.59,#341aff,https://cards.scryfall.io/normal/front/0/5/05ada02f-04e9-4269-b04a-97a7eaac2c46.jpg?1562276952,Creature — Atog,Christopher Rush
City of Solitude,3,1997,18.88,#087500,https://cards.scryfall.io/normal/front/b/e/be499b81-bb2d-4f1d-9deb-c8bfcdca8e13.jpg?1562278627,Enchantment,Romas Kukalis
Corrosion,3,1997,3.14,#d78f42,https://cards.scryfall.io/normal/front/1/7/176122b2-f60f-4150-8c0c-757c8f8914d2.jpg?1562276973,Enchantment,Michael Danza
Desertion,5,1997,4.11,#341aff,https://cards.scryfall.io/normal/front/9/a/9a2a1779-af08-4a9a-aba4-e6892ce2332c.jpg?1562278155,Instant,Richard Kane Ferguson
Diamond Kaleidoscope,4,1997,1.95,#8c8d8b,https://cards.scryfall.io/normal/front/5/4/548ff852-274d-4068-818d-58a883e74a5f.jpg?1562277664,Artifact,Ron Spencer
Elkin Lair,4,1997,2.89,#ff1a1a,https://cards.scryfall.io/normal/front/b/c/bcb625ba-3718-4988-962c-bf2e11eb4c16.jpg?1562278626,World Enchantment,Jerry Tiritilli
Equipoise,3,1997,3.77,#ffffff,https://cards.scryfall.io/normal/front/5/3/53783312-3551-4361-ab02-c9651ce2a926.jpg?1562277662,Enchantment,Adam Rex
Eye of Singularity,4,1997,3.65,#ffffff,https://cards.scryfall.io/normal/front/f/a/fa84e4ad-738a-4d23-a84c-06c39ff4200b.jpg?1562279120,World Enchantment,Eric Peterson
Femeref Enchantress,2,1997,8.08,#d78f42,https://cards.scryfall.io/normal/front/2/0/20ba72c7-7957-4d02-b41e-c0132fe1f2e6.jpg?1587913137,Creature — Human Druid,D. Alexander Gregory
Firestorm Hellkite,6,1997,1.42,#d78f42,https://cards.scryfall.io/normal/front/d/e/def23574-4a41-4323-84d9-49f58b2ca322.jpg?1562278658,Creature — Dragon,Pete Venters
Flooded Shoreline,2,1997,1.78,#341aff,https://cards.scryfall.io/normal/front/4/9/49db9f58-380f-496e-9d3d-6776d30fb564.jpg?1587913226,Enchantment,Romas Kukalis
Forbidden Ritual,4,1997,4.87,#000000,https://cards.scryfall.io/normal/front/f/5/f5327e6d-db4e-4b44-a00e-b764e80b8946.jpg?1562279116,Sorcery,Christopher Rush
Griffin Canyon,0,1997,16.43,#8c8d8b,https://cards.scryfall.io/normal/front/7/0/705d8194-3ad0-41b7-ae32-9c0cd8cd46b9.jpg?1562277685,Land,Stuart Griffin
Guiding Spirit,3,1997,3.0,#d78f42,https://cards.scryfall.io/normal/front/5/f/5f96d184-0ef8-40f7-98bc-bd4c53c57072.jpg?1587913153,Creature — Angel Spirit,Terese Nielsen
Kaervek's Spite,3,1997,2.28,#000000,https://cards.scryfall.io/normal/front/d/3/d385b9e5-e13d-4098-ba74-ea55bde164d9.jpg?1562278645,Instant,Bryan Talbot
Katabatic Winds,3,1997,1.59,#087500,https://cards.scryfall.io/normal/front/9/7/97b34ce8-1eb2-44eb-813a-09d0308e27a0.jpg?1562278154,Enchantment,Gary Gianni
Kookus,5,1997,0.98,#ff1a1a,https://cards.scryfall.io/normal/front/8/f/8fb90922-99d2-4b36-9039-bb806fd01756.jpg?1562278151,Creature — Djinn,Scott Hampton
Lichenthrope,5,1997,1.24,#087500,https://cards.scryfall.io/normal/front/7/6/76f0c356-a81d-41d4-a8b7-8c159146a8b8.jpg?1562277692,Creature — Plant Fungus,Bob Eggleton
Lightning Cloud,4,1997,0.92,#ff1a1a,https://cards.scryfall.io/normal/front/7/f/7fcfc2ad-a1a4-4f65-a239-f11383aaafe1.jpg?1562278141,Enchantment,John Matson
Natural Order,4,1997,14.22,#087500,https://cards.scryfall.io/normal/front/0/8/0845f0b0-9413-4ddd-861d-9607636bebc6.jpg?1562276959,Sorcery,Terese Nielsen
Necrosavant,6,1997,0.34,#000000,https://cards.scryfall.io/normal/front/e/7/e70cd5fa-ae66-4ea4-90d2-28af2aa34dd4.jpg?1562279098,Creature — Zombie Giant,John Coulthart
Ogre Enforcer,5,1997,1.07,#ff1a1a,https://cards.scryfall.io/normal/front/b/0/b0f072d6-7489-4eb0-8c53-1fa42ad806a4.jpg?1562278177,Creature — Ogre,Pete Venters
Phyrexian Marauder,0,1997,2.07,#8c8d8b,https://cards.scryfall.io/normal/front/2/9/29a75dc8-1c24-4063-8944-d7e71b4a5755.jpg?1562277418,Artifact Creature — Phyrexian Construct,David Seeley
Pillar Tombs of Aku,4,1997,1.59,#000000,https://cards.scryfall.io/normal/front/1/5/153f93fd-4f2c-4dce-a774-4483031ed532.jpg?1562276972,World Enchantment,Terese Nielsen
Pygmy Hippo,2,1997,3.91,#d78f42,https://cards.scryfall.io/normal/front/2/e/2e3f6220-6ead-46b4-8663-57609ef5a12e.jpg?1562277425,Creature — Hippo,Steve White
Quirion Druid,3,1997,4.35,#087500,https://cards.scryfall.io/normal/front/8/c/8ca5319a-5c26-487f-ba87-d317633122ba.jpg?1562278148,Creature — Elf Druid,John Matson
Rainbow Efreet,4,1997,2.23,#341aff,https://cards.scryfall.io/normal/front/1/d/1d6f03a6-3665-40e4-ae68-640913972770.jpg?1562276977,Creature — Efreet,Nathalie Hertz
Relentless Assault,4,1997,4.19,#ff1a1a,https://cards.scryfall.io/normal/front/7/4/747161ea-cb65-4960-84dd-a05bfe5f3ba0.jpg?1562277689,Sorcery,Geofrey Darrow & I. Rabarot
Retribution of the Meek,3,1997,9.97,#ffffff,https://cards.scryfall.io/normal/front/8/6/860b8633-1bfc-426a-8666-5e6a584d4525.jpg?1587857186,Sorcery,Nathalie Hertz
Righteous War,3,1997,4.05,#d78f42,https://cards.scryfall.io/normal/front/b/b/bbcacb8e-1aff-4807-b70c-a17d6703d279.jpg?1562278624,Enchantment,Ian Miller
