name,cmc,release_year,price,color,image,type_line,artist
Angel of Flight Alabaster,5,2021,0.13,#ffffff,https://cards.scryfall.io/normal/front/3/f/3ff8fbcd-5db9-4cde-9f56-243b1f4924f8.jpg?1649691387,Creature — Angel,Howard Lyon
Anje's Ravager,3,2021,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/4/2/4230560e-51b2-459d-86b9-8509a8b5b99d.jpg?1641603006,Creature — Vampire Berserker,Antonio José Manzanedo
Anowon- the Ruin Sage,5,2021,0.35,#000000,https://cards.scryfall.io/normal/front/b/8/b8630ae1-8fe9-4d6e-899b-a28d86d4d729.jpg?1641602275,Legendary Creature — Vampire Shaman,Dan Scott
Arterial Alchemy,3,2021,0.14,#ff1a1a,https://cards.scryfall.io/normal/front/a/f/afe2dba0-55f4-460c-aa89-3921414e7ea1.jpg?1641600787,Enchantment,Caio Monteiro
Avacyn's Judgment,2,2021,0.06,#ff1a1a,https://cards.scryfall.io/normal/front/2/6/2642eb44-becf-4e99-934f-7241fcc32dee.jpg?1641603042,Sorcery,Victor Adame Minguez
Benevolent Offering,4,2021,0.27,#ffffff,https://cards.scryfall.io/normal/front/d/0/d080c35d-f2c6-4f4e-8f7c-305b319d4cde.jpg?1641601037,Instant,Ryan Yee
Blasphemous Act,9,2021,2.12,#ff1a1a,https://cards.scryfall.io/normal/front/6/5/65254343-8b47-49b9-8834-b71bd11f4ab7.jpg?1641603073,Sorcery,Daarken
Bloodlord of Vaasgoth,5,2021,0.25,#000000,https://cards.scryfall.io/normal/front/5/1/510c65ea-7c9f-461f-b038-ef119db1ca30.jpg?1641602372,Creature — Vampire Warrior,Greg Staples
Bloodsworn Steward,4,2021,0.13,#ff1a1a,https://cards.scryfall.io/normal/front/4/0/4023f86a-91af-439b-b591-8bb621255eee.jpg?1641603118,Creature — Vampire Knight,Daarken
Bloodtracker,4,2021,0.14,#000000,https://cards.scryfall.io/normal/front/f/2/f27d34c1-2d78-48b4-baa2-51be778e8b3d.jpg?1641602404,Creature — Vampire Wizard,Magali Villeneuve
Boreas Charger,3,2021,0.11,#ffffff,https://cards.scryfall.io/normal/front/3/c/3cab81be-47d7-4f76-b031-072ac1a7fbc2.jpg?1641601065,Creature — Pegasus,Christine Choi
Breathkeeper Seraph,6,2021,1.3,#ffffff,https://cards.scryfall.io/normal/front/9/9/992244dc-d988-41ce-9e3d-cd8034ccc50f.jpg?1644888580,Creature — Angel,Alexander Mokhov
Breath of the Sleepless,4,2021,0.09,#341aff,https://cards.scryfall.io/normal/front/8/c/8c59af37-5c01-4f65-97f6-2478aa29949a.jpg?1641600404,Enchantment,Robin Olausson
Butcher of Malakir,7,2021,0.2,#000000,https://cards.scryfall.io/normal/front/3/1/3140d5af-41e9-4009-9412-294ab71856ac.jpg?1641602435,Creature — Vampire Warrior,Jason Chan
