name,cmc,release_year,price,color,image
Alchemist's Gambit,3,2021,0.22,#d78f42,https://cards.scryfall.io/normal/front/a/8/a8fbf5d3-4677-4bf0-891f-57d6dcddaff7.jpg?1643590637
Anje- Maid of Dishonor,4,2021,0.24,#d78f42,https://cards.scryfall.io/normal/front/1/b/1bfac4ab-97f1-448c-8554-42ed03eb5656.jpg?1643593763
Ascendant Packleader,1,2021,0.32,#087500,https://cards.scryfall.io/normal/front/1/4/142c5b67-5de9-41da-b57f-7ce771457a3e.jpg?1643592260
Avabruck Caretaker // Hollowhenge Huntmaster,6,2021,7.13,#087500,https://cards.scryfall.io/normal/front/3/2/32af9f41-89e2-4e7a-9fec-fffe79cae077.jpg?1641306082
Bloodvial Purveyor,4,2021,0.17,#000000,https://cards.scryfall.io/normal/front/4/8/4889c58b-8b84-42af-a56c-e886655aa997.jpg?1665157285
By Invitation Only,5,2021,0.37,#ffffff,https://cards.scryfall.io/normal/front/4/6/46764e49-64da-4a94-b61c-75e006b2c5a9.jpg?1643585907
Cemetery Desecrator,6,2021,0.25,#000000,https://cards.scryfall.io/normal/front/4/8/48da33b1-d59c-43f1-8e55-480096b674e5.jpg?1643589320
Cemetery Gatekeeper,2,2021,2.32,#ff1a1a,https://cards.scryfall.io/normal/front/4/5/457086c4-1b4e-4f79-8f2a-10b16174c8bb.jpg?1643590978
Cemetery Illuminator,3,2021,2.86,#341aff,https://cards.scryfall.io/normal/front/5/f/5f619464-dc3b-4265-b4e4-2578034bf5bf.jpg?1643587572
Cemetery Protector,4,2021,1.04,#ffffff,https://cards.scryfall.io/normal/front/c/0/c00731eb-69fe-42f3-9919-66a4cdec00f7.jpg?1643585934
Cemetery Prowler,3,2021,2.84,#087500,https://cards.scryfall.io/normal/front/b/1/b124ccc4-76e3-41a4-92b2-8f1d06ea9cb8.jpg?1643592411
Chandra- Dressed to Kill,3,2021,12.68,#ff1a1a,https://cards.scryfall.io/normal/front/6/8/681f7c73-92c6-47ba-af56-3ff032ac12da.jpg?1643596175
Change of Fortune,4,2021,0.2,#ff1a1a,https://cards.scryfall.io/normal/front/6/3/63ca5ce5-94e7-43a1-8f2b-f0a4532f617a.jpg?1643591003
Concealing Curtains // Revealing Eye,1,2021,0.17,#000000,https://cards.scryfall.io/normal/front/0/2/02cb5cfd-018e-4c5e-bef1-166262aa5f1d.jpg?1641306156
Consuming Tide,4,2021,0.28,#341aff,https://cards.scryfall.io/normal/front/5/8/5865f0f1-28a6-49ac-b61e-135845075d1f.jpg?1643587654
Creepy Puppeteer,4,2021,0.08,#ff1a1a,https://cards.scryfall.io/normal/front/0/b/0bd17b9f-fd93-47d4-9cc4-cd333d0004f5.jpg?1643591028
Cultivator Colossus,7,2021,15.15,#087500,https://cards.scryfall.io/normal/front/6/2/62dffe04-c431-440d-a8da-33c74b4bb683.jpg?1643592511
Curse of Hospitality,3,2021,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/4/5/45bcb839-4cff-4349-9892-0c76ae81929c.jpg?1643591074
Deathcap Glade,0,2021,6.58,#d78f42,https://cards.scryfall.io/normal/front/d/5/d5523659-98a8-4ae2-9ec7-d77e7352c374.jpg?1655879791
Demonic Bargain,3,2021,0.16,#000000,https://cards.scryfall.io/normal/front/8/0/80c3741e-cf04-4aa2-a6a9-ce19f043b22c.jpg?1643589414
Dig Up,1,2021,1.55,#d78f42,https://cards.scryfall.io/normal/front/8/f/8f14c947-2452-4fd6-8f1a-391cf5898100.jpg?1643592557
Dollhouse of Horrors,5,2021,0.18,#8c8d8b,https://cards.scryfall.io/normal/front/3/9/396abc9e-a738-430d-85cc-448ace2548f9.jpg?1643594665
Dominating Vampire,3,2021,0.17,#ff1a1a,https://cards.scryfall.io/normal/front/4/b/4b11d234-c6e4-45b2-a3c2-dcacc77cc084.jpg?1643591128
Dorothea- Vengeful Victim // Dorothea's Retribution,2,2021,0.24,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Dreadfeast Demon,7,2021,0.22,#000000,https://cards.scryfall.io/normal/front/2/6/269199ea-2106-4299-ade0-10cce1320434.jpg?1643589589
Dreamroot Cascade,0,2021,4.97,#d78f42,https://cards.scryfall.io/normal/front/e/b/eb604455-c411-414d-a2ef-e7567ee86a4d.jpg?1655879797
Dreamshackle Geist,3,2021,0.21,#341aff,https://cards.scryfall.io/normal/front/1/b/1b81d90b-708a-48c9-a478-e3b0a3d7e982.jpg?1643587791
Dying to Serve,3,2021,0.23,#000000,https://cards.scryfall.io/normal/front/c/2/c2ea16cd-801e-478a-b924-5431582b70d1.jpg?1643589617
Edgar- Charmed Groom // Edgar Markov's Coffin,4,2021,0.8,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Eruth- Tormented Prophet,3,2021,0.16,#d78f42,https://cards.scryfall.io/normal/front/9/f/9f764077-df2d-4ac7-b507-2c8e08386d49.jpg?1643594095
Faithbound Judge // Sinner's Judgment,3,2021,1.9,#ffffff,https://cards.scryfall.io/normal/front/a/9/a9891b7b-fc52-470c-9f74-292ae665f378.jpg?1641306232
Falkenrath Forebear,3,2021,0.21,#000000,https://cards.scryfall.io/normal/front/4/5/451559d0-b62d-4757-8eb5-f6b0e240899c.jpg?1643589670
Geralf- Visionary Stitcher,3,2021,0.38,#341aff,https://cards.scryfall.io/normal/front/6/9/69890076-9cc4-434f-8618-63b00fdf4515.jpg?1643587870
Glorious Sunrise,5,2021,0.47,#087500,https://cards.scryfall.io/normal/front/a/2/a2caf73e-c3eb-4fa8-996a-d3d18b2ffaeb.jpg?1643592660
Graf Reaver,2,2021,0.11,#000000,https://cards.scryfall.io/normal/front/0/b/0bb2103b-3462-4439-a1e1-243a15c5f318.jpg?1643589790
Grolnok- the Omnivore,4,2021,0.22,#d78f42,https://cards.scryfall.io/normal/front/7/a/7aaba76b-9cec-4c2b-b0eb-8f44201f6422.jpg?1643594120
Halana and Alena- Partners,4,2021,0.42,#d78f42,https://cards.scryfall.io/normal/front/6/0/608fa232-f5fe-4c58-9efe-fb780f454b19.jpg?1643594145
Hallowed Haunting,4,2021,7.75,#ffffff,https://cards.scryfall.io/normal/front/6/7/674c0a50-9c37-4c29-84d8-eb3e34f34d37.jpg?1643586385
Hamlet Vanguard,3,2021,0.14,#087500,https://cards.scryfall.io/normal/front/f/3/f31e108b-8cb5-4f30-b68b-274aa7ac2a81.jpg?1643592687
Headless Rider,3,2021,1.92,#000000,https://cards.scryfall.io/normal/front/c/2/c24018e8-b8f1-44a5-9355-8b79f363569d.jpg?1643589870
Henrika Domnathi // Henrika- Infernal Seer,4,2021,0.78,#000000,https://cards.scryfall.io/normal/front/0/2/02cb5cfd-018e-4c5e-bef1-166262aa5f1d.jpg?1641306156
