name,cmc,release_year,price,color,image
Ajani- the Greathearted,4,2019,0.85,#d78f42,None
Awakening of Vitu-Ghazi,5,2019,0.18,#087500,None
Bioessence Hydra,5,2019,0.14,#d78f42,None
Blast Zone,0,2019,2.43,#8c8d8b,None
Bolas's Citadel,6,2019,6.68,#000000,None
Casualties of War,6,2019,1.06,#d78f42,None
Chandra- Fire Artisan,4,2019,0.35,#ff1a1a,None
Command the Dreadhorde,6,2019,0.42,#000000,None
Commence the Endgame,6,2019,0.14,#341aff,None
Deliver Unto Evil,3,2019,0.11,#000000,None
Domri- Anarch of Bolas,3,2019,1.54,#d78f42,None
Dreadhorde Arcanist,2,2019,1.69,#ff1a1a,None
Dreadhorde Butcher,2,2019,0.27,#d78f42,None
Dreadhorde Invasion,2,2019,0.38,#000000,None
Enter the God-Eternals,5,2019,0.19,#d78f42,None
Fblthp- the Lost,2,2019,0.28,#341aff,None
Feather- the Redeemed,3,2019,0.94,#d78f42,None
Finale of Devastation,2,2019,35.1,#087500,None
Finale of Eternity,2,2019,1.01,#000000,None
Finale of Glory,2,2019,4.24,#ffffff,None
Finale of Promise,2,2019,1.64,#ff1a1a,None
Finale of Revelation,2,2019,5.85,#341aff,None
Gideon Blackblade,3,2019,1.71,#ffffff,None
Gideon's Battle Cry,4,2019,0.16,#ffffff,None
God-Eternal Bontu,5,2019,4.02,#000000,None
God-Eternal Kefnet,4,2019,3.29,#341aff,None
God-Eternal Oketra,5,2019,9.61,#ffffff,None
God-Eternal Rhonas,5,2019,6.48,#087500,None
Ignite the Beacon,5,2019,0.15,#ffffff,None
Ilharg- the Raze-Boar,5,2019,4.99,#ff1a1a,None
Jace's Ruse,5,2019,0.15,#341aff,None
Jace- Wielder of Mysteries,4,2019,5.7,#341aff,None
Karn's Bastion,0,2019,3.28,#8c8d8b,None
Karn- the Great Creator,4,2019,16.09,#8c8d8b,None
Krenko- Tin Street Kingpin,3,2019,1.49,#ff1a1a,None
Liliana- Dreadhorde General,6,2019,21.7,#000000,None
Living Twister,3,2019,0.14,#d78f42,None
Massacre Girl,5,2019,0.44,#000000,None
Mizzium Tank,3,2019,0.12,#ff1a1a,None
Mobilized District,0,2019,0.13,#8c8d8b,None
Narset's Reversal,2,2019,3.9,#341aff,None
Neheb- Dreadhorde Champion,4,2019,0.5,#ff1a1a,None
Nicol Bolas- Dragon-God,5,2019,10.95,#d78f42,None
Nissa- Who Shakes the World,5,2019,5.02,#087500,None
Niv-Mizzet Reborn,5,2019,3.02,#d78f42,None
Oath of Kaya,3,2019,0.25,#d78f42,None
Parhelion II,8,2019,1.18,#ffffff,None
Planewide Celebration,7,2019,0.42,#087500,None
Ral- Storm Conduit,4,2019,1.72,#d78f42,None
Ravnica at War,4,2019,0.21,#ffffff,None
Roalesk- Apex Hybrid,5,2019,0.5,#d78f42,None
Role Reversal,3,2019,0.21,#d78f42,None
Sarkhan the Masterless,5,2019,0.45,#ff1a1a,None
Silent Submersible,2,2019,0.17,#341aff,None
Single Combat,5,2019,0.36,#ffffff,None
Solar Blaze,4,2019,0.23,#d78f42,None
Sorin- Vengeful Bloodlord,4,2019,0.86,#d78f42,None
Soul Diviner,2,2019,0.13,#d78f42,None
Spark Double,4,2019,9.96,#341aff,None
Storrev- Devkarin Lich,4,2019,0.26,#d78f42,None
Tamiyo- Collector of Tales,4,2019,0.32,#d78f42,None
Teferi- Time Raveler,3,2019,13.03,#d78f42,None
The Elderspell,2,2019,0.49,#000000,None
Time Wipe,5,2019,0.24,#d78f42,None
Tolsimir- Friend to Wolves,5,2019,0.3,#d78f42,None
Tomik- Distinguished Advokist,2,2019,0.22,#ffffff,None
Ugin- the Ineffable,6,2019,3.64,#8c8d8b,None
Vivien- Champion of the Wilds,3,2019,0.63,#087500,None
Vivien's Arkbow,2,2019,0.2,#087500,None
Widespread Brutality,4,2019,0.09,#d78f42,None
