name,cmc,release_year,price,color,image,type_line,artist
Aggravated Assault,3,2023,12.14,#ff1a1a,https://cards.scryfall.io/normal/front/0/1/01499449-5614-428f-8fc1-1fa74f7114ad.jpg?1692932609,Enchantment,Maihope
As Foretold,3,2023,0.29,#341aff,https://cards.scryfall.io/normal/front/3/0/306937c6-0eb3-43d3-bd71-40ef7cefa9e6.jpg?1692932220,Enchantment,Aeron Ng
Bitterblossom,2,2023,14.02,#000000,https://cards.scryfall.io/normal/front/b/d/bdf9661d-b581-4496-9004-f292d9ac03ef.jpg?1692932415,Kindred Enchantment — Faerie,Serena Malyon
Blind Obedience,2,2023,1.73,#ffffff,https://cards.scryfall.io/normal/front/1/c/1cb0ea8e-0707-46a8-9dc6-77c17244fd7b.jpg?1694188834,Enchantment,Olena Richards
Blood Moon,3,2023,6.19,#ff1a1a,https://cards.scryfall.io/normal/front/b/0/b0dbdacf-59b5-46fc-9635-fd4fb1527189.jpg?1692948785,Enchantment,William Phifer
Copy Enchantment,3,2023,0.55,#341aff,https://cards.scryfall.io/normal/front/3/6/36924d70-5ede-4eed-a7db-7bc74d3eede9.jpg?1697476131,Enchantment,Abigail Larson
Dawn of Hope,2,2023,0.18,#ffffff,https://cards.scryfall.io/normal/front/d/e/de36ecaa-62e0-4f1c-b07f-837a786dc897.jpg?1692932039,Enchantment,Maël Ollivier-Henry
Defense of the Heart,4,2023,14.52,#087500,https://cards.scryfall.io/normal/front/6/1/61c15767-1ddd-4bea-a23e-1598708434f6.jpg?1692932786,Enchantment,Olena Richards
Doubling Season,5,2023,30.42,#087500,https://cards.scryfall.io/normal/front/c/7/c7d7db76-0a0c-444f-96f1-559838450549.jpg?1692932801,Enchantment,Eva Eskelinen
Fiery Emancipation,6,2023,5.93,#ff1a1a,https://cards.scryfall.io/normal/front/8/8/8801efe9-e141-4790-9d97-af8fc0222833.jpg?1692932656,Enchantment,Harry Conway
Forced Fruition,6,2023,0.35,#341aff,https://cards.scryfall.io/normal/front/b/8/b8281681-a243-4995-8657-c3730aa67c57.jpg?1692934382,Enchantment,Shafer Brown
Fraying Sanity,3,2023,0.12,#341aff,https://cards.scryfall.io/normal/front/3/0/303ecebb-cadc-465a-8ef8-7b314f971f6c.jpg?1694188836,Enchantment — Aura Curse,Meel Tamphanon
Goblin Bombardment,2,2023,3.16,#ff1a1a,https://cards.scryfall.io/normal/front/e/9/e92af114-ad34-4106-a7fa-5676dbcd4960.jpg?1692932670,Enchantment,Shafer Brown
Grave Pact,4,2023,16.52,#000000,https://cards.scryfall.io/normal/front/b/7/b728cdab-e4fe-478b-b7b2-5912bd6a80a3.jpg?1692932447,Enchantment,Zach Alexander
Greater Auramancy,2,2023,9.71,#ffffff,https://cards.scryfall.io/normal/front/7/0/7088f502-662e-4083-b9b2-fdc0574592cd.jpg?1692932072,Enchantment,Meel Tamphanon
Hardened Scales,1,2023,2.55,#087500,https://cards.scryfall.io/normal/front/d/2/d2d1bfab-25b4-474b-bdab-ac18215f1920.jpg?1692932847,Enchantment,Abigail Larson
Intruder Alarm,3,2023,1.17,#341aff,https://cards.scryfall.io/normal/front/0/c/0c7eafcf-49aa-4134-b2d8-d9804160bcca.jpg?1692948844,Enchantment,Francoyovich
Karmic Justice,3,2023,0.46,#ffffff,https://cards.scryfall.io/normal/front/4/5/45078d81-91ea-402c-ab3c-8464fc2ebb42.jpg?1703849303,Enchantment,Matteo Marjoram
Kindred Discovery,5,2023,6.55,#341aff,https://cards.scryfall.io/normal/front/0/d/0db7f9e6-4f27-4743-a456-1386f24dbd5f.jpg?1692973549,Enchantment,Serena Malyon
Land Tax,1,2023,18.08,#ffffff,https://cards.scryfall.io/normal/front/c/b/cb8796fd-ebf4-4fe3-b785-f48c65ff8257.jpg?1692948867,Enchantment,Francoyovich
Leyline of Abundance,4,2023,0.23,#087500,https://cards.scryfall.io/normal/front/6/0/607157a4-4fe8-46b9-86e1-0a30f040116b.jpg?1692932861,Enchantment,BEMOCS
Leyline of Anticipation,4,2023,1.98,#341aff,https://cards.scryfall.io/normal/front/d/7/d789703e-81ae-48a7-8831-201ccdec5eba.jpg?1694564324,Enchantment,Matteo Bassini
Leyline of Lightning,4,2023,0.21,#ff1a1a,https://cards.scryfall.io/normal/front/d/1/d1670149-b64b-44a8-8858-59637679065c.jpg?1692932700,Enchantment,Sam Chivers
Leyline of Sanctity,4,2023,0.34,#ffffff,https://cards.scryfall.io/normal/front/d/f/dfaae165-add6-491f-9521-60e30accc528.jpg?1692932160,Enchantment,WFlemming Illustration
Leyline of the Void,4,2023,0.5,#000000,https://cards.scryfall.io/normal/front/0/3/034bfd23-8f10-4d98-9500-47d392531c69.jpg?1692932463,Enchantment,Matteo Marjoram
Mana Flare,3,2023,0.29,#ff1a1a,https://cards.scryfall.io/normal/front/3/f/3f0b8b24-7272-4d1a-af4a-c3a1b89a7e04.jpg?1692932714,Enchantment,Olena Richards
Nature's Will,4,2023,2.39,#087500,https://cards.scryfall.io/normal/front/c/e/ce7785c2-0b3f-4952-8b2d-71fe73cf64e0.jpg?1692932875,Enchantment,Matteo Bassini
Necropotence,3,2023,14.04,#000000,https://cards.scryfall.io/normal/front/f/f/ff727bfb-8cd8-43dd-afdf-eb74a4631eac.jpg?1692948899,Enchantment,Abigail Larson
Omniscience,10,2023,6.44,#341aff,https://cards.scryfall.io/normal/front/a/3/a3c11195-144e-44c4-aaa9-c534037748ea.jpg?1692932367,Enchantment,Justin Hernandez & Alexis Hernandez
