name,cmc,release_year,price,color,image,type_line,artist
Abyssal Persecutor,4,2010,1.76,#000000,https://cards.scryfall.io/normal/front/a/e/aee68b52-6377-419b-b772-2af1e57cbe5d.jpg?1562294002,Creature — Demon,Chippy
Admonition Angel,6,2010,1.15,#ffffff,https://cards.scryfall.io/normal/front/5/f/5feddbd0-3d29-4428-b70d-107c1e26930d.jpg?1562288309,Creature — Angel,Steve Argyle
Agadeem Occultist,3,2010,0.27,#000000,https://cards.scryfall.io/normal/front/c/5/c592ef76-d612-4cfe-b906-0e63c44d36f8.jpg?1562295659,Creature — Human Shaman Ally,Vance Kovacs
Amulet of Vigor,1,2010,27.61,#8c8d8b,https://cards.scryfall.io/normal/front/9/9/997bc933-ac30-477b-a4e1-5333b796a99d.jpg?1562292191,Artifact,Warren Mahy
Anowon- the Ruin Sage,5,2010,0.59,#000000,https://cards.scryfall.io/normal/front/7/b/7b247681-1cf6-42a0-ad44-76261c690596.jpg?1562290388,Legendary Creature — Vampire Shaman,Dan Scott
Archon of Redemption,5,2010,0.18,#ffffff,https://cards.scryfall.io/normal/front/1/f/1f7dfcf6-c41b-48d6-a3b4-4b4a7bed82eb.jpg?1562283218,Creature — Archon,Steven Belledin
Avenger of Zendikar,7,2010,4.23,#087500,https://cards.scryfall.io/normal/front/d/d/dde073e0-f329-4ab0-8e31-a48929e017ce.jpg?1562297643,Creature — Elemental,Zoltan Boros & Gabor Szikszai
Basilisk Collar,1,2010,2.87,#8c8d8b,https://cards.scryfall.io/normal/front/5/5/55cdba1b-7a80-435f-9cff-b9365f62e311.jpg?1562287734,Artifact — Equipment,Howard Lyon
Bazaar Trader,2,2010,2.45,#ff1a1a,https://cards.scryfall.io/normal/front/9/2/9235ef13-a363-4cab-b69d-39093a621a5c.jpg?1562291937,Creature — Goblin,Matt Cavotta
Butcher of Malakir,7,2010,0.51,#000000,https://cards.scryfall.io/normal/front/7/3/73131341-0fde-4eca-aefa-ce69c933af07.jpg?1562289898,Creature — Vampire Warrior,Jason Chan
Celestial Colonnade,0,2010,1.59,#d78f42,https://cards.scryfall.io/normal/front/f/6/f6929259-2903-4f6f-9b06-42048fd55c6a.jpg?1562299346,Land,Eric Deschamps
Chain Reaction,4,2010,0.46,#ff1a1a,https://cards.scryfall.io/normal/front/6/1/614b9df9-c959-4bdb-91c0-75ae60b724e4.jpg?1567754665,Sorcery,Trevor Claxton
Comet Storm,2,2010,0.94,#ff1a1a,https://cards.scryfall.io/normal/front/5/8/58d8b2c8-7afe-4299-b59b-8cd2cdc8d4cb.jpg?1562287814,Instant,Jung Park
Creeping Tar Pit,0,2010,0.79,#d78f42,https://cards.scryfall.io/normal/front/0/f/0f427f0b-034c-4821-8758-e395c0042d8a.jpg?1562282213,Land,Jason Felix
