cmc,price,color
5,21.64,#341aff
3,1.85,#341aff
0,35.59,#8c8d8b
2,0.27,#ffffff
4,0.33,#000000
3,5.9,#087500
1,2.66,#8c8d8b
1,29.12,#000000
2,9.7,#000000
6,1.18,#000000
6,1.96,#ffffff
6,5.0,#ff1a1a
5,0.35,#ffffff
1,0.46,#341aff
0,3.21,#000000
4,2.6,#ffffff
3,0.32,#ffffff
5,7.31,#8c8d8b
3,0.26,#ff1a1a
4,0.25,#ff1a1a
4,1.15,#ffffff
0,10.01,#ffffff
6,8.76,#8c8d8b
6,1.67,#ffffff
5,0.23,#087500
1,5.62,#ff1a1a
4,0.52,#8c8d8b
4,0.24,#000000
5,0.3,#000000
6,1.22,#ff1a1a
9,4.39,#ffffff
3,0.64,#ffffff
7,7.03,#000000
5,0.38,#ff1a1a
8,0.16,#ff1a1a
8,2.67,#341aff
2,7.58,#087500
3,1.25,#341aff
2,10.03,#ffffff
0,0.53,#341aff
5,1.16,#000000
0,39.22,#8c8d8b
4,18.59,#341aff
0,65.37,#8c8d8b
4,9.15,#087500
5,12.39,#000000
4,0.99,#ff1a1a
4,31.85,#087500
0,1.15,#087500
4,0.2,#087500
2,0.31,#ff1a1a
6,1.31,#087500
4,9.43,#341aff
6,12.21,#341aff
3,1.82,#000000
0,58.15,#8c8d8b
1,0.68,#087500
5,0.46,#341aff
6,9.36,#000000
6,0.16,#341aff
5,0.32,#341aff
6,0.42,#087500
6,0.28,#087500
5,0.98,#087500
0,16.04,#ff1a1a
0,50.15,#8c8d8b
2,6.58,#ff1a1a
5,0.33,#ffffff
