name,cmc,release_year,price,color,image,type_line,artist
Agadeem's Awakening // Agadeem- the Undercrypt,3,2020,17.63,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Sorcery // Land,Dmitry Burmak
Akiri- Fearless Voyager,3,2020,0.27,#d78f42,https://cards.scryfall.io/normal/front/6/9/69e42511-f653-4a6f-a5d4-50e21dfc8077.jpg?1604199975,Legendary Creature — Kor Warrior,Ekaterina Burmak
Ancient Greenwarden,6,2020,5.33,#087500,https://cards.scryfall.io/normal/front/d/f/dfe08e59-fdc4-436f-b05c-6ad386c46310.jpg?1604198488,Creature — Elemental,Grzegorz Rutkowski
Angel of Destiny,5,2020,4.74,#ffffff,https://cards.scryfall.io/normal/front/9/8/9897074a-0ac4-4d1a-9aac-e77830cc5c78.jpg?1604195368,Creature — Angel Cleric,Ryan Pancoast
Archon of Emeria,3,2020,2.15,#ffffff,https://cards.scryfall.io/normal/front/2/2/228c1650-da3c-4099-91b6-18e3873c9cdb.jpg?1604195419,Creature — Archon,Ryan Pancoast
Archpriest of Iona,1,2020,0.04,#ffffff,https://cards.scryfall.io/normal/front/f/7/f7dc61e4-46e3-473b-90f8-27e71e1088e8.jpg?1604195451,Creature — Human Cleric,Denman Rooke
Ashaya- Soul of the Wild,5,2020,12.27,#087500,https://cards.scryfall.io/normal/front/7/4/74943390-d25f-47cb-90bb-cbf70c87f4a2.jpg?1604198513,Legendary Creature — Elemental,Chase Stone
Branchloft Pathway // Boulderloft Pathway,0,2020,3.06,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Titus Lunter
Brightclimb Pathway // Grimclimb Pathway,0,2020,3.94,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Johannes Voss
Charix- the Raging Isle,4,2020,0.29,#341aff,https://cards.scryfall.io/normal/front/e/8/e83a6804-1e3c-428c-af5e-1d56ba11c108.jpg?1604193709,Legendary Creature — Leviathan Crab,Viktor Titov
Clearwater Pathway // Murkwater Pathway,0,2020,5.9,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Daarken
Confounding Conundrum,2,2020,0.14,#341aff,https://cards.scryfall.io/normal/front/9/5/95e37936-913e-4b16-a5a8-8aed733d702d.jpg?1604193855,Enchantment,Bryan Sola
Coralhelm Chronicler,3,2020,0.06,#341aff,https://cards.scryfall.io/normal/front/5/0/50b54524-8345-4b47-913f-d883a1cbe3a1.jpg?1604193917,Creature — Merfolk Wizard,Lie Setiawan
Coveted Prize,5,2020,0.23,#000000,https://cards.scryfall.io/normal/front/5/a/5afbc5d3-318f-4545-88d6-fc81e5466238.jpg?1604195385,Sorcery,Lie Setiawan
Cragcrown Pathway // Timbercrown Pathway,0,2020,4.73,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land // Land,Andreas Rocha
Cragplate Baloth,7,2020,0.12,#087500,https://cards.scryfall.io/normal/front/a/b/ab62382d-2dc9-4a60-b031-c845ebad0357.jpg?1604198667,Creature — Beast,Jesper Ejsing
Crawling Barrens,0,2020,0.25,#8c8d8b,https://cards.scryfall.io/normal/front/7/b/7bd0e025-7a75-4641-a51a-27df9dcde05f.jpg?1604264359,Land,Jonas De Ro
Drana- the Last Bloodchief,5,2020,1.37,#000000,https://cards.scryfall.io/normal/front/5/c/5cd4154e-7681-444b-a0f2-33e887791ba7.jpg?1612316219,Legendary Creature — Vampire Cleric,Tyler Jacobson
Emeria's Call // Emeria- Shattered Skyclave,7,2020,5.12,#ffffff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Sorcery // Land,Matt Stewart
Felidar Retreat,4,2020,0.88,#ffffff,https://cards.scryfall.io/normal/front/4/5/45340647-4d3e-4be1-b0e6-e40cc56a438b.jpg?1604195832,Enchantment,Ralph Horsley
Forsaken Monument,5,2020,5.93,#8c8d8b,https://cards.scryfall.io/normal/front/3/3/33568871-dab0-4c09-b9f0-0ae78a46a06d.jpg?1604200741,Legendary Artifact,Piotr Dura
Glasspool Mimic // Glasspool Shore,3,2020,3.32,#341aff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Shapeshifter Rogue // Land,Johan Grenier
