name,cmc,release_year,price,color,image,type_line,artist
Baku Altar,2,2005,3.02,#8c8d8b,https://cards.scryfall.io/normal/front/8/1/81e1dbb8-3df8-4e7e-b74b-baab7d6f97c1.jpg?1783944178,Artifact,Edward P. Beard, Jr.
Blazing Shoal,2,2005,5.4,#ff1a1a,https://cards.scryfall.io/normal/front/8/b/8b915daa-d239-4460-bd6b-e1327fdf7f51.jpg?1783944191,Instant — Arcane,Glen Angus
Chisei- Heart of Oceans,4,2005,1.47,#341aff,https://cards.scryfall.io/normal/front/6/c/6c359b1a-d441-4763-96c7-e5c010eae53f.jpg?1783944209,Legendary Creature — Spirit,Matt Cavotta
Clash of Realities,4,2005,0.43,#ff1a1a,https://cards.scryfall.io/normal/front/0/6/064dcfb2-6088-49c9-89b2-88d63c9add53.jpg?1783944191,Enchantment,Jim Nelson
Day of Destiny,4,2005,0.73,#ffffff,https://cards.scryfall.io/normal/front/9/9/99f49ff1-54f6-4825-987b-c50a152f7275.jpg?1783944216,Legendary Enchantment,Daren Bader
Disrupting Shoal,2,2005,13.49,#341aff,https://cards.scryfall.io/normal/front/1/5/15589745-4c0a-4edf-ad45-3b7fa45e70c5.jpg?1783944208,Instant — Arcane,Scott M. Fischer
Enshrined Memories,1,2005,0.74,#087500,https://cards.scryfall.io/normal/front/a/e/aeefab6e-582a-42bb-bb27-d6aadd1d35c5.jpg?1783944185,Sorcery,Jeff Easley
Final Judgment,6,2005,1.1,#ffffff,https://cards.scryfall.io/normal/front/2/5/2503e136-031f-498a-b042-4077baebe8f8.jpg?1783944215,Sorcery,Kev Walker
Fumiko the Lowblood,4,2005,0.92,#ff1a1a,https://cards.scryfall.io/normal/front/4/8/482678b8-bce6-4847-9f43-1761d61645d8.jpg?1783944191,Legendary Creature — Human Samurai,Michael Sutfin
Genju of the Realm,5,2005,4.21,#d78f42,https://cards.scryfall.io/normal/front/e/9/e9eb7b9b-5189-4d20-8dec-e9d3df63e26e.jpg?1783944179,Legendary Enchantment — Aura,Scott M. Fischer
Goryo's Vengeance,2,2005,17.3,#000000,https://cards.scryfall.io/normal/front/3/0/3027e6c5-eed3-44e7-bb12-67569721af99.jpg?1783944199,Instant — Arcane,Ittoku
Heartless Hidetsugu,5,2005,2.91,#ff1a1a,https://cards.scryfall.io/normal/front/4/a/4a3ab177-d9ab-46bf-bd92-20a9ecf2d0ad.jpg?1783944189,Legendary Creature — Ogre Shaman,Carl Critchlow
Hero's Demise,2,2005,1.29,#000000,https://cards.scryfall.io/normal/front/d/2/d22dd514-814f-4a62-926d-fef311896c02.jpg?1783944199,Instant,Jim Nelson
Higure- the Still Wind,5,2005,19.24,#341aff,https://cards.scryfall.io/normal/front/7/4/743f3cf5-f8aa-49d4-947d-76b91799547a.jpg?1783944207,Legendary Creature — Human Ninja,Christopher Moeller
Hokori- Dust Drinker,4,2005,1.62,#ffffff,https://cards.scryfall.io/normal/front/5/a/5a03f5d5-d5c3-4a7d-8d44-e60b498b4ed5.jpg?1783944216,Legendary Creature — Spirit,Darrell Riche
Ink-Eyes- Servant of Oni,6,2005,10.78,#000000,https://cards.scryfall.io/normal/front/3/8/386d391d-a3f8-49a4-802a-409944b2acf3.jpg?1783944198,Legendary Creature — Rat Ninja,Wayne Reynolds
In the Web of War,5,2005,0.87,#ff1a1a,https://cards.scryfall.io/normal/front/f/1/f12b7124-d9d0-480c-b622-777a74d4f679.jpg?1783944189,Enchantment,Ron Spencer
Isao- Enlightened Bushi,3,2005,0.83,#087500,https://cards.scryfall.io/normal/front/9/0/90334b59-73d8-4459-af59-d7a0539e2cc5.jpg?1783944184,Legendary Creature — Human Samurai,Christopher Moeller
Ishi-Ishi- Akki Crackshot,2,2005,0.42,#ff1a1a,https://cards.scryfall.io/normal/front/8/e/8e94fec2-dc56-4961-ba80-b9c904a345ab.jpg?1783944188,Legendary Creature — Goblin Warrior,Christopher Rush
Iwamori of the Open Fist,4,2005,0.53,#087500,https://cards.scryfall.io/normal/front/0/8/08c51fcf-ab5c-46fa-aa4b-14cd01c7a577.jpg?1783944184,Legendary Creature — Human Monk,Paolo Parente
Kentaro- the Smiling Cat,2,2005,2.16,#ffffff,https://cards.scryfall.io/normal/front/d/d/ddcea3b3-5852-4ae1-a952-7b392564cb9d.jpg?1783944214,Legendary Creature — Human Samurai,Donato Giancola
Kira- Great Glass-Spinner,3,2005,5.61,#341aff,https://cards.scryfall.io/normal/front/f/c/fc73a66f-4745-40c2-9c90-96396f6e7bce.jpg?1783944206,Legendary Creature — Spirit,Kev Walker
Kodama of the Center Tree,5,2005,0.38,#087500,https://cards.scryfall.io/normal/front/6/b/6b9264c5-1ecd-48cc-a12d-d4bd8050cfae.jpg?1783944184,Legendary Creature — Spirit,Jim Murray
Kyoki- Sanity's Eclipse,6,2005,1.22,#000000,https://cards.scryfall.io/normal/front/d/c/dc0969e6-f667-4e29-a038-8569022cce32.jpg?1783944198,Legendary Creature — Demon Spirit,Paolo Parente
Lifegift,3,2005,9.3,#087500,https://cards.scryfall.io/normal/front/2/7/27eaba1c-3137-4419-bf90-eb287a7c736e.jpg?1783944183,Enchantment,John Matson
Mannichi- the Fevered Dream,3,2005,0.64,#ff1a1a,https://cards.scryfall.io/normal/front/b/4/b403bdbb-13ab-43dd-a994-d45b994f6e0e.jpg?1783944188,Legendary Creature — Spirit,Martina Pilcerova
Mirror Gallery,5,2005,11.95,#8c8d8b,https://cards.scryfall.io/normal/front/0/0/00beba34-54cc-4a30-8424-71a1215647a6.jpg?1783944177,Artifact,Scott M. Fischer
Neko-Te,3,2005,5.07,#8c8d8b,https://cards.scryfall.io/normal/front/1/3/13884a26-1e30-40d7-ae38-494154a5cf85.jpg?1783944177,Artifact — Equipment,Alex Horley-Orlandelli
Nourishing Shoal,2,2005,1.37,#087500,https://cards.scryfall.io/normal/front/4/a/4a6af212-2a94-4ddf-acdc-d70fafa1c5ee.jpg?1783944181,Instant — Arcane,Greg Staples
Opal-Eye- Konda's Yojimbo,3,2005,3.75,#ffffff,https://cards.scryfall.io/normal/front/e/0/e08d5618-4fe0-4ae5-af16-696467aae02d.jpg?1783944212,Legendary Creature — Fox Samurai,Greg Staples
Orb of Dreams,3,2005,2.81,#8c8d8b,https://cards.scryfall.io/normal/front/5/f/5fbe52a3-f85e-4b3a-a345-413b64d69c49.jpg?1783944177,Artifact,Dany Orizio
Ornate Kanzashi,5,2005,0.34,#8c8d8b,https://cards.scryfall.io/normal/front/b/a/baeb4c10-59cb-4bc1-b824-6ec8edd6f45e.jpg?1783944177,Artifact,Heather Hudson
Oyobi- Who Split the Heavens,7,2005,0.4,#ffffff,https://cards.scryfall.io/normal/front/3/1/313bd276-2f69-447e-a2b1-240cf839614a.jpg?1783944211,Legendary Creature — Spirit,Christopher Moeller
Patron of the Akki,6,2005,0.38,#ff1a1a,https://cards.scryfall.io/normal/front/1/8/18325283-ace8-414b-bf48-2ed36b5a9c24.jpg?1783944187,Legendary Creature — Spirit,Jim Nelson
Patron of the Kitsune,6,2005,1.62,#ffffff,https://cards.scryfall.io/normal/front/1/0/102ee72e-5fb8-4059-9dfa-98004e222c27.jpg?1783944211,Legendary Creature — Spirit,Ben Thompson
Patron of the Moon,7,2005,3.63,#341aff,https://cards.scryfall.io/normal/front/5/e/5e5fcd6f-1653-44bf-a796-4c9ff9adf390.jpg?1783944204,Legendary Creature — Spirit,Scott M. Fischer
Patron of the Nezumi,7,2005,0.53,#000000,https://cards.scryfall.io/normal/front/6/2/622e5d64-11ec-4eb5-8160-b2fb8a333812.jpg?1783944198,Legendary Creature — Spirit,Kev Walker
Patron of the Orochi,8,2005,10.0,#087500,https://cards.scryfall.io/normal/front/6/d/6d6787c4-170a-45b6-8792-af3ea32ef538.jpg?1783944182,Legendary Creature — Spirit,Christopher Moeller
Reduce to Dreams,5,2005,0.58,#341aff,https://cards.scryfall.io/normal/front/1/0/10962b1b-4039-4d8a-88e0-fc67537920a9.jpg?1783944204,Sorcery,Daren Bader
Sakiko- Mother of Summer,6,2005,1.57,#087500,https://cards.scryfall.io/normal/front/7/7/774ec405-5127-4475-8c74-b8858bd84379.jpg?1783944181,Legendary Creature — Snake Shaman,Michael Sutfin
Shining Shoal,2,2005,1.85,#ffffff,https://cards.scryfall.io/normal/front/7/8/78ca16f8-336a-444b-9f78-e97a3f20a3bc.jpg?1783944211,Instant — Arcane,Ben Thompson
Shirei- Shizo's Caretaker,5,2005,0.95,#000000,https://cards.scryfall.io/normal/front/7/d/7db7ced3-08b8-4599-9f44-3c6c8f905c9b.jpg?1783944195,Legendary Creature — Spirit,Wayne Reynolds
Shizuko- Caller of Autumn,3,2005,3.98,#087500,https://cards.scryfall.io/normal/front/d/a/dab9407d-9389-4ec9-963c-80de095a6812.jpg?1783944180,Legendary Creature — Snake Shaman,Michael Sutfin
Sickening Shoal,2,2005,13.02,#000000,https://cards.scryfall.io/normal/front/d/9/d92f4129-19fc-4ee9-9e3d-77fcf1563e4b.jpg?1783944196,Instant — Arcane,Dan Murayama Scott
Slumbering Tora,3,2005,0.15,#8c8d8b,https://cards.scryfall.io/normal/front/e/3/e32ac983-a909-4342-882e-f3b7e2e064d8.jpg?1783944176,Artifact,Doug Chaffee
Sway of the Stars,10,2005,5.53,#341aff,https://cards.scryfall.io/normal/front/5/e/5eb58d9e-d181-4167-8b80-64b238183bdb.jpg?1783944203,Sorcery,Randy Gallegos
Tendo Ice Bridge,0,2005,1.74,#8c8d8b,https://cards.scryfall.io/normal/front/d/2/d246f521-b9a0-4b4f-b38c-0e4eb4066212.jpg?1783944176,Land,Rob Alexander
That Which Was Taken,5,2005,2.61,#8c8d8b,https://cards.scryfall.io/normal/front/d/8/d80c84ad-171f-42c3-94b4-a9fe25b877e7.jpg?1783944177,Legendary Artifact,Adam Rex
Threads of Disloyalty,3,2005,0.68,#341aff,https://cards.scryfall.io/normal/front/9/9/999440a5-9659-4218-8594-1950f1155975.jpg?1783944204,Enchantment — Aura,Anthony S. Waters
Tomorrow- Azami's Familiar,6,2005,1.12,#341aff,https://cards.scryfall.io/normal/front/0/9/095813f9-d559-40bd-a50f-7c1f6e494e60.jpg?1783944201,Legendary Creature — Spirit,Christopher Rush
Toshiro Umezawa,3,2005,5.03,#000000,https://cards.scryfall.io/normal/front/0/e/0e767e07-febd-4025-bf03-d4d816bc1d3d.jpg?1783944194,Legendary Creature — Human Samurai,Christopher Moeller
Twist Allegiance,7,2005,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/2/4/24b6607c-0c34-4ffc-b1b7-154417492766.jpg?1783944187,Sorcery,Wayne Reynolds
Umezawa's Jitte,2,2005,18.04,#8c8d8b,https://cards.scryfall.io/normal/front/3/b/3b6e5956-f795-451b-bb24-56462d1ced27.jpg?1783944176,Legendary Artifact — Equipment,Christopher Moeller
Yomiji- Who Bars the Way,7,2005,1.53,#ffffff,https://cards.scryfall.io/normal/front/f/6/f611af49-3c59-4365-a398-93f7e05ff0d0.jpg?1783944208,Legendary Creature — Spirit,Hideaki Takamura
Yukora- the Prisoner,4,2005,0.51,#000000,https://cards.scryfall.io/normal/front/5/4/54aeca31-1175-4d2d-adc3-e3682d7e9e07.jpg?1783944193,Legendary Creature — Demon Spirit,Tony Szczudlo
