name,cmc,release_year,price,color,image,type_line,artist
Abigale- Eloquent First-Year,2,2026,0.38,#d78f42,https://cards.scryfall.io/normal/front/b/f/bf708169-a307-494b-b8d8-baae53b2e2f2.jpg?1783904418,Legendary Creature — Bird Bard,Mark Zug
Adept Watershaper,3,2026,0.41,#ffffff,https://cards.scryfall.io/normal/front/6/e/6e53f246-8347-4632-9d5b-4aeb12f7b762.jpg?1783904512,Creature — Merfolk Cleric,Pauline Voss
Ajani- Outland Chaperone,3,2026,1.09,#ffffff,https://cards.scryfall.io/normal/front/6/1/6124a691-ae83-4d22-a177-0aee65b47064.jpg?1783904513,Legendary Planeswalker — Ajani,Daren Bader
Ashling- Rekindled // Ashling- Rimebound,2,2026,1.25,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Elemental Sorcerer // Legendary Creature — Elemental Wizard,Ilse Gort
Ashling's Command,5,2026,0.55,#d78f42,https://cards.scryfall.io/normal/front/f/e/fe3a421d-07b6-4b94-b177-aec44c7fe689.jpg?1783904419,Kindred Instant — Elemental,Iris Compiet
Aurora Awakener,7,2026,0.92,#087500,https://cards.scryfall.io/normal/front/9/1/913977c2-73f9-466b-bd01-827c1736e070.jpg?1783904435,Creature — Giant Druid,Paolo Parente
Bitterbloom Bearer,2,2026,14.13,#000000,https://cards.scryfall.io/normal/front/7/1/7127164d-f2a3-4d79-b6db-93507ff5ab47.jpg?1783904470,Creature — Faerie Rogue,Chris Rahn
Blood Crypt,0,2026,9.9,#d78f42,https://cards.scryfall.io/normal/front/6/d/6da63cc5-4624-4491-abd9-9b600c3fefe2.jpg?1783904396,Land — Swamp Mountain,Adam Paquette
Bloodline Bidding,8,2026,2.07,#000000,https://cards.scryfall.io/normal/front/8/7/877d9b75-ad2f-45a6-94d8-68e80d7db789.jpg?1783904470,Sorcery,Drew Baker
Bloom Tender,2,2026,12.67,#087500,https://cards.scryfall.io/normal/front/b/a/ba86688d-18f0-4b5c-a797-42bf125a6c9f.jpg?1783904436,Creature — Elf Druid,Nils Hamm
Bre of Clan Stoutarm,4,2026,0.31,#d78f42,https://cards.scryfall.io/normal/front/0/1/013cefb7-a059-45c2-81b0-187f35aac4a2.jpg?1783904415,Legendary Creature — Giant Warrior,Jesper Ejsing
Brigid- Clachan's Heart // Brigid- Doun's Mind,3,2026,0.49,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Kithkin Warrior // Legendary Creature — Kithkin Soldier,Zoltan Boros
Brigid's Command,3,2026,0.23,#d78f42,https://cards.scryfall.io/normal/front/c/f/cf034777-3da7-4d5c-9213-5e9d235c315a.jpg?1783904415,Kindred Sorcery — Kithkin,Sam Guay
Bristlebane Battler,2,2026,0.35,#087500,https://cards.scryfall.io/normal/front/c/8/c857fa32-1b5d-4139-8809-b4d0df44b472.jpg?1783904434,Creature — Kithkin Soldier,Steve Ellis
Catharsis,6,2026,0.52,#d78f42,https://cards.scryfall.io/normal/front/a/f/affb4500-2704-49fc-bbb4-02ed4bfb3b76.jpg?1783904415,Creature — Elemental Incarnation,Alex Horley-Orlandelli
Celestial Reunion,1,2026,0.87,#087500,https://cards.scryfall.io/normal/front/5/8/583b2863-aca1-4dab-9196-ea453b5d9454.jpg?1783904435,Sorcery,Justin Gerard
Champion of the Clachan,4,2026,0.19,#ffffff,https://cards.scryfall.io/normal/front/4/6/46ce3474-381c-433b-acd8-4e628d0048d2.jpg?1783904510,Creature — Kithkin Knight,Edgar Sánchez Hidalgo
Champion of the Path,4,2026,0.4,#ff1a1a,https://cards.scryfall.io/normal/front/e/3/e369cd31-3e22-47eb-bf6a-00d823651710.jpg?1783904447,Creature — Elemental Sorcerer,Tyler Walpole
Champion of the Weird,4,2026,0.24,#000000,https://cards.scryfall.io/normal/front/e/6/e600dd01-65ac-489c-a52a-decbc3a9a4f3.jpg?1783904467,Creature — Goblin Berserker,Lucas Graciano
Champions of the Perfect,4,2026,0.84,#087500,https://cards.scryfall.io/normal/front/4/f/4f359211-8be5-4818-b73c-14f24b7ddb21.jpg?1783904433,Creature — Elf Warrior,Chris Rahn
Champions of the Shoal,4,2026,0.21,#341aff,https://cards.scryfall.io/normal/front/e/1/e1acdd9c-4a6d-4373-950c-f5539b54679f.jpg?1783904491,Creature — Merfolk Soldier,Daniel Zrom
Chronicle of Victory,6,2026,20.25,#8c8d8b,https://cards.scryfall.io/normal/front/b/3/b3c2d68d-690b-41e7-99ed-2d20c7e0a9b4.jpg?1783904399,Legendary Artifact,Aldo Domínguez
Collective Inferno,5,2026,1.43,#ff1a1a,https://cards.scryfall.io/normal/front/1/e/1ec084cc-997d-4079-b445-8f701ec3c277.jpg?1783904449,Enchantment,Jason A. Engle
Curious Colossus,7,2026,0.69,#ffffff,https://cards.scryfall.io/normal/front/5/8/582b6e5d-0bab-471d-af4d-19438c5fd524.jpg?1783904510,Creature — Giant Warrior,Raoul Vitale
Dawnhand Dissident,1,2026,0.53,#000000,https://cards.scryfall.io/normal/front/6/a/6ac1f765-f348-4813-88dc-26376e0f3f33.jpg?1783904467,Creature — Elf Warlock,Jacob Walker
Deceit,6,2026,2.99,#d78f42,https://cards.scryfall.io/normal/front/b/d/bd82c9e4-9871-4e6d-b691-ee00b4b9a3c6.jpg?1783904420,Creature — Elemental Incarnation,Svetlin Velinov
Deepway Navigator,2,2026,0.23,#d78f42,https://cards.scryfall.io/normal/front/d/9/d988e28b-fa60-4b60-8229-7a15932c784b.jpg?1783904413,Creature — Merfolk Wizard,Jacob Walker
Disruptor of Currents,5,2026,0.31,#341aff,https://cards.scryfall.io/normal/front/4/c/4c6dbbaa-6844-4d7c-abbb-472a83bb99ab.jpg?1783904501,Creature — Merfolk Wizard,Pauline Voss
Doran- Besieged by Time,4,2026,0.61,#d78f42,https://cards.scryfall.io/normal/front/5/6/568aa70a-6765-486a-bd37-5d38b16c46de.jpg?1783904413,Legendary Creature — Treefolk Druid,Carl Critchlow
Dream Harvest,7,2026,0.35,#d78f42,https://cards.scryfall.io/normal/front/a/4/a4ebc0e7-02d7-4d38-9376-a39963e6d3fa.jpg?1783904413,Sorcery,Ben Hill
Eirdu- Carrier of Dawn // Isilu- Carrier of Twilight,5,2026,2.79,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Elemental God // Legendary Creature — Elemental God,Lucas Graciano
Emptiness,6,2026,0.99,#d78f42,https://cards.scryfall.io/normal/front/c/6/c6409eca-bef6-4f3a-8bbb-d69ec5dbfc13.jpg?1783904411,Creature — Elemental Incarnation,Ryan Pancoast
End-Blaze Epiphany,1,2026,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/0/f/0f0a90ae-b3b3-4f52-8997-eac514b29e57.jpg?1783904455,Instant,Tyler Walpole
Figure of Fable,1,2026,0.26,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0ef33dd-5f6d-48fa-8ef6-a8092868d50f.jpg?1783904409,Creature — Kithkin,Omar Rayyan
Flitterwing Nuisance,1,2026,0.4,#341aff,https://cards.scryfall.io/normal/front/a/d/ad0f6536-5295-4835-8883-35d711dfe6de.jpg?1783904491,Creature — Faerie Rogue,Evyn Fong
