name,cmc,release_year,price,color,image,type_line,artist
Absolute Virtue,8,2025,2.73,#d78f42,https://cards.scryfall.io/normal/front/a/a/aa192912-c9ee-403f-8a46-a338c9edb4b9.jpg?1783906576,Legendary Creature — Avatar Warrior,Toni Infante
Aerith Gainsborough,3,2025,1.56,#ffffff,https://cards.scryfall.io/normal/front/e/8/e86328b6-ded2-41df-8b6e-4a770e7b171e.jpg?1783906655,Legendary Creature — Human Cleric,Nakamura8
Aettir and Priwen,6,2025,10.52,#8c8d8b,https://cards.scryfall.io/normal/front/0/3/038710ca-c756-4e66-a9de-278e676c9f5b.jpg?1783906559,Legendary Artifact — Equipment,Vilhelmas Banys
Ancient Adamantoise,8,2025,3.38,#087500,https://cards.scryfall.io/normal/front/4/c/4c139f30-5ecd-48fd-ae7c-ec2cc98889ff.jpg?1783906591,Creature — Turtle,Kevin Glint
Ardyn- the Usurper,8,2025,1.0,#000000,https://cards.scryfall.io/normal/front/4/6/4627072e-9c72-4084-8021-690777342548.jpg?1783906624,Legendary Creature — Elder Human Noble,Russell Lu
A Realm Reborn,6,2025,0.37,#087500,https://cards.scryfall.io/normal/front/d/1/d1af74e4-38d5-44b5-85e1-4d13f6970453.jpg?1783906582,Enchantment,Anna Podedworna
Astrologian's Planisphere,2,2025,0.23,#341aff,https://cards.scryfall.io/normal/front/b/f/bfa4e927-1d6f-4a64-9801-7d168a5ef3f6.jpg?1783906640,Artifact — Equipment,Josephine Chang
Balamb Garden- SeeD Academy // Balamb Garden- Airborne,0,2025,0.31,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Land — Town // Legendary Artifact — Vehicle,Jonas De Ro
Balthier and Fran,3,2025,0.19,#d78f42,https://cards.scryfall.io/normal/front/a/f/afcaed7d-7ea3-4f2a-a7f5-ee3315226369.jpg?1783906576,Legendary Creature — Human Rabbit,Arif Wijaya
Bartz and Boko,5,2025,0.34,#087500,https://cards.scryfall.io/normal/front/d/8/d818d574-2832-4a7a-a13b-aa6e695fdaa5.jpg?1783906591,Legendary Creature — Human Bird,Ryuichi Sakuma
Beatrix- Loyal General,6,2025,0.78,#ffffff,https://cards.scryfall.io/normal/front/9/d/9da83b07-4978-4af7-be51-8aa8f35ec0bb.jpg?1783906435,Legendary Creature — Human Soldier,Bachzim
Buster Sword,3,2025,44.27,#8c8d8b,https://cards.scryfall.io/normal/front/3/7/374d7383-a1a7-4eea-91f7-290180e14cc9.jpg?1783906560,Artifact — Equipment,Douzen
Cecil- Dark Knight // Cecil- Redeemed Paladin,1,2025,1.01,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Knight // Legendary Creature — Human Knight,Josu Hernaiz
