name,cmc,release_year,price,color,image,type_line,artist
Blessing,2,1993,281.99,#ffffff,https://cards.scryfall.io/normal/front/f/1/f131fd27-18da-47ca-b59f-135bcac83abd.jpg?1783948717,Enchantment — Aura,Julie Baroh
Clockwork Beast,6,1993,240.29,#8c8d8b,https://cards.scryfall.io/normal/front/2/7/27f916a2-0ace-44b5-99dc-72979af34db9.jpg?1783948668,Artifact Creature — Beast,Drew Tucker
Darkpact,3,1993,310.0,#000000,https://cards.scryfall.io/normal/front/e/7/e78db688-93a2-47f5-9aa5-9158a72cd973.jpg?1783948697,Sorcery,Quinton Hoover
Disrupting Scepter,3,1993,300.0,#8c8d8b,https://cards.scryfall.io/normal/front/c/a/ca571ee8-07a2-43b8-9acf-89cbfd3cf7c9.jpg?1783948667,Artifact,Dan Frazier
Granite Gargoyle,3,1993,349.99,#ff1a1a,https://cards.scryfall.io/normal/front/f/1/f15bf2b2-6848-4fbd-b89a-8d8da8ae1cdc.jpg?1783948685,Creature — Gargoyle,Christopher Rush
Howling Mine,2,1993,1100.0,#8c8d8b,https://cards.scryfall.io/normal/front/5/1/51f8f6e1-a451-4262-90d3-5107caf54175.jpg?1783948666,Artifact,Mark Poole
Island Sanctuary,2,1993,475.15,#ffffff,https://cards.scryfall.io/normal/front/c/1/c15e8a42-89de-42bc-8d5f-33426d207c3a.jpg?1783948712,Enchantment,Mark Poole
Kormus Bell,4,1993,199.5,#8c8d8b,https://cards.scryfall.io/normal/front/3/f/3f4ef7a1-148d-44ac-89ed-0ef379cca0c6.jpg?1783948664,Artifact,Christopher Rush
Lich,4,1993,964.5,#000000,https://cards.scryfall.io/normal/front/4/2/4250caec-0e37-41be-9ec4-8938deb5f0d0.jpg?1783948694,Enchantment,Daniel Gelon
Mox Emerald,0,1993,4453.0,#087500,https://cards.scryfall.io/normal/front/b/0/b0e1427c-05cd-465b-be59-97ed6e39f7ba.jpg?1783948663,Artifact,Dan Frazier
Nevinyrral's Disk,4,1993,699.99,#8c8d8b,https://cards.scryfall.io/normal/front/1/2/12926dc8-8e6f-4a47-a12b-4d674189615a.jpg?1783948662,Artifact,Mark Tedin
Nightmare,6,1993,1399.99,#000000,https://cards.scryfall.io/normal/front/b/8/b8cdd6a7-f772-4ccb-914f-63f52ed54d6b.jpg?1783948692,Creature — Nightmare Horse,Melissa A. Benson
Plateau,0,1993,2479.99,#d78f42,https://cards.scryfall.io/normal/front/6/e/6eafa00b-c628-40f6-86eb-88e1361fc7a0.jpg?1783948659,Land — Mountain Plains,Drew Tucker
Purelace,1,1993,225.0,#ffffff,https://cards.scryfall.io/normal/front/2/f/2facf462-55cd-4da4-997f-2cf4add75628.jpg?1783948710,Instant,Sandra Everingham
Righteousness,1,1993,200.0,#ffffff,https://cards.scryfall.io/normal/front/d/0/d0ba7b76-f3d0-47d0-8a35-0c08e67200fb.jpg?1783948710,Instant,Douglas Shuler
Roc of Kher Ridges,4,1993,714.99,#ff1a1a,https://cards.scryfall.io/normal/front/7/3/731a4b86-c213-4d8e-bf01-0a0e8cff0ff1.jpg?1783948682,Creature — Bird,Andi Rusu
Thoughtlace,1,1993,200.0,#341aff,https://cards.scryfall.io/normal/front/2/3/23749375-1416-47a4-9251-52f41fe2fae9.jpg?1783948700,Instant,Mark Poole
Tundra,0,1993,3000.0,#d78f42,https://cards.scryfall.io/normal/front/a/0/a03e8c5b-f4ed-4fd7-ba05-db813ccc05eb.jpg?1783948659,Land — Plains Island,Jesper Myrfors
Two-Headed Giant of Foriys,5,1993,350.0,#ff1a1a,https://cards.scryfall.io/normal/front/3/1/31c687dc-ee0c-4e54-a2b3-5d8e633b3245.jpg?1783948680,Creature — Giant,Anson Maddocks
Volcanic Eruption,3,1993,315.0,#341aff,https://cards.scryfall.io/normal/front/a/8/a80582b1-09db-45f8-b362-0e5207a5a8e6.jpg?1783948698,Sorcery,Douglas Shuler
