name,cmc,release_year,price,color,image,type_line,artist
Alibou- Ancient Witness,5,2025,2.39,#d78f42,https://cards.scryfall.io/normal/front/5/a/5a2f6ccf-af93-4922-973d-6abfeb4d7cfc.jpg?1783905379,Legendary Artifact Creature — Golem,Michael Turner & Mark Roslan
Anthem of Champions,2,2026,0.89,#d78f42,https://cards.scryfall.io/normal/front/7/d/7d2f262a-dc38-4414-8c66-0ef5eac7ad20.jpg?1783903309,Enchantment,John Romita Jr. & Bob Layton
Arachnogenesis,3,2025,8.01,#087500,https://cards.scryfall.io/normal/front/7/7/77e2f5ac-5c0d-4503-b8ab-fee00eaaa4a3.jpg?1783905382,Instant,Todd McFarlane
Arasta of the Endless Web,4,2025,2.47,#087500,https://cards.scryfall.io/normal/front/2/5/255544be-db0f-4dcc-8787-f05652cd2684.jpg?1783905381,Legendary Enchantment Creature — Spider,David Baldeon & Walden Wong
Archangel of Thune,5,2026,20.6,#ffffff,https://cards.scryfall.io/normal/front/5/d/5d393449-bdbe-4638-ba0b-7ec83f81b51e.jpg?1783903325,Creature — Angel,Jamie McKelvie & Jordie Bellaire
Aurelia- the Warleader,6,2026,2.72,#d78f42,https://cards.scryfall.io/normal/front/e/f/ef2efb63-2bc4-4808-9ded-ba93d89dedea.jpg?1783903309,Legendary Creature — Angel,Mark Bright
Beast Within,3,2026,1.27,#087500,https://cards.scryfall.io/normal/front/b/6/b6b6c66f-e3e0-4904-ae41-2ecc786f70c5.jpg?1783903312,Instant,Jack Kirby
Bedlam,4,2026,1.12,#ff1a1a,https://cards.scryfall.io/normal/front/e/2/e208d3bc-9a1d-40a5-8ab9-c0cca5d129f5.jpg?1783903313,Enchantment,Dave Cockrum & Irving Watanabe
Black Panther- Wakandan King,2,2026,4.57,#d78f42,https://cards.scryfall.io/normal/front/a/1/a1b11ef2-2285-40eb-b11c-223c159e3d1f.jpg?1783903308,Legendary Creature — Human Noble Hero,Brian Stelfreeze
Captain America- First Avenger,3,2026,14.88,#d78f42,https://cards.scryfall.io/normal/front/0/6/0669ffcf-30c1-4d90-ae5f-3deca0f82526.jpg?1783903308,Legendary Creature — Human Soldier Hero,Carmen Carnero & Alejandro Sánchez
Chaos Warp,3,2026,5.37,#ff1a1a,https://cards.scryfall.io/normal/front/2/a/2a6c3d3b-93ec-43df-a0cd-ea12ab047d51.jpg?1783903314,Instant,Joe Quesada & Danny Miki
Clever Impersonator,4,2025,3.67,#341aff,https://cards.scryfall.io/normal/front/e/2/e23cbf2a-c07b-4202-826d-9b3c4a35a02e.jpg?1783905389,Creature — Shapeshifter,Mark Bagley & Andrew Hennessy
Comeuppance,4,2025,4.64,#ffffff,https://cards.scryfall.io/normal/front/e/c/ec191a2f-12b1-438b-b2fe-f88fb82d9b87.jpg?1783905392,Instant,Paulo Siqueira & Amilton Santos
Concerted Effort,4,2026,1.31,#ffffff,https://cards.scryfall.io/normal/front/6/b/6b6b0a9f-0373-43c0-9c84-5c2efe902676.jpg?1783903323,Enchantment,Jack Kirby
Counterspell,2,2026,9.84,#341aff,https://cards.scryfall.io/normal/front/3/7/379f4020-a58c-484d-9b44-72b200884079.jpg?1783903320,Instant,Adi Granov
Cyberdrive Awakener,6,2026,3.74,#341aff,https://cards.scryfall.io/normal/front/9/3/9319c91c-fad3-4840-b3ca-5d3d94eb7ddf.jpg?1783903319,Artifact Creature — Construct,John Romita Jr. & Bob Layton
Dauthi Voidwalker,2,2026,3.31,#000000,https://cards.scryfall.io/normal/front/e/e/ee10e249-5000-4348-8e8e-6b9ac879db12.jpg?1783903315,Creature — Dauthi Rogue,Adam Hughes
Deadly Dispute,2,2026,1.21,#000000,https://cards.scryfall.io/normal/front/e/0/e0f658ff-323e-4e32-beaa-1d5753b4f081.jpg?1783903315,Instant,Mark Brooks
Defense of the Heart,4,2026,10.79,#087500,https://cards.scryfall.io/normal/front/6/6/66fe10bb-9f05-400b-a8b7-6d6affe8c0f8.jpg?1783903311,Enchantment,Nick Cardy
Dig Through Time,8,2026,0.88,#341aff,https://cards.scryfall.io/normal/front/8/7/87c899c1-401f-4090-8f71-307e7106cdf2.jpg?1783903318,Instant,Kael Ngu
Don't Move,5,2026,1.75,#ffffff,https://cards.scryfall.io/normal/front/c/5/c55e5f0d-8a4b-4b6f-ab43-1268b6fac74e.jpg?1783903322,Sorcery,John Byrne
Ephemerate,1,2026,4.17,#ffffff,https://cards.scryfall.io/normal/front/6/2/621e3239-b527-4154-bce6-b51241809fc5.jpg?1783903323,Instant,Mateus Manhanini
Escape to the Wilds,5,2026,0.83,#d78f42,https://cards.scryfall.io/normal/front/8/2/82267f18-ceff-4f98-bf6f-e0cbf94072d3.jpg?1783903308,Sorcery,Alex Ross
Extinction Event,4,2026,3.0,#000000,https://cards.scryfall.io/normal/front/f/6/f6bcf690-c532-4d2d-8458-78a5613a6090.jpg?1783903314,Sorcery,George Pérez & Joe Rubinstein
Feed the Swarm,2,2025,1.74,#000000,https://cards.scryfall.io/normal/front/c/f/cf10e116-d1da-4570-be0e-c597a9e75d72.jpg?1783905387,Sorcery,Ed Hannigan & Pablo Marcos
Fiery Emancipation,6,2026,6.8,#ff1a1a,https://cards.scryfall.io/normal/front/3/1/318eb163-fd1d-47bc-976c-89ffd67ee8d4.jpg?1783903317,Enchantment,Alex Ross
Fight to the Death,2,2026,1.5,#d78f42,https://cards.scryfall.io/normal/front/e/e/ee1475d1-4f24-4719-b7a5-c6e3a2a9d63e.jpg?1783903307,Instant,Frank Miller & Klaus Janson
Final Act,6,2026,1.5,#000000,https://cards.scryfall.io/normal/front/c/3/c3a474a8-b2f0-4392-9f5d-0f78b3fb29e5.jpg?1783903314,Sorcery,Jack Kirby
Final Showdown,1,2026,2.1,#ffffff,https://cards.scryfall.io/normal/front/a/5/a5abbfdb-0460-4f78-be7f-d3e8a4b3afb5.jpg?1783903321,Instant,John Buscema & Tom Palmer
Force of Vigor,4,2026,4.33,#087500,https://cards.scryfall.io/normal/front/e/5/e507e356-6241-4347-bd56-e0609954f378.jpg?1783903311,Instant,Alex Ross
Fury of the Horde,7,2026,2.83,#ff1a1a,https://cards.scryfall.io/normal/front/5/e/5eaaca68-47e1-49f8-bf2e-c0eaad721e86.jpg?1783903315,Sorcery,Leinil Francis Yu
Goblin Bombardment,2,2025,3.93,#ff1a1a,https://cards.scryfall.io/normal/front/7/e/7ebd1f51-2db6-4c3f-95cb-8035a410a8e8.jpg?1783905386,Enchantment,John Romita Sr.
Harbinger of the Seas,3,2026,1.96,#341aff,https://cards.scryfall.io/normal/front/c/d/cd8c028c-82bb-4d47-a9cb-ed34c25f2599.jpg?1783903319,Creature — Merfolk Wizard,Michael Turner
Heroic Intervention,2,2026,9.69,#087500,https://cards.scryfall.io/normal/front/1/2/12edbdcc-085f-48c8-9605-3c7e3fe63bc7.jpg?1783903312,Instant,Bob Layton
Hex,6,2025,1.4,#000000,https://cards.scryfall.io/normal/front/0/d/0db3f148-4ede-4134-b2e0-2bb513d9cefc.jpg?1783905388,Sorcery,Erik Larsen & Walter Simonson
Horn of Greed,3,2026,8.55,#8c8d8b,https://cards.scryfall.io/normal/front/e/3/e37487e4-c553-4495-a839-6a96209eaaa1.jpg?1783903303,Artifact,Winslow Mortimer & Mike Esposito
Hunter's Insight,3,2025,1.72,#087500,https://cards.scryfall.io/normal/front/9/6/96c20d6f-6272-42f1-bfda-308ce7c4206a.jpg?1783905379,Instant,Sergio Davila & Sean Parsons
Infernal Grasp,2,2025,4.46,#000000,https://cards.scryfall.io/normal/front/8/2/82d69044-8d8c-4ae3-853e-de180f4706ca.jpg?1783905388,Instant,Erik Larsen & Randy Emberlin
Iron Man- Titan of Innovation,5,2026,12.7,#d78f42,https://cards.scryfall.io/normal/front/2/0/20d54b22-62e8-48ac-ba65-0bdbf42d6cad.jpg?1783903309,Legendary Artifact Creature — Human Hero,Jong-Ju Kim
Leyline Binding,6,2025,0.99,#ffffff,https://cards.scryfall.io/normal/front/5/d/5d587b65-8c90-41e3-96e0-ecb3bbfb0ac7.jpg?1783905391,Enchantment,Ron Frenz & Joe Rubinstein
Light of Promise,3,2026,0.99,#ffffff,https://cards.scryfall.io/normal/front/f/7/f78673f6-8173-4d0e-ae50-539cad30aa5c.jpg?1783903324,Enchantment — Aura,David Lopez
Lord of Atlantis,2,2026,3.35,#341aff,https://cards.scryfall.io/normal/front/2/e/2e26f6c6-c043-4b71-ab90-584dceeec092.jpg?1783903318,Creature — Merfolk,Mike Mignola & Dave Stewart
Lorthos- the Tidemaker,8,2025,0.69,#341aff,https://cards.scryfall.io/normal/front/d/e/deda48c4-527f-4367-83ed-3b3c30beaab8.jpg?1783905389,Legendary Creature — Octopus,John Romita Sr.
Massacre Girl,5,2026,0.87,#000000,https://cards.scryfall.io/normal/front/7/c/7cdd99ba-b96c-4808-89fc-ba675c546779.jpg?1783903315,Legendary Creature — Human Assassin,Bill Sienkiewicz
Mechanized Production,4,2026,2.65,#341aff,https://cards.scryfall.io/normal/front/2/7/27bd54ab-5512-4011-a60f-ec2899b34327.jpg?1783903318,Enchantment — Aura,George Pérez & Tom Smith
Mindbreak Trap,4,2025,7.1,#341aff,https://cards.scryfall.io/normal/front/7/5/75b75aaf-499d-47b0-ab6d-873240b641b2.jpg?1783905389,Instant — Trap,Todd McFarlane
Monstrous Rage,1,2026,0.91,#ff1a1a,https://cards.scryfall.io/normal/front/9/e/9ebf25f9-844c-40c6-b0f0-d5c82ee04656.jpg?1783903313,Instant,Ed McGuinness & Dexter Vines
Mystic Confluence,5,2025,2.61,#341aff,https://cards.scryfall.io/normal/front/5/d/5df07a06-e585-412d-a6db-cb5a78a68b6e.jpg?1783905388,Instant,Mike Zeck
Najeela- the Blade-Blossom,3,2025,3.26,#d78f42,https://cards.scryfall.io/normal/front/0/8/08eb1bef-b00d-490b-a631-2849e0d1fd8e.jpg?1783905384,Legendary Creature — Human Warrior,Cliff Chiang
Narset's Reversal,2,2026,1.38,#341aff,https://cards.scryfall.io/normal/front/0/3/0355887d-eec7-4b1c-ada1-014ac7fce5c6.jpg?1783903318,Instant,Mark Texeira & Dave Kemp
Nine Lives,3,2025,2.39,#ffffff,https://cards.scryfall.io/normal/front/5/a/5a0b9b21-4d7f-4b02-aef1-3598eae2f581.jpg?1783905393,Enchantment,C.F. Villa & Brian Reber
No Mercy,4,2026,9.21,#000000,https://cards.scryfall.io/normal/front/8/a/8a37de6b-3a92-4a32-a940-e0f303e316c1.jpg?1783903313,Enchantment,Jack Kirby
Opposition Agent,3,2025,22.49,#000000,https://cards.scryfall.io/normal/front/d/7/d7b0a0d5-a9fe-49ea-9250-8825b36accc0.jpg?1783905387,Creature — Human Rogue,Tyler Kirkham
Parallel Lives,4,2025,28.6,#087500,https://cards.scryfall.io/normal/front/0/c/0c9c514f-f506-4b2c-af58-79922834cde7.jpg?1783905379,Enchantment,Jim Cheung & Justin Ponsor
Path to Exile,1,2026,7.9,#ffffff,https://cards.scryfall.io/normal/front/e/2/e2e30b25-b710-4566-8b0f-56f6e390a446.jpg?1783903322,Instant,Klaus Janson & Mike Zeck
Ponder,1,2025,4.97,#341aff,https://cards.scryfall.io/normal/front/a/c/ac1042e0-af4d-42b0-9d43-34b3fa5daf92.jpg?1783905390,Sorcery,Moebius
Primal Vigor,5,2026,6.13,#087500,https://cards.scryfall.io/normal/front/3/8/38d16f3a-a20f-4e98-8085-e4e09bc525d6.jpg?1783903309,Enchantment,John Buscema & Frank Giacoia
Privileged Position,5,2026,1.55,#d78f42,https://cards.scryfall.io/normal/front/0/5/05961dad-9fe6-409f-8bfd-c6176072e9b1.jpg?1783903306,Enchantment,Mike Mayhew
Rancor,1,2026,1.54,#087500,https://cards.scryfall.io/normal/front/3/7/377792bf-2d72-40eb-9e47-1d4a86980fa4.jpg?1783903309,Enchantment — Aura,Marie Severin
Ravenous Tyrannosaurus,6,2026,10.2,#d78f42,https://cards.scryfall.io/normal/front/d/2/d20ce47d-f08f-475d-a8c3-8a4ebeb0b4f2.jpg?1783903305,Creature — Dinosaur,Jack Kirby
Reanimate,1,2025,22.95,#000000,https://cards.scryfall.io/normal/front/3/e/3e560cb9-3036-46a2-a5c7-edb04d0095b7.jpg?1783905386,Sorcery,Mike Zeck & Bob McLeod
Reconnaissance Mission,4,2026,0.85,#341aff,https://cards.scryfall.io/normal/front/8/7/875dfbf5-9313-439b-b021-8b92d898baa4.jpg?1783903317,Enchantment,Kaare Andrews
